YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,1.4653,-66.4648,32.1437,24,Australia
2018-01-02,4.7648,-35.1678,24.3290,24,Australia
2018-01-03,-0.3304,-36.4542,18.3816,24,Australia
2018-01-04,-1.4608,-30.9244,16.5229,24,Australia
2018-01-05,-2.7256,-29.3443,12.8743,24,Australia
2018-01-06,-2.9685,-24.0635,10.0144,24,Australia
2018-01-07,-4.8908,-22.4680,11.3406,24,Australia
2018-01-08,-4.5417,-22.5379,9.4827,24,Australia
2018-01-09,-5.5656,-21.2650,7.6524,25,Australia
2018-01-10,-6.0729,-22.7376,6.0889,25,Australia
2018-01-11,-6.1321,-19.3619,6.5225,25,Australia
2018-01-12,-3.6899,-18.0450,7.1593,25,Australia
2018-01-13,-3.1822,-16.4394,5.7327,25,Australia
2018-01-14,-4.5067,-18.4783,4.9035,14,Australia
2018-01-15,-4.6630,-15.2593,6.8972,23,Australia
2018-01-16,-3.9376,-13.4219,8.6103,25,Australia
2018-01-17,-2.9845,-13.1138,8.1191,25,Australia
2018-01-18,-2.3890,-13.5561,6.0231,25,Australia
2018-01-19,-3.8311,-14.9690,4.4614,25,Australia
2018-01-20,-4.7719,-15.2807,1.4734,24,Australia
2018-01-21,-7.4718,-18.2979,2.4295,25,Australia
2018-01-22,-9.1382,-20.9220,3.0113,25,Australia
2018-01-23,-7.4666,-21.9792,2.7025,24,Australia
2018-01-24,-9.0060,-23.6829,1.1597,25,Australia
2018-01-25,-10.3836,-25.6145,0.1408,25,Australia
2018-01-26,-9.8468,-24.6169,0.8193,25,Australia
2018-01-27,-9.5853,-22.4194,-1.3466,25,Australia
2018-01-28,-8.4761,-21.1383,0.4140,25,Australia
2018-01-29,-6.7686,-18.9440,3.0572,25,Australia
2018-01-30,-6.2386,-19.2127,4.7484,24,Australia
2018-01-31,-7.5569,-21.4999,5.5283,25,Australia
2018-02-01,-8.7525,-22.8649,4.2376,11,Australia
2018-02-02,-8.5215,-23.9870,3.7846,12,Australia
2018-02-03,-8.5371,-23.9870,2.9825,10,Australia
2018-02-04,-9.3704,-26.3326,4.1993,11,Australia
2018-02-05,-11.6880,-31.3054,2.4909,11,Australia
2018-02-06,-12.0522,-32.5216,2.5771,12,Australia
2018-02-07,-10.9446,-33.0774,6.4041,14,Australia
2018-02-08,-10.7060,-33.0879,5.3328,25,Australia
2018-02-09,-7.4859,-24.9962,4.2660,25,Australia
2018-02-10,-6.6531,-19.7593,6.4161,25,Australia
2018-02-11,-4.8685,-16.0340,9.2344,25,Australia
2018-02-12,-3.9079,-16.1297,8.0381,25,Australia
2018-02-13,-3.2332,-15.7293,7.1929,25,Australia
2018-02-14,1.6871,-12.6765,12.0287,25,Australia
2018-02-15,5.0256,-10.3961,14.7835,24,Australia
2018-02-16,4.6501,-11.2157,15.4888,24,Australia
2018-02-17,3.6401,-13.0042,15.7060,24,Australia
2018-02-18,2.2848,-14.1931,13.8651,24,Australia
2018-02-19,1.5293,-14.9679,14.0451,24,Australia
2018-02-20,2.8389,-14.4413,13.7813,14,Australia
2018-02-21,2.0167,-11.6898,14.9087,16,Australia
2018-02-22,0.7745,-12.3360,14.7753,23,Australia
2018-02-23,-0.6806,-12.4846,18.0378,21,Australia
2018-02-24,-0.5799,-12.4311,16.6836,20,Australia
2018-02-25,-2.3586,-10.9315,15.1694,16,Australia
2018-02-26,-2.3586,-9.5276,12.2997,21,Australia
2018-02-27,-2.3586,-10.4217,14.1940,19,Australia
2018-02-28,-0.5830,-10.4649,15.8600,24,Australia
2018-03-01,-2.2151,-11.7907,14.7276,24,Australia
2018-03-02,-3.3660,-12.8061,14.8522,24,Australia
2018-03-03,-3.0686,-13.9663,10.2122,24,Australia
2018-03-04,-0.7470,-13.6471,8.6610,23,Australia
2018-03-05,0.0418,-12.9089,13.0181,24,Australia
2018-03-06,-2.2772,-14.6741,10.2887,24,Australia
2018-03-07,-3.8325,-14.7203,7.2421,14,Australia
2018-03-08,-4.5952,-15.7862,7.3854,9,Australia
2018-03-09,-4.0287,-16.8340,6.8606,10,Australia
2018-03-10,-4.6785,-16.0641,5.1209,12,Australia
2018-03-11,-6.1367,-15.8390,5.8751,24,Australia
2018-03-12,-6.3087,-13.7711,5.4140,24,Australia
2018-03-13,-6.2189,-13.6382,6.6761,24,Australia
2018-03-14,-4.5959,-10.3076,10.5098,24,Australia
2018-03-15,-2.1782,-11.5398,14.0906,24,Australia
2018-03-16,-0.2861,-13.3631,14.2061,24,Australia
2018-03-17,1.3429,-11.7914,15.1720,23,Australia
2018-03-18,2.1428,-13.1439,15.8524,2,Australia
2018-03-19,2.8226,-11.1353,17.6773,24,Australia
2018-03-20,5.4490,-11.6120,19.4810,23,Australia
2018-03-21,4.4974,-16.1937,18.4488,22,Australia
2018-03-22,5.4022,-17.0006,18.4021,23,Australia
2018-03-23,4.2009,-16.3160,16.3798,24,Australia
2018-03-24,1.0837,-15.4442,11.0090,23,Australia
2018-03-25,-3.4502,-16.2070,10.1695,21,Australia
2018-03-26,-4.9061,-16.0348,8.9734,12,Australia
2018-03-27,-6.4971,-15.9923,9.0749,24,Australia
2018-03-28,-5.6898,-16.2412,11.6012,24,Australia
2018-03-29,-5.2027,-16.3992,12.0183,24,Australia
2018-03-30,-3.3551,-16.5134,8.3259,24,Australia
2018-03-31,0.6524,-13.7789,8.5667,23,Australia
2018-04-01,-0.2393,-12.7450,8.8560,23,Australia
2018-04-02,-2.4596,-12.1991,5.9642,23,Australia
2018-04-03,-3.3110,-12.7811,5.1121,24,Australia
2018-04-04,-3.6288,-13.9495,4.3864,0,Australia
2018-04-05,-3.4772,-15.6143,4.0119,24,Australia
2018-04-06,-4.3555,-17.5575,9.9589,24,Australia
2018-04-07,-4.3555,-17.5575,9.9589,2,Australia
2018-04-08,-5.0382,-17.4824,8.6643,22,Australia
2018-04-09,-5.3712,-15.7235,6.9867,24,Australia
2018-04-10,-5.4445,-15.2753,6.5191,24,Australia
2018-04-11,-4.9101,-13.7122,6.5012,24,Australia
2018-04-12,-6.6529,-14.2997,6.3407,24,Australia
2018-04-13,-7.2527,-14.7323,7.6323,23,Australia
2018-04-14,-5.4040,-14.5368,6.8715,24,Australia
2018-04-15,-6.0734,-16.2420,8.4080,19,Australia
2018-04-16,-4.0098,-14.4995,7.7738,18,Australia
2018-04-17,-3.3681,-13.9720,10.7544,24,Australia
2018-04-18,-3.2211,-13.8099,10.8578,24,Australia
2018-04-19,-6.5182,-13.2493,13.4531,24,Australia
2018-04-20,-4.6794,-15.1159,16.0885,24,Australia
2018-04-21,-3.8066,-10.9412,19.3301,24,Australia
2018-04-22,-4.7052,-11.9713,19.4419,23,Australia
2018-04-23,-3.0992,-12.3300,21.7651,24,Australia
2018-04-24,-2.2078,-12.6685,19.2421,24,Australia
2018-04-25,-0.0652,-8.9658,18.3428,24,Australia
2018-04-26,-0.4126,-11.5716,19.5147,24,Australia
2018-04-27,-1.5292,-11.6171,16.8193,24,Australia
2018-04-28,-3.2588,-13.6691,15.8386,20,Australia
2018-04-29,-3.3461,-15.7130,17.9055,18,Australia
2018-04-30,-3.2405,-15.8890,17.7595,24,Australia
2018-05-01,-3.9710,-16.6677,14.9277,24,Australia
2018-05-02,-2.8646,-15.2540,17.1617,24,Australia
2018-05-03,-3.8283,-15.0778,15.9584,24,Australia
2018-05-04,-3.1331,-14.6271,16.3536,12,Australia
2018-05-05,-1.8965,-13.9896,14.2523,23,Australia
2018-05-06,-1.8861,-13.0355,14.3255,24,Australia
2018-05-07,-3.1796,-13.8452,13.3620,24,Australia
2018-05-08,-3.6874,-13.2516,14.0994,24,Australia
2018-05-09,-1.5127,-8.6162,12.6419,24,Australia
2018-05-10,-0.4086,-11.0873,22.4813,22,Australia
2018-05-11,-2.9610,-14.0469,23.1288,15,Australia
2018-05-12,-3.9857,-14.0071,19.8556,9,Australia
2018-05-13,-4.8283,-14.9409,22.0266,2,Australia
2018-05-14,-6.9559,-16.3989,20.9675,21,Australia
2018-05-15,-9.0586,-23.4960,14.6945,23,Australia
2018-05-16,-11.6562,-26.0150,8.1391,24,Australia
2018-05-17,-11.8858,-26.6742,6.0958,24,Australia
2018-05-18,-12.3865,-25.7044,8.0129,24,Australia
2018-05-19,-10.6224,-24.5644,6.1077,24,Australia
2018-05-20,-8.3139,-19.1033,5.3562,23,Australia
2018-05-21,-6.3517,-18.3643,3.9090,18,Australia
2018-05-22,-5.7192,-20.6980,5.3857,20,Australia
2018-05-23,-4.5591,-18.9396,6.0563,23,Australia
2018-05-24,-1.7284,-16.3704,6.9088,24,Australia
2018-05-25,-1.6759,-13.2940,10.0639,24,Australia
