YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-2.7521,-2.8005,-1.8097,3,BosniaandHerzegovina
2018-01-02,2.9941,2.1473,5.5300,3,BosniaandHerzegovina
2018-01-03,-1.1026,-2.4864,7.8432,3,BosniaandHerzegovina
2018-01-04,-1.7610,-3.9739,4.6943,3,BosniaandHerzegovina
2018-01-05,-0.7714,-3.9341,3.3078,3,BosniaandHerzegovina
2018-01-06,-0.3150,-1.7058,4.5775,3,BosniaandHerzegovina
2018-01-07,2.0934,0.8161,5.3360,3,BosniaandHerzegovina
2018-01-08,3.4063,2.5926,5.7882,3,BosniaandHerzegovina
2018-01-09,3.8935,2.9843,7.0385,3,BosniaandHerzegovina
2018-01-10,3.5592,3.2577,6.3015,3,BosniaandHerzegovina
2018-01-11,1.9951,-8.7285,3.9211,4,BosniaandHerzegovina
2018-01-12,1.2441,-10.9382,2.2230,4,BosniaandHerzegovina
2018-01-13,-0.8295,-25.2161,-0.3854,4,BosniaandHerzegovina
2018-01-14,-2.6777,-32.2207,-2.3132,4,BosniaandHerzegovina
2018-01-15,-3.3789,-28.7844,-2.3379,4,BosniaandHerzegovina
2018-01-16,-3.4037,-26.4592,-2.5426,4,BosniaandHerzegovina
2018-01-17,-1.9838,-21.0580,-1.5801,4,BosniaandHerzegovina
2018-01-18,-0.9889,-15.3171,-0.9592,4,BosniaandHerzegovina
2018-01-19,-0.1021,-10.4332,0.1342,4,BosniaandHerzegovina
2018-01-20,0.3198,-8.4807,0.5631,4,BosniaandHerzegovina
2018-01-21,1.4669,-6.6650,1.6920,4,BosniaandHerzegovina
2018-01-22,1.0394,-7.4678,1.3385,4,BosniaandHerzegovina
2018-01-23,1.4613,-5.8212,2.2584,4,BosniaandHerzegovina
2018-01-24,1.4221,-6.5291,2.4029,4,BosniaandHerzegovina
2018-01-25,1.1358,-6.8039,2.7408,4,BosniaandHerzegovina
2018-01-26,0.8728,-6.1457,2.3459,4,BosniaandHerzegovina
2018-01-27,1.6508,-5.1471,2.6937,4,BosniaandHerzegovina
2018-01-28,1.0160,-4.7176,3.0169,4,BosniaandHerzegovina
