YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-20.3908,-22.0114,-8.7527,4,Brazil
2018-01-02,-16.1434,-22.1158,-15.6821,4,Brazil
2018-01-03,-13.7839,-17.9840,-6.8999,4,Brazil
2018-01-04,-11.6766,-16.7804,-3.8435,4,Brazil
2018-01-05,-7.4185,-11.8973,2.9794,4,Brazil
2018-01-06,-6.2524,-8.8141,4.6060,4,Brazil
2018-01-07,-6.4024,-9.5935,5.3618,4,Brazil
2018-01-08,-4.0797,-8.0294,7.0117,4,Brazil
2018-01-09,-2.1124,-7.7985,8.1516,4,Brazil
2018-01-10,-4.5102,-10.9951,4.9499,4,Brazil
2018-01-11,-4.6398,-12.2946,3.3916,4,Brazil
2018-01-12,-2.7321,-12.5542,3.9788,4,Brazil
2018-01-13,-1.4377,-10.3687,2.7771,4,Brazil
2018-01-14,-1.1541,-9.3469,2.1415,4,Brazil
2018-01-15,-1.2596,-9.0047,1.8597,4,Brazil
2018-01-16,-1.8615,-8.2039,2.8147,4,Brazil
2018-01-17,-0.5452,-6.5928,2.5383,4,Brazil
2018-01-18,-0.8379,-6.1797,2.6532,4,Brazil
2018-01-19,-2.7960,-7.0261,2.1317,4,Brazil
2018-01-20,-4.6467,-8.3892,2.0866,4,Brazil
2018-01-21,-3.4325,-8.1107,2.3689,4,Brazil
2018-01-22,-2.7133,-7.0605,3.4321,4,Brazil
2018-01-23,-3.7445,-7.0988,4.2271,4,Brazil
2018-01-24,-3.9809,-7.2682,3.4881,4,Brazil
2018-01-25,-5.6090,-7.1564,2.5419,4,Brazil
2018-01-26,-5.7511,-7.9069,2.1350,4,Brazil
2018-01-27,-5.0292,-8.3479,3.1624,4,Brazil
2018-01-28,-4.7447,-8.6581,2.5034,4,Brazil
2018-01-29,-4.3673,-10.0431,0.7926,4,Brazil
2018-01-30,-2.4153,-7.9688,2.3004,4,Brazil
2018-01-31,-1.0555,-7.0501,4.1681,4,Brazil
2018-02-01,-2.0909,-8.6565,4.1843,4,Brazil
2018-02-02,-3.4241,-8.8721,2.5158,4,Brazil
2018-02-03,-4.2665,-9.4033,1.8348,4,Brazil
2018-02-04,-4.9321,-10.9315,1.9256,4,Brazil
2018-02-05,-4.5402,-8.1519,3.1279,4,Brazil
2018-02-06,-5.0030,-8.7188,3.3582,4,Brazil
2018-02-07,-4.8072,-8.0474,3.6537,4,Brazil
2018-02-08,-3.5026,-7.0504,6.3815,4,Brazil
2018-02-09,-2.6556,-5.1848,8.5057,4,Brazil
2018-02-10,-1.7744,-4.6583,9.0647,4,Brazil
2018-02-11,-1.9296,-5.1477,9.6344,4,Brazil
2018-02-12,-3.2740,-5.2744,10.7436,3,Brazil
2018-02-13,-4.2879,-6.5357,11.6294,3,Brazil
2018-02-14,-3.8760,-6.5129,11.0605,4,Brazil
2018-02-15,-3.8437,-7.7988,9.6664,4,Brazil
2018-02-16,-4.1488,-8.4132,9.4106,4,Brazil
2018-02-17,-2.7547,-6.5632,10.3862,4,Brazil
2018-02-18,-2.3452,-6.1609,10.6784,4,Brazil
2018-02-19,-2.4221,-5.1742,11.7548,4,Brazil
2018-02-20,-2.7068,-4.7102,11.8948,4,Brazil
2018-02-21,-2.5459,-4.5508,12.7471,4,Brazil
2018-02-22,-2.4268,-4.0603,14.7446,4,Brazil
2018-02-23,1.1627,-1.4515,17.8124,4,Brazil
2018-02-24,5.2882,0.7254,19.6718,3,Brazil
2018-02-25,3.9603,-0.9214,18.5806,3,Brazil
2018-02-26,4.7633,-1.6289,18.4914,3,Brazil
2018-02-27,5.1739,-1.0629,19.1621,3,Brazil
2018-02-28,6.5775,-1.5104,18.1335,3,Brazil
2018-03-01,6.7000,-0.9837,18.6309,3,Brazil
2018-03-02,6.7774,-0.7989,19.8828,3,Brazil
2018-03-03,7.2215,0.2983,20.7569,3,Brazil
2018-03-04,8.4799,1.8632,21.0005,3,Brazil
2018-03-05,10.3600,4.7590,21.4056,3,Brazil
2018-03-06,11.2563,5.5586,23.3822,3,Brazil
2018-03-07,11.7269,6.9203,25.4457,3,Brazil
2018-03-08,12.2536,6.8577,26.6026,3,Brazil
2018-03-09,13.1468,7.4135,23.3625,3,Brazil
2018-03-10,14.1689,8.3851,23.7856,3,Brazil
2018-03-11,13.0206,7.9610,22.8160,3,Brazil
2018-03-12,11.8685,5.9300,24.9046,3,Brazil
2018-03-13,12.8635,6.4015,33.6063,3,Brazil
2018-03-14,14.2819,7.3936,41.8347,3,Brazil
2018-03-15,10.2567,5.6126,17.8078,3,Brazil
2018-03-16,8.5142,3.7592,14.5437,2,Brazil
2018-03-17,7.7838,3.7116,15.3108,3,Brazil
2018-03-18,7.3362,4.0559,16.2100,3,Brazil
2018-03-19,7.6612,3.9039,15.0858,3,Brazil
2018-03-20,8.5325,4.8854,14.9473,3,Brazil
2018-03-21,7.4921,4.5615,12.0409,3,Brazil
2018-03-22,7.6891,4.3402,11.8704,3,Brazil
2018-03-23,8.0697,3.3293,12.6462,3,Brazil
2018-03-24,8.5689,2.3483,12.5516,3,Brazil
2018-03-25,8.0863,0.8307,10.7082,3,Brazil
2018-03-26,6.9611,0.3639,10.3973,3,Brazil
2018-03-27,8.2812,0.8118,10.1285,3,Brazil
2018-03-28,7.7195,1.3781,11.0159,3,Brazil
2018-03-29,5.9377,-1.7860,7.4005,3,Brazil
2018-03-30,4.2921,-4.3019,5.0483,3,Brazil
2018-03-31,4.1274,-4.9657,5.1945,3,Brazil
2018-04-01,4.4281,-4.8729,6.3405,3,Brazil
2018-04-02,4.1185,-4.2173,5.9361,3,Brazil
2018-04-03,2.0129,-5.6097,4.6856,3,Brazil
2018-04-04,-0.3918,-7.1790,2.5302,3,Brazil
2018-04-05,-0.8733,-6.7348,3.1001,3,Brazil
2018-04-06,-1.5630,-6.9092,2.2317,3,Brazil
2018-04-07,-4.9429,-38.0562,0.6925,4,Brazil
2018-04-08,-5.8554,-28.3182,0.9546,4,Brazil
2018-04-09,-7.5003,-30.6120,-1.4377,4,Brazil
2018-04-10,-7.2222,-31.4262,-0.5794,4,Brazil
2018-04-11,-7.4266,-29.7586,-2.3174,4,Brazil
2018-04-12,-7.5497,-28.5292,-2.6690,4,Brazil
2018-04-13,-6.6442,-24.5512,-2.1674,4,Brazil
2018-04-14,-6.2824,-23.5706,-1.7701,4,Brazil
2018-04-15,-5.8136,-22.7186,-2.1111,4,Brazil
2018-04-16,-5.7838,-21.6095,-2.2830,4,Brazil
2018-04-17,-5.5199,-20.0758,-2.9620,4,Brazil
2018-04-18,-4.7829,-19.4376,-2.4629,4,Brazil
2018-04-19,-3.2336,-19.3050,-1.2803,4,Brazil
2018-04-20,-2.9739,-19.1646,-1.4189,4,Brazil
2018-04-21,-2.1107,-18.7196,-1.6902,4,Brazil
2018-04-22,-2.8602,-19.1842,-1.7188,4,Brazil
2018-04-23,-2.2524,-19.6005,-1.5613,4,Brazil
2018-04-24,-2.1426,-19.4298,-0.7720,4,Brazil
2018-04-25,-2.8793,-19.2389,0.6867,4,Brazil
2018-04-26,-1.8172,-17.1861,2.4093,4,Brazil
2018-04-27,-1.1974,-14.5019,3.0211,4,Brazil
