YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-17.9700,-53.7249,-1.9841,14,Canada
2018-01-02,-17.1318,-39.8656,-1.5178,13,Canada
2018-01-03,-11.2834,-25.1271,-4.1577,15,Canada
2018-01-04,-7.8462,-19.4364,1.4653,14,Canada
2018-01-05,-4.0262,-18.7982,8.8828,16,Canada
2018-01-06,-2.7859,-22.2930,14.0943,14,Canada
2018-01-07,-5.0023,-24.2305,16.6217,13,Canada
2018-01-08,-5.6738,-24.2305,11.7340,11,Canada
2018-01-09,-0.9173,-15.2073,11.8724,16,Canada
2018-01-10,-2.7705,-15.1269,25.6289,16,Canada
2018-01-11,-2.0715,-12.8755,24.1803,13,Canada
2018-01-12,0.6889,-14.3000,20.0767,13,Canada
2018-01-13,-1.0663,-14.7337,18.9793,10,Canada
2018-01-14,-1.6683,-12.4051,19.5905,9,Canada
2018-01-15,-1.8925,-8.6408,16.6106,11,Canada
2018-01-16,-1.7337,-10.3918,15.3715,12,Canada
2018-01-17,-0.3187,-10.5075,13.8718,16,Canada
2018-01-18,2.8775,-11.1606,13.8787,16,Canada
2018-01-19,0.8217,-10.9021,12.9850,16,Canada
2018-01-20,1.1270,-12.1568,13.7247,16,Canada
2018-01-21,0.3364,-13.0502,14.1393,13,Canada
2018-01-22,-0.6976,-12.4473,15.6718,14,Canada
2018-01-23,-1.1402,-8.9132,12.6207,14,Canada
2018-01-24,1.4136,-12.0492,14.3080,16,Canada
2018-01-25,1.5640,-12.5844,15.5583,0,Canada
2018-01-26,6.1350,-10.4466,14.4463,14,Canada
2018-01-27,5.2155,-10.8209,16.4070,10,Canada
2018-01-28,-0.2994,-9.7095,17.4550,15,Canada
2018-01-29,0.3505,-12.6605,14.8711,15,Canada
2018-01-30,-3.2194,-15.6085,13.4031,13,Canada
2018-01-31,-0.0733,-11.7616,12.1631,13,Canada
2018-02-01,3.1499,-15.9502,13.3468,16,Canada
2018-02-02,3.0855,-14.6311,14.0166,0,Canada
2018-02-03,1.9938,-14.8651,13.8554,12,Canada
2018-02-04,0.6388,-17.8034,11.2367,15,Canada
2018-02-05,-0.7399,-16.7941,11.0414,13,Canada
2018-02-06,-1.2280,-17.9549,9.8574,15,Canada
2018-02-07,0.2896,-13.3091,6.5370,15,Canada
2018-02-08,-2.2048,-17.8991,6.4745,15,Canada
2018-02-09,-3.9841,-11.9585,12.4610,16,Canada
2018-02-10,-4.0920,-10.3977,8.3708,16,Canada
2018-02-11,-1.8756,-8.0790,14.4997,14,Canada
2018-02-12,-0.9209,-9.2885,13.9425,0,Canada
2018-02-13,-1.9041,-12.2838,15.3653,15,Canada
2018-02-14,-1.9403,-10.9419,12.9939,16,Canada
2018-02-15,-0.4246,-10.6977,6.7396,16,Canada
2018-02-16,0.6648,-13.6169,7.7968,16,Canada
2018-02-17,1.8614,-12.5267,8.5924,16,Canada
2018-02-18,0.1724,-14.4078,10.1788,16,Canada
2018-02-19,0.8191,-16.3591,9.7170,16,Canada
2018-02-20,-1.3830,-13.2416,8.6092,16,Canada
2018-02-21,-2.8102,-15.1239,7.7005,16,Canada
2018-02-22,-2.2226,-14.7466,7.9918,16,Canada
2018-02-23,0.6747,-12.1858,9.2118,16,Canada
2018-02-24,1.8909,-11.4637,9.4575,16,Canada
2018-02-25,-0.0211,-10.2187,10.6575,15,Canada
2018-02-26,1.7542,-12.2584,12.2983,14,Canada
2018-02-27,-1.7617,-11.7183,10.4762,14,Canada
2018-02-28,0.5568,-11.0872,13.8863,15,Canada
2018-03-01,0.0420,-11.6043,11.2215,16,Canada
2018-03-02,2.0004,-10.5110,12.2854,15,Canada
2018-03-03,-2.0333,-11.4364,6.4667,12,Canada
2018-03-04,-1.6477,-10.2820,6.2825,11,Canada
2018-03-05,-2.8381,-9.9849,5.8351,11,Canada
2018-03-06,-2.9224,-10.7077,6.4846,11,Canada
2018-03-07,-2.7535,-12.4493,10.0424,11,Canada
2018-03-08,-3.4483,-13.7183,8.1560,12,Canada
2018-03-09,-2.3965,-12.6658,9.0174,14,Canada
2018-03-10,1.3079,-12.4431,11.8539,15,Canada
2018-03-11,-1.7475,-13.3837,14.1062,16,Canada
2018-03-12,-1.8335,-15.0721,11.9446,15,Canada
2018-03-13,-1.7320,-17.0449,11.9440,15,Canada
2018-03-14,-0.9753,-18.0209,12.8012,15,Canada
2018-03-15,1.0914,-18.5890,11.4842,16,Canada
2018-03-16,0.1990,-15.1182,11.4564,14,Canada
2018-03-17,2.7993,-13.1975,12.8536,14,Canada
2018-03-18,0.3400,-10.7957,10.5532,13,Canada
2018-03-19,1.0111,-9.5906,8.9511,15,Canada
2018-03-20,-0.0906,-8.0944,8.3420,15,Canada
2018-03-21,1.2437,-11.5849,12.7578,16,Canada
2018-03-22,3.1007,-13.0466,15.3303,14,Canada
2018-03-23,3.5703,-15.8178,17.0081,15,Canada
2018-03-24,2.8849,-15.6794,13.2006,14,Canada
2018-03-25,3.0091,-17.5903,9.6295,13,Canada
2018-03-26,2.9513,-16.2225,9.3917,16,Canada
2018-03-27,0.3741,-14.6262,9.6908,15,Canada
2018-03-28,-1.8591,-15.5777,7.2678,15,Canada
2018-03-29,-3.6229,-15.2916,7.6315,15,Canada
2018-03-30,-3.7434,-15.3925,3.2053,15,Canada
2018-03-31,-3.6430,-15.7120,2.1117,14,Canada
