YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-9.8730,-37.2592,16.6090,17,Chile
2018-01-02,-5.4963,-25.1587,13.6111,18,Chile
2018-01-03,0.2537,-13.2726,15.3202,18,Chile
2018-01-04,-3.8757,-12.8361,12.6815,17,Chile
2018-01-05,-5.4277,-14.4836,10.7660,18,Chile
2018-01-06,-5.1410,-15.9979,9.8893,18,Chile
2018-01-07,-5.4591,-16.8780,10.9175,18,Chile
2018-01-08,-8.8480,-18.4312,11.2824,18,Chile
2018-01-09,-4.9907,-17.1814,13.9741,18,Chile
2018-01-10,-1.6625,-13.9313,12.8418,18,Chile
2018-01-11,-0.6277,-10.1143,12.7612,17,Chile
2018-01-12,-0.7054,-7.6849,12.1719,17,Chile
2018-01-13,-0.3148,-7.6548,11.9645,17,Chile
2018-01-14,0.4301,-7.6526,11.8190,17,Chile
2018-01-15,-0.2864,-6.8033,12.2715,16,Chile
2018-01-16,-1.0498,-7.0271,10.6072,17,Chile
2018-01-17,-0.9672,-7.1809,10.3439,17,Chile
2018-01-18,-0.1997,-6.3365,9.3707,17,Chile
2018-01-19,-0.7820,-7.7372,8.0990,17,Chile
2018-01-20,-1.4248,-8.6697,7.4901,16,Chile
2018-01-21,-0.2487,-10.6739,7.8420,17,Chile
2018-01-22,-0.4056,-10.9812,7.8638,17,Chile
2018-01-23,-1.4924,-11.8405,6.4666,17,Chile
2018-01-24,-0.4449,-10.2550,7.1034,17,Chile
2018-01-25,0.0352,-9.5986,8.7529,17,Chile
2018-01-26,0.9558,-9.4152,9.0993,17,Chile
2018-01-27,-0.6475,-9.4489,11.4872,17,Chile
2018-01-28,-0.6085,-7.6448,12.5250,17,Chile
2018-01-29,-1.1265,-8.4045,8.0369,17,Chile
2018-01-30,-2.7140,-10.4277,7.7663,17,Chile
2018-01-31,-1.5143,-10.6242,7.6580,17,Chile
2018-02-01,-2.2980,-11.2248,7.0569,17,Chile
2018-02-02,-2.4187,-12.4493,6.3283,16,Chile
2018-02-03,-1.9718,-13.4939,6.5602,16,Chile
2018-02-04,-3.1927,-13.8532,5.3992,17,Chile
2018-02-05,-3.0802,-12.6414,5.4281,17,Chile
2018-02-06,-3.8142,-12.9441,5.7430,17,Chile
2018-02-07,-5.3393,-13.3485,4.7919,17,Chile
2018-02-08,-5.5758,-14.6320,3.5555,17,Chile
2018-02-09,-6.0874,-13.9666,4.7329,17,Chile
2018-02-10,-4.5242,-14.7960,4.9399,16,Chile
2018-02-11,-4.7567,-13.2794,4.4664,16,Chile
2018-02-12,-4.6334,-15.3933,4.6789,16,Chile
2018-02-13,-5.3821,-13.0489,2.8359,16,Chile
2018-02-14,-5.4648,-14.5447,2.0657,16,Chile
2018-02-15,-3.3989,-12.8899,3.6417,16,Chile
2018-02-16,-4.3950,-12.9237,3.6708,17,Chile
2018-02-17,-4.0882,-12.1375,3.8003,17,Chile
2018-02-18,-5.0500,-11.5265,4.5379,17,Chile
2018-02-19,-5.7188,-11.9223,5.5721,17,Chile
2018-02-20,-6.9477,-18.2565,3.0233,18,Chile
2018-02-21,-7.1121,-14.6264,2.7569,18,Chile
2018-02-22,-4.2496,-12.1275,5.5873,18,Chile
2018-02-23,-3.4144,-10.8048,4.9829,18,Chile
2018-02-24,-2.9882,-10.3905,11.5977,18,Chile
2018-02-25,-3.3310,-10.0243,16.7309,18,Chile
2018-02-26,-3.3294,-9.4068,18.7059,9,Chile
2018-02-27,-4.4696,-10.6473,15.0766,18,Chile
2018-02-28,-2.5573,-10.4797,12.0409,18,Chile
2018-03-01,-0.6699,-9.9825,10.9581,18,Chile
2018-03-02,1.1293,-9.2785,9.9342,17,Chile
2018-03-03,2.6763,-9.1373,10.1004,17,Chile
2018-03-04,2.2459,-9.8966,9.5858,16,Chile
2018-03-05,0.9964,-10.8630,8.0115,17,Chile
2018-03-06,0.3550,-9.4239,9.5265,17,Chile
2018-03-07,-0.3444,-9.5169,8.3292,15,Chile
2018-03-08,-2.2487,-8.8743,8.6475,17,Chile
2018-03-09,-1.7384,-10.0110,9.4594,16,Chile
2018-03-10,-0.1204,-9.8886,10.8657,17,Chile
2018-03-11,0.6520,-10.4653,12.6964,17,Chile
2018-03-12,0.4654,-9.2504,13.8250,17,Chile
2018-03-13,0.3401,-11.4045,13.1455,17,Chile
