YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-1.6084,-20.1345,10.1115,60,China
2018-01-02,3.6783,-10.2325,18.7148,60,China
2018-01-03,-0.0331,-12.4165,12.9263,60,China
2018-01-04,-1.8719,-15.6816,11.6356,60,China
2018-01-05,-1.3919,-12.3928,8.2820,60,China
2018-01-06,-0.4907,-11.3652,8.8247,60,China
2018-01-07,-0.8420,-10.7670,6.6598,60,China
2018-01-08,-3.4259,-13.0835,4.8775,60,China
2018-01-09,-5.5581,-15.1410,2.7994,60,China
2018-01-10,-4.9401,-14.4680,2.6810,60,China
2018-01-11,-4.9068,-13.8753,2.7963,59,China
2018-01-12,-3.8331,-11.8083,2.3785,60,China
2018-01-13,-1.4510,-9.3182,4.1558,59,China
2018-01-14,-0.7493,-7.7339,4.6492,60,China
2018-01-15,0.7336,-5.2750,5.9637,60,China
2018-01-16,1.1331,-4.2989,5.9856,60,China
2018-01-17,0.6705,-4.6520,5.1530,60,China
2018-01-18,0.8456,-4.5643,5.1107,60,China
2018-01-19,1.2366,-3.7928,5.1986,60,China
2018-01-20,1.7408,-3.0956,5.1676,60,China
2018-01-21,2.7495,-2.2790,6.1992,60,China
2018-01-22,2.3863,-2.2058,5.3596,60,China
2018-01-23,3.1834,-0.6700,6.3016,60,China
2018-01-24,3.6152,-0.7777,6.9254,60,China
2018-01-25,2.7443,-1.1224,6.3606,60,China
2018-01-26,1.5680,-2.3428,5.0671,60,China
2018-01-27,1.8667,-3.7394,5.8577,60,China
2018-01-28,2.5628,-2.7115,6.1786,60,China
2018-01-29,3.8027,-0.7653,6.7571,60,China
2018-01-30,4.3320,-0.0147,7.0913,60,China
2018-01-31,4.3161,0.1408,7.7438,60,China
2018-02-01,4.5921,0.2751,7.8739,60,China
2018-02-02,3.5885,-0.6265,6.9921,60,China
2018-02-03,3.6148,-0.4233,6.4056,60,China
2018-02-04,2.8349,-2.0283,5.5670,60,China
2018-02-05,3.0216,-1.4539,6.1727,60,China
2018-02-06,3.6228,-1.3953,6.5867,60,China
2018-02-07,4.3661,-1.0978,7.2907,60,China
2018-02-08,3.9147,-1.3554,7.2492,60,China
2018-02-09,4.1286,-0.7889,7.1980,60,China
2018-02-10,3.7400,-1.1045,6.8753,60,China
2018-02-11,3.4417,-2.1761,6.7114,60,China
2018-02-12,2.1832,-3.0191,6.1159,60,China
2018-02-13,1.5145,-4.4520,5.2942,60,China
2018-02-14,1.6897,-3.7357,5.5746,60,China
2018-02-15,1.1459,-4.8740,5.2069,60,China
2018-02-16,-0.3065,-5.5728,3.5413,60,China
2018-02-17,-1.7325,-6.6587,2.9878,60,China
2018-02-18,-3.1898,-8.5351,1.8724,60,China
2018-02-19,-4.7193,-11.7706,1.1739,60,China
2018-02-20,-5.9787,-12.9395,1.1296,60,China
2018-02-21,-7.5113,-14.6971,0.3497,60,China
2018-02-22,-8.9976,-16.6252,0.3643,60,China
2018-02-23,-10.6256,-19.3237,-0.5517,60,China
2018-02-24,-11.1269,-20.9494,0.3719,60,China
2018-02-25,-11.5386,-20.7181,-1.2827,60,China
2018-02-26,-12.6324,-22.5171,-1.3103,60,China
2018-02-27,-12.5549,-22.7137,-1.0815,60,China
2018-02-28,-13.4327,-23.0975,-2.7828,60,China
2018-03-01,-14.0430,-24.0138,-4.1782,60,China
2018-03-02,-15.0057,-24.2083,-4.4542,60,China
2018-03-03,-14.6524,-22.6306,-4.5316,60,China
2018-03-04,-12.9671,-20.2262,-2.4467,60,China
2018-03-05,-12.7910,-20.9005,-3.0652,60,China
2018-03-06,-11.9487,-20.4618,-2.8091,60,China
2018-03-07,-11.5238,-19.1538,-2.3591,60,China
2018-03-08,-10.4287,-16.9874,-1.2866,60,China
2018-03-09,-9.6194,-15.2277,1.1658,60,China
2018-03-10,-8.3280,-15.9705,2.3630,60,China
2018-03-11,-6.4299,-12.8762,3.9213,60,China
2018-03-12,-5.0002,-11.3927,5.2240,60,China
2018-03-13,-3.3268,-9.3400,7.2730,60,China
2018-03-14,-1.5948,-8.8248,7.6664,60,China
2018-03-15,0.1738,-8.4533,7.9488,60,China
2018-03-16,0.1722,-8.9914,8.6724,60,China
2018-03-17,0.0866,-8.6484,8.2030,60,China
2018-03-18,1.0987,-6.3753,8.6897,60,China
2018-03-19,0.4242,-6.6416,8.6092,60,China
2018-03-20,1.0668,-6.9653,8.7629,60,China
2018-03-21,1.0517,-6.8352,8.0460,60,China
2018-03-22,2.3090,-6.3629,8.7236,60,China
2018-03-23,2.5844,-5.8630,8.9934,60,China
2018-03-24,1.7961,-7.6203,7.9392,60,China
2018-03-25,2.7349,-6.7851,9.7593,60,China
2018-03-26,2.6748,-5.7725,10.1038,60,China
2018-03-27,2.8898,-6.0403,10.3750,60,China
2018-03-28,2.9868,-6.3250,9.8701,60,China
2018-03-29,3.9378,-5.6587,10.5003,60,China
2018-03-30,5.1238,-5.4420,10.3343,60,China
2018-03-31,4.8238,-4.5390,10.9355,60,China
2018-04-01,4.8374,-2.8679,10.7208,60,China
2018-04-02,4.4042,-4.4226,10.3915,60,China
2018-04-03,4.4413,-4.0800,10.4185,60,China
2018-04-04,4.9088,-3.6686,10.4870,0,China
2018-04-05,5.4362,-4.3551,10.1616,59,China
2018-04-06,4.1153,-5.4747,8.9928,60,China
2018-04-07,3.1727,-7.6429,8.9115,60,China
2018-04-08,4.0844,-7.1102,8.7159,60,China
2018-04-09,4.4543,-6.3965,9.1541,60,China
2018-04-10,4.3120,-6.3398,10.4686,60,China
2018-04-11,3.8877,-5.1588,10.4260,60,China
2018-04-12,4.6533,-5.3960,10.9656,60,China
