YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-11-07,-13.5520,-25.5402,6.0358,5,Colombia
2018-11-08,-6.0152,-9.2829,8.2984,5,Colombia
2018-11-09,-2.7633,-11.6507,5.7826,5,Colombia
2018-11-10,-1.3190,-12.9873,10.3311,5,Colombia
2018-11-11,-1.7437,-14.2460,8.7619,4,Colombia
2018-11-12,-4.9059,-18.5302,4.0566,4,Colombia
2018-11-13,-3.9702,-15.4707,3.6288,4,Colombia
2018-11-14,-3.2229,-15.2794,2.0434,4,Colombia
2018-11-15,-0.3301,-14.1950,2.4502,4,Colombia
2018-11-16,-0.1673,-13.0800,1.4519,4,Colombia
2018-11-17,-0.9036,-13.3211,1.3904,4,Colombia
2018-11-18,-0.8284,-12.6839,1.2601,5,Colombia
2018-11-19,-0.5438,-11.3457,1.0246,5,Colombia
2018-11-20,-0.2043,-10.6053,1.5788,5,Colombia
2018-11-21,0.2656,-10.0162,2.1467,5,Colombia
2018-11-22,0.2656,-10.0162,2.1467,0,Colombia
2018-11-23,0.3185,-10.7150,2.5961,5,Colombia
2018-11-24,0.2446,-9.6562,2.5735,5,Colombia
2018-11-25,-0.5719,-10.6593,2.3271,5,Colombia
2018-11-26,-0.3458,-10.8772,3.2607,5,Colombia
2018-11-27,-0.3894,-11.3437,4.5607,5,Colombia
2018-11-28,-1.2660,-12.1946,4.6305,5,Colombia
2018-11-29,-1.7425,-12.0655,5.6131,5,Colombia
2018-11-30,-1.8925,-11.8504,6.4827,5,Colombia
2018-12-01,-1.1292,-9.4978,7.5003,5,Colombia
2018-12-02,-0.1973,-8.9951,7.6577,5,Colombia
2018-12-03,-0.4658,-9.7008,7.1744,5,Colombia
2018-12-04,-0.1645,-9.6225,7.0658,5,Colombia
2018-12-05,-1.2271,-8.9659,5.8445,5,Colombia
2018-12-06,-0.5519,-8.6195,5.1557,5,Colombia
2018-12-07,0.2391,-8.3779,5.9925,5,Colombia
2018-12-08,-0.0553,-7.7568,6.2029,5,Colombia
2018-12-09,-0.4928,-7.0524,5.1384,5,Colombia
2018-12-10,-0.5739,-7.4169,5.0206,5,Colombia
2018-12-11,0.3400,-6.3141,5.5527,5,Colombia
2018-12-12,0.4950,-5.5166,6.0556,5,Colombia
2018-12-13,-0.1183,-5.3281,5.7017,5,Colombia
2018-12-14,2.1515,-5.3045,5.8211,5,Colombia
2018-12-15,2.6942,-2.5094,6.8125,4,Colombia
2018-12-16,2.6369,-3.4345,5.9414,4,Colombia
2018-12-17,3.4977,-1.3326,6.8609,5,Colombia
2018-12-18,3.2056,-1.8705,7.5858,4,Colombia
2018-12-19,2.8170,-1.3019,7.3483,3,Colombia
2018-12-20,3.2324,-1.0673,7.5108,3,Colombia
