YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-22.3212,-44.2776,3.6398,6,Croatia
2018-01-02,-13.8245,-25.4555,-10.2077,6,Croatia
2018-01-03,-13.6226,-22.3397,-4.1279,6,Croatia
2018-01-04,-4.3923,-11.8979,1.0509,6,Croatia
2018-01-05,-3.9076,-10.3370,-1.4415,6,Croatia
2018-01-06,-6.8621,-14.7072,-1.4160,6,Croatia
2018-01-07,-3.4442,-12.0370,2.7310,6,Croatia
2018-01-08,0.2783,-10.5095,2.8023,6,Croatia
2018-01-09,-1.2169,-13.3091,0.6316,6,Croatia
2018-01-10,-1.5622,-13.7542,0.8798,6,Croatia
2018-01-11,-2.0515,-12.9688,2.3948,6,Croatia
2018-01-12,-4.8279,-13.5680,-1.1340,6,Croatia
2018-01-13,-4.8279,-13.3240,-1.1340,1,Croatia
2018-01-14,-6.9371,-13.1829,-2.8700,5,Croatia
2018-01-15,-7.2110,-12.3278,-4.6887,6,Croatia
2018-01-16,-7.4459,-12.0906,-3.9862,6,Croatia
2018-01-17,-6.4420,-9.0096,-3.7295,6,Croatia
2018-01-18,-5.9962,-9.0584,-4.1448,6,Croatia
2018-01-19,-5.3928,-10.4097,-2.9096,6,Croatia
2018-01-20,-5.0943,-9.9393,-2.4261,6,Croatia
2018-01-21,-4.4434,-9.5843,-1.9219,6,Croatia
2018-01-22,-3.7324,-9.3352,-0.4968,6,Croatia
2018-01-23,-2.7543,-8.5722,0.5282,6,Croatia
2018-01-24,-3.0443,-8.9356,1.1511,6,Croatia
2018-01-25,-3.2649,-6.4258,2.8903,6,Croatia
2018-01-26,-2.4194,-5.1774,4.1637,5,Croatia
2018-01-27,-2.1833,-3.6174,3.3508,5,Croatia
2018-01-28,-3.9642,-6.0450,1.4083,5,Croatia
2018-01-29,-2.7869,-6.5081,1.7777,6,Croatia
2018-01-30,-2.3126,-4.6088,3.2196,6,Croatia
2018-01-31,0.0827,-5.4618,4.2067,6,Croatia
2018-02-01,-0.9891,-2.3538,5.9814,6,Croatia
2018-02-02,-0.2975,-1.7197,5.8578,6,Croatia
2018-02-03,1.6514,-1.8544,7.0365,6,Croatia
2018-02-04,1.9037,-0.4609,7.8647,0,Croatia
2018-02-05,5.8487,-2.9227,9.8518,6,Croatia
2018-02-06,5.7151,-3.7867,8.1994,6,Croatia
2018-02-07,4.8804,-4.0603,9.2956,6,Croatia
2018-02-08,6.0969,-5.6067,9.5170,6,Croatia
2018-02-09,7.5486,-4.7926,9.3455,6,Croatia
2018-02-10,8.5446,-4.3200,9.5342,6,Croatia
2018-02-11,6.6621,-3.5298,10.2631,6,Croatia
2018-02-12,6.6211,-1.8060,10.6258,5,Croatia
2018-02-13,4.3367,-1.7227,10.2947,6,Croatia
2018-02-14,3.1748,-2.6670,10.5209,6,Croatia
2018-02-15,2.0590,-2.9010,10.0364,6,Croatia
2018-02-16,1.1992,-3.3646,8.5441,6,Croatia
2018-02-17,3.1370,0.0142,11.8634,6,Croatia
2018-02-18,2.6538,0.4331,11.6158,6,Croatia
2018-02-19,0.4039,-1.0979,8.0182,6,Croatia
2018-02-20,-0.1914,-2.6981,7.7014,6,Croatia
2018-02-21,0.1221,-2.6455,7.2792,6,Croatia
2018-02-22,-1.6769,-3.0524,6.9633,6,Croatia
2018-02-23,-0.9081,-5.9251,6.7613,6,Croatia
2018-02-24,-0.1996,-6.8195,6.7975,6,Croatia
2018-02-25,-2.9729,-9.1222,5.2034,5,Croatia
2018-02-26,-2.5661,-10.0845,5.0316,6,Croatia
2018-02-27,-4.4496,-8.7386,5.5422,6,Croatia
2018-02-28,-4.7078,-9.9810,5.9195,5,Croatia
2018-03-01,-3.2058,-8.7702,6.2085,5,Croatia
2018-03-02,-1.1801,-6.7616,4.6711,6,Croatia
2018-03-03,-0.3793,-4.6809,4.3742,6,Croatia
2018-03-04,-1.4228,-4.9808,1.9325,6,Croatia
2018-03-05,-1.5210,-5.0663,1.8631,6,Croatia
2018-03-06,-0.5532,-5.6989,2.4551,6,Croatia
2018-03-07,1.2573,-3.8097,3.8375,6,Croatia
2018-03-08,1.2138,-3.3839,2.2394,6,Croatia
2018-03-09,-1.2606,-3.5445,1.7146,6,Croatia
2018-03-10,-1.0597,-2.0762,3.1917,5,Croatia
2018-03-11,0.2017,-1.4166,4.4658,6,Croatia
2018-03-12,1.4370,-1.5506,4.1879,6,Croatia
2018-03-13,0.9809,-0.8941,4.3526,6,Croatia
2018-03-14,2.4841,-1.3482,5.0197,6,Croatia
2018-03-15,2.7099,-0.7572,4.2317,6,Croatia
2018-03-16,3.9466,-0.1385,27.2714,7,Croatia
2018-03-17,3.5265,-0.3433,17.6033,7,Croatia
2018-03-18,3.5174,-0.3765,7.3977,6,Croatia
2018-03-19,2.8901,-1.1879,5.6947,7,Croatia
2018-03-20,3.8645,-1.9481,7.4870,7,Croatia
2018-03-21,0.5938,-5.8288,5.7803,7,Croatia
2018-03-22,1.9633,-6.1374,4.6204,7,Croatia
2018-03-23,1.1601,-7.1116,4.8546,7,Croatia
2018-03-24,0.8858,-6.2446,4.6761,7,Croatia
2018-03-25,0.9712,-7.0187,5.3602,7,Croatia
2018-03-26,1.7736,-6.7721,5.8603,7,Croatia
2018-03-27,2.4759,-8.4780,6.0318,7,Croatia
2018-03-28,2.2883,-7.3273,5.6072,7,Croatia
2018-03-29,4.0973,-5.7215,6.8449,7,Croatia
2018-03-30,3.7457,-4.8460,8.6358,7,Croatia
2018-03-31,5.4933,-4.7131,7.7345,6,Croatia
2018-04-01,4.1462,-4.9076,6.3240,6,Croatia
2018-04-02,1.6216,-6.7283,4.1703,6,Croatia
2018-04-03,0.4609,-6.9940,4.2487,7,Croatia
2018-04-04,0.4609,-6.8260,3.6835,0,Croatia
2018-04-05,-2.6918,-6.0799,3.0702,7,Croatia
2018-04-06,-2.5977,-5.9866,3.5548,7,Croatia
2018-04-07,-1.6691,-4.3672,6.5358,7,Croatia
2018-04-08,-0.5136,-5.1152,6.2031,7,Croatia
2018-04-09,-0.3173,-5.1590,5.9043,7,Croatia
2018-04-10,2.1802,-2.1140,6.3231,7,Croatia
2018-04-11,2.9179,-2.6918,10.2868,7,Croatia
2018-04-12,2.0089,-2.8249,11.6996,6,Croatia
2018-04-13,0.7281,-3.1200,10.8929,6,Croatia
2018-04-14,2.2193,-1.3784,11.3899,6,Croatia
2018-04-15,3.3993,-2.0006,10.5797,5,Croatia
2018-04-16,4.9774,-2.3112,9.8879,6,Croatia
2018-04-17,5.2587,-2.4043,10.8281,6,Croatia
2018-04-18,1.8069,-4.7549,10.6326,6,Croatia
2018-04-19,0.7248,-6.7378,15.2072,7,Croatia
2018-04-20,1.5683,-5.5054,16.7652,7,Croatia
2018-04-21,3.5550,-5.5186,18.2191,7,Croatia
2018-04-22,6.5792,-5.0308,22.8737,7,Croatia
2018-04-23,9.1664,-3.8266,24.3256,7,Croatia
2018-04-24,10.4260,-2.9469,24.3449,7,Croatia
2018-04-25,10.2037,-4.3555,24.8754,7,Croatia
2018-04-26,7.6433,-2.7982,24.4252,7,Croatia
2018-04-27,7.5863,-2.8053,24.1092,7,Croatia
2018-04-28,8.4555,-1.6793,24.9138,7,Croatia
2018-04-29,7.7461,-1.1260,20.0310,7,Croatia
2018-04-30,6.4548,-2.0389,15.6078,7,Croatia
2018-05-01,1.3722,-3.7801,12.4870,7,Croatia
2018-05-02,1.0995,-2.0984,9.8793,7,Croatia
2018-05-03,2.2996,-3.2091,9.7945,7,Croatia
2018-05-04,0.9586,-2.7670,11.3116,7,Croatia
2018-05-05,0.2189,-1.9810,12.1602,7,Croatia
2018-05-06,0.7979,-3.1894,11.4625,6,Croatia
2018-05-07,0.8555,-1.2494,11.5027,7,Croatia
2018-05-08,2.3874,0.1696,10.3971,7,Croatia
2018-05-09,3.7960,0.6109,9.8391,7,Croatia
2018-05-10,3.8525,-0.6975,9.8577,7,Croatia
2018-05-11,0.9814,-1.4709,10.8600,7,Croatia
2018-05-12,0.2635,-1.4771,10.0932,6,Croatia
2018-05-13,-0.1429,-2.9050,7.8260,7,Croatia
2018-05-14,-0.7459,-4.9505,7.2507,7,Croatia
2018-05-15,-2.1605,-5.7506,7.3591,5,Croatia
2018-05-16,-2.1805,-4.4792,7.6077,5,Croatia
2018-05-17,-2.8341,-4.8810,6.5784,5,Croatia
2018-05-18,-3.7555,-6.2283,5.8437,5,Croatia
2018-05-19,-2.5735,-5.3692,4.6449,5,Croatia
2018-05-20,-1.4514,-4.3885,7.7119,4,Croatia
2018-05-21,-0.7234,-2.3374,12.0925,5,Croatia
2018-05-22,-0.1700,-1.9679,13.4253,5,Croatia
2018-05-23,-0.4912,-4.4404,14.2876,6,Croatia
2018-05-24,-1.9244,-5.4923,11.1564,6,Croatia
2018-05-25,-0.9062,-4.0230,12.8663,6,Croatia
2018-05-26,-1.4024,-5.4644,12.1145,6,Croatia
2018-05-27,-0.9768,-5.1573,11.6124,6,Croatia
2018-05-28,-0.2074,-4.5337,12.3776,7,Croatia
2018-05-29,-0.7098,-5.5853,8.2988,7,Croatia
2018-05-30,-2.2151,-6.4346,7.2098,7,Croatia
2018-05-31,-3.2717,-7.6374,0.4408,6,Croatia
2018-06-01,-2.9284,-8.3875,-1.4314,6,Croatia
2018-06-02,-2.3279,-8.6686,0.2907,6,Croatia
2018-06-03,-8.2111,-10.9842,1.0528,6,Croatia
2018-06-04,-4.7404,-8.3627,1.4166,6,Croatia
2018-06-05,-2.7533,-9.5087,1.5057,6,Croatia
2018-06-06,-0.6517,-10.3288,1.8148,6,Croatia
2018-06-07,0.0255,-12.6611,1.7996,3,Croatia
2018-06-08,0.3607,-10.7893,1.5588,3,Croatia
2018-06-09,-1.6275,-11.0873,0.8569,3,Croatia
2018-06-10,-4.5507,-9.7277,1.1618,3,Croatia
2018-06-11,-3.5294,-10.8441,0.5999,3,Croatia
2018-06-12,-4.0030,-9.4932,2.4129,3,Croatia
2018-06-13,-3.6425,-8.8960,4.6461,3,Croatia
2018-06-14,-2.9027,-10.0485,4.1731,3,Croatia
2018-06-15,-0.9839,-11.3681,10.3148,4,Croatia
2018-06-16,-1.5733,-11.2739,9.7904,4,Croatia
2018-06-17,-1.8325,-11.4908,8.0235,3,Croatia
2018-06-18,-2.6428,-11.6628,5.2044,4,Croatia
2018-06-19,0.5945,-13.3006,5.2523,5,Croatia
2018-06-20,0.9232,-11.8367,10.1150,4,Croatia
2018-06-21,-1.7587,-12.0264,15.7176,5,Croatia
2018-06-22,0.4094,-11.4191,15.2889,5,Croatia
2018-06-23,2.5227,-12.5922,24.4340,5,Croatia
2018-06-24,-2.8653,-15.8461,15.3602,5,Croatia
2018-06-25,-6.5291,-17.2681,31.8452,4,Croatia
2018-06-26,-10.5634,-16.4233,-2.0769,4,Croatia
2018-06-27,-10.7343,-16.8046,-4.3970,5,Croatia
2018-06-28,-10.1099,-37.8403,1.9503,6,Croatia
2018-06-29,-11.1209,-37.9342,7.2020,5,Croatia
2018-06-30,-12.8009,-39.1456,7.9136,5,Croatia
2018-07-01,-13.9626,-40.4938,4.3067,5,Croatia
2018-07-02,-15.0999,-41.9758,5.8793,5,Croatia
2018-07-03,-13.4648,-43.7848,11.1685,5,Croatia
