YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-37.7520,-45.4054,-30.0986,2,Denmark
2018-01-02,-22.2157,-38.6031,-5.8282,2,Denmark
2018-01-03,32.5053,-8.5692,59.9363,3,Denmark
2018-01-04,11.0687,-8.4123,56.6632,3,Denmark
2018-01-05,6.7171,-3.8123,15.7692,4,Denmark
2018-01-06,4.1730,-6.8120,13.5671,3,Denmark
2018-01-07,-2.2544,-3.2995,10.7350,4,Denmark
2018-01-08,11.1142,-0.0673,14.5057,5,Denmark
2018-01-09,9.8953,-3.5023,13.7133,2,Denmark
2018-01-10,5.6852,-2.7177,10.4235,4,Denmark
2018-01-11,7.2251,-0.4224,12.3838,4,Denmark
2018-01-12,6.4864,-0.6102,10.1140,3,Denmark
2018-01-13,6.4864,-3.1483,8.5604,2,Denmark
2018-01-14,6.4864,-3.0596,8.0348,2,Denmark
2018-01-15,6.4864,-3.2517,7.8157,2,Denmark
2018-01-16,5.7771,-1.0891,9.6379,3,Denmark
2018-01-17,4.8183,-0.9944,9.6379,2,Denmark
2018-01-18,5.5016,0.2323,10.1279,3,Denmark
2018-01-19,6.3442,0.2349,10.1279,2,Denmark
2018-01-20,6.2057,2.1585,10.1279,2,Denmark
2018-01-21,8.4070,2.6602,10.1279,2,Denmark
2018-01-22,7.6612,3.0317,21.6945,3,Denmark
2018-01-23,5.9717,2.8826,18.3499,5,Denmark
2018-01-24,7.8896,2.8140,19.9712,2,Denmark
2018-01-25,10.3695,2.7765,21.7134,2,Denmark
2018-01-26,10.3695,3.1488,33.8541,4,Denmark
2018-01-27,11.5911,2.9357,44.1234,2,Denmark
2018-01-28,9.7993,0.2140,60.0194,2,Denmark
2018-01-29,9.7993,0.4604,60.0194,2,Denmark
2018-01-30,16.6662,-0.4657,61.6032,2,Denmark
2018-01-31,17.5150,-1.9222,51.2834,3,Denmark
2018-02-01,17.5150,-0.6628,52.6159,2,Denmark
2018-02-02,17.5150,-0.0088,52.6159,2,Denmark
2018-02-03,17.5150,2.1593,52.6159,2,Denmark
2018-02-04,17.5150,2.7217,52.6159,0,Denmark
2018-02-05,10.6736,3.7759,53.2527,3,Denmark
2018-02-06,37.6341,4.8118,46.4152,5,Denmark
2018-02-07,25.9158,3.7723,44.8088,4,Denmark
2018-02-08,17.1038,3.4156,41.9489,5,Denmark
2018-02-09,13.3457,3.0266,36.4462,4,Denmark
2018-02-10,13.3457,3.2856,33.3660,3,Denmark
2018-02-11,13.3457,1.8249,30.0168,2,Denmark
2018-02-12,14.0137,1.5013,30.8997,2,Denmark
2018-02-13,13.1303,1.0448,29.3268,3,Denmark
2018-02-14,13.1303,2.9759,27.5629,4,Denmark
2018-02-15,14.9811,1.6216,16.5864,2,Denmark
2018-02-16,14.9811,0.2931,16.5864,2,Denmark
2018-02-17,14.9811,2.1779,16.5864,2,Denmark
2018-02-18,14.9811,2.6570,16.5864,2,Denmark
2018-02-19,6.9642,2.4132,12.6466,5,Denmark
2018-02-20,4.6713,0.8679,12.1945,5,Denmark
2018-02-21,6.4008,2.5271,14.3936,5,Denmark
2018-02-22,6.4008,1.9944,14.2136,3,Denmark
2018-02-23,6.1636,3.2437,14.9734,4,Denmark
2018-02-24,6.1636,3.4977,14.9734,2,Denmark
2018-02-25,2.8821,1.6756,14.9734,2,Denmark
2018-02-26,2.1760,-3.1142,9.8427,3,Denmark
2018-02-27,6.5463,2.3418,11.2888,3,Denmark
2018-02-28,3.2944,1.0404,14.5354,3,Denmark
2018-03-01,3.2944,1.6931,19.8727,3,Denmark
2018-03-02,3.2944,2.1741,39.6557,3,Denmark
2018-03-03,4.2084,3.4457,39.6557,2,Denmark
2018-03-04,5.2243,3.5395,39.6557,2,Denmark
2018-03-05,4.3735,3.4444,46.3779,2,Denmark
2018-03-06,4.0011,2.8086,44.0063,5,Denmark
2018-03-07,4.8679,2.8861,39.6369,3,Denmark
2018-03-08,5.0289,2.9548,38.8389,3,Denmark
2018-03-09,3.3126,2.2278,34.3619,3,Denmark
2018-03-10,3.9742,2.0157,34.3619,2,Denmark
2018-03-11,3.7767,1.0147,41.7931,3,Denmark
2018-03-12,29.3482,1.0492,47.0958,5,Denmark
2018-03-13,21.4552,-0.1804,44.2798,4,Denmark
2018-03-14,21.4552,-4.6797,47.8744,2,Denmark
2018-03-15,20.4630,-6.1591,52.0613,0,Denmark
2018-03-16,20.4630,-7.4701,52.0613,1,Denmark
2018-03-17,20.4630,-5.2347,52.0613,1,Denmark
2018-03-18,20.4630,-5.0493,56.5619,1,Denmark
2018-03-19,27.3988,-6.1782,51.0882,2,Denmark
2018-03-20,24.5785,-7.5807,51.9924,2,Denmark
2018-03-21,14.5532,-9.7566,42.5237,2,Denmark
2018-03-22,1.2163,-11.5661,21.5162,4,Denmark
2018-03-23,1.2163,-13.0875,21.5162,2,Denmark
2018-03-24,1.2163,-14.0780,21.5162,2,Denmark
2018-03-25,1.2163,-15.2603,21.5162,2,Denmark
2018-03-26,-4.4496,-18.3278,24.7600,2,Denmark
2018-03-27,-1.9103,-19.5179,24.7600,0,Denmark
