YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-12.8189,-26.3329,-5.1350,7,Ecuador
2018-01-02,-2.0906,-16.7274,2.4759,7,Ecuador
2018-01-03,7.1957,-6.0093,11.0233,7,Ecuador
2018-01-04,8.6806,-2.0378,11.6220,7,Ecuador
2018-01-05,9.7747,-1.6021,11.9795,7,Ecuador
2018-01-06,10.0213,-0.0861,13.1806,7,Ecuador
2018-01-07,9.1684,-0.4866,11.4021,7,Ecuador
2018-01-08,7.7467,-0.4422,11.0109,7,Ecuador
2018-01-09,9.8417,1.0387,12.6468,7,Ecuador
2018-01-10,10.2444,2.4696,14.1360,7,Ecuador
2018-01-11,11.0459,2.1167,13.8825,7,Ecuador
2018-01-12,9.5083,1.1594,11.9365,7,Ecuador
2018-01-13,7.8254,1.2235,11.6510,7,Ecuador
2018-01-14,6.7330,0.3469,10.7785,7,Ecuador
2018-01-15,6.9065,0.0005,10.1100,7,Ecuador
2018-01-16,8.0527,1.0980,10.7985,7,Ecuador
2018-01-17,7.3494,0.9064,11.2054,7,Ecuador
2018-01-18,6.5120,0.2425,10.3702,7,Ecuador
2018-01-19,5.5163,-1.0926,8.8589,7,Ecuador
2018-01-20,5.4920,-1.7698,8.2861,7,Ecuador
2018-01-21,5.8643,-0.9343,9.0760,7,Ecuador
2018-01-22,3.7872,-1.8092,8.5945,7,Ecuador
2018-01-23,2.9766,-2.5998,7.3156,7,Ecuador
2018-01-24,2.6913,-3.2188,6.4909,7,Ecuador
2018-01-25,1.5253,-4.3827,5.1260,7,Ecuador
2018-01-26,1.1470,-4.1075,4.9185,7,Ecuador
2018-01-27,0.7320,-3.6375,4.4794,7,Ecuador
2018-01-28,0.1988,-3.8041,3.0500,7,Ecuador
2018-01-29,-1.5372,-4.4315,1.3624,7,Ecuador
2018-01-30,-2.3235,-5.1184,-0.1484,7,Ecuador
2018-01-31,-2.3814,-5.2612,-1.0732,7,Ecuador
2018-02-01,-2.2589,-4.1193,-0.4504,7,Ecuador
2018-02-02,-2.3665,-4.4588,-1.0226,7,Ecuador
2018-02-03,-2.1289,-2.8278,2.0147,6,Ecuador
2018-02-04,-2.9775,-5.1236,1.7490,6,Ecuador
2018-02-05,-4.1927,-8.1201,-0.9268,7,Ecuador
2018-02-06,-4.6286,-9.2264,-0.7977,7,Ecuador
2018-02-07,-5.2541,-9.7830,-1.1451,7,Ecuador
2018-02-08,-5.2632,-9.7560,-0.7894,7,Ecuador
2018-02-09,-5.3751,-10.0809,-0.4001,7,Ecuador
2018-02-10,-6.2204,-10.9878,-0.0281,7,Ecuador
2018-02-11,-7.2423,-12.0319,-0.3428,7,Ecuador
2018-02-12,-8.0522,-13.9489,-1.3931,7,Ecuador
2018-02-13,-7.7591,-14.3289,-3.1660,7,Ecuador
2018-02-14,-7.5314,-14.2809,-2.2112,7,Ecuador
2018-02-15,-8.0614,-15.2593,-3.4403,7,Ecuador
2018-02-16,-8.0209,-13.7059,-3.6681,7,Ecuador
2018-02-17,-6.6973,-12.0255,-2.3467,7,Ecuador
2018-02-18,-6.9031,-10.7006,-2.3907,7,Ecuador
2018-02-19,-6.2803,-9.5369,-3.2816,7,Ecuador
2018-02-20,-6.2547,-8.0444,-3.1925,7,Ecuador
2018-02-21,-5.9683,-8.8777,-3.3534,7,Ecuador
2018-02-22,-4.8065,-8.1885,-2.7593,7,Ecuador
2018-02-23,-6.4517,-9.4347,-4.7461,7,Ecuador
2018-02-24,-5.9816,-9.3060,-4.1537,7,Ecuador
2018-02-25,-5.1301,-8.9765,-3.8247,7,Ecuador
2018-02-26,-5.1504,-9.4505,-3.8276,7,Ecuador
2018-02-27,-4.3808,-7.8721,-2.5101,7,Ecuador
2018-02-28,-3.3381,-6.4838,-1.1744,7,Ecuador
2018-03-01,-3.1960,-5.1476,-0.3800,7,Ecuador
2018-03-02,-1.5354,-3.7260,0.5859,7,Ecuador
2018-03-03,0.8040,-2.2863,2.8603,7,Ecuador
2018-03-04,1.5223,-0.7309,3.6622,7,Ecuador
2018-03-05,1.1410,-0.2705,4.3193,7,Ecuador
2018-03-06,2.0263,0.2756,4.1708,7,Ecuador
2018-03-07,2.5130,0.1789,5.3539,7,Ecuador
2018-03-08,3.2288,0.5463,5.6227,7,Ecuador
2018-03-09,2.8692,0.3930,4.3149,7,Ecuador
2018-03-10,3.0629,-0.2304,6.7334,7,Ecuador
2018-03-11,3.4097,-0.4879,7.6755,7,Ecuador
2018-03-12,2.3760,-1.3263,7.5285,7,Ecuador
2018-03-13,1.5383,-0.8905,7.0445,7,Ecuador
2018-03-14,1.6030,-1.7718,6.5547,7,Ecuador
2018-03-15,2.3235,-1.1775,7.7100,7,Ecuador
2018-03-16,3.4981,0.0305,10.3226,7,Ecuador
2018-03-17,5.7796,2.0026,12.4024,7,Ecuador
2018-03-18,5.1564,3.0470,12.9555,7,Ecuador
2018-03-19,5.9558,3.2285,13.3809,7,Ecuador
2018-03-20,7.7895,4.8061,13.8918,7,Ecuador
2018-03-21,7.6307,5.2507,14.0558,7,Ecuador
2018-03-22,7.5200,5.3087,14.1742,7,Ecuador
2018-03-23,8.3174,4.7679,13.4487,7,Ecuador
2018-03-24,10.7766,5.5637,16.4414,7,Ecuador
2018-03-25,12.4786,6.7559,20.0064,7,Ecuador
2018-03-26,12.5143,6.9554,18.7594,7,Ecuador
2018-03-27,12.0453,7.1837,18.2800,7,Ecuador
2018-03-28,12.2243,7.1018,17.6191,7,Ecuador
2018-03-29,12.7999,7.6359,18.0881,7,Ecuador
2018-03-30,12.7987,7.8845,16.4779,7,Ecuador
2018-03-31,12.8675,7.6170,15.6035,6,Ecuador
2018-04-01,11.5740,8.2146,16.1183,6,Ecuador
2018-04-02,11.9947,8.9471,16.9761,7,Ecuador
2018-04-03,13.3109,9.2012,17.0702,7,Ecuador
2018-04-04,13.1642,8.4293,16.6490,7,Ecuador
2018-04-05,13.0008,8.1838,16.1674,7,Ecuador
2018-04-06,12.5206,6.7995,14.2790,7,Ecuador
2018-04-07,13.0282,7.2420,14.3740,7,Ecuador
2018-04-08,11.7532,6.6404,13.7878,7,Ecuador
2018-04-09,8.6994,4.5376,11.4413,7,Ecuador
2018-04-10,7.9132,2.9122,10.0891,7,Ecuador
2018-04-11,8.7182,4.0008,10.3058,7,Ecuador
2018-04-12,7.9521,5.3615,11.1861,7,Ecuador
2018-04-13,6.1688,1.5914,8.7509,7,Ecuador
2018-04-14,4.0458,-1.2128,7.1198,7,Ecuador
2018-04-15,4.8514,0.5301,6.7481,7,Ecuador
2018-04-16,1.9456,0.2967,6.2437,7,Ecuador
2018-04-17,0.8471,-1.1326,5.4089,7,Ecuador
2018-04-18,-0.9897,-1.9897,4.5535,7,Ecuador
2018-04-19,-0.3231,-3.6781,4.6728,7,Ecuador
2018-04-20,-0.0998,-5.6069,4.0384,7,Ecuador
2018-04-21,0.4142,-5.3506,4.1973,7,Ecuador
2018-04-22,-0.6221,-7.1072,3.0201,7,Ecuador
2018-04-23,-1.8459,-8.6490,1.2905,7,Ecuador
2018-04-24,-2.2154,-8.5256,0.9885,7,Ecuador
2018-04-25,-4.2852,-8.9863,0.1095,7,Ecuador
2018-04-26,-3.3752,-9.5030,0.3494,7,Ecuador
2018-04-27,-3.2100,-9.7731,0.8411,7,Ecuador
2018-04-28,-3.9964,-8.2316,2.1295,7,Ecuador
2018-04-29,-2.5577,-7.3412,4.0246,7,Ecuador
2018-04-30,-1.1071,-7.3189,3.9725,7,Ecuador
2018-05-01,-2.5982,-9.0984,1.5527,7,Ecuador
2018-05-02,-3.5630,-11.2318,0.8490,7,Ecuador
2018-05-03,-2.2817,-11.3335,0.9694,7,Ecuador
2018-05-04,-3.2483,-10.4061,0.8765,7,Ecuador
2018-05-05,-3.8504,-7.7610,2.1298,7,Ecuador
2018-05-06,-3.2803,-6.1946,2.4117,7,Ecuador
2018-05-07,-2.9270,-5.1899,1.8781,7,Ecuador
2018-05-08,-2.4992,-4.4321,1.8670,7,Ecuador
2018-05-09,-2.3733,-4.2536,2.1109,7,Ecuador
2018-05-10,-0.5897,-3.0179,3.1819,7,Ecuador
2018-05-11,0.3058,-2.5287,2.6472,7,Ecuador
2018-05-12,0.3390,-2.2805,2.9516,7,Ecuador
2018-05-13,0.9561,-1.7766,3.5372,7,Ecuador
2018-05-14,1.2165,-1.6202,4.1244,7,Ecuador
2018-05-15,1.7956,-2.0817,3.5458,7,Ecuador
2018-05-16,1.6708,-2.3916,3.2231,7,Ecuador
2018-05-17,0.8392,-3.5412,3.7905,7,Ecuador
2018-05-18,0.1099,-4.6242,2.5851,7,Ecuador
2018-05-19,-1.0658,-5.7537,2.1750,7,Ecuador
2018-05-20,0.0159,-6.3877,4.3623,7,Ecuador
2018-05-21,-0.2670,-8.0555,4.4221,7,Ecuador
2018-05-22,0.2729,-8.7319,5.9863,7,Ecuador
2018-05-23,-0.9934,-9.9102,6.7065,7,Ecuador
2018-05-24,-1.6021,-10.1074,6.8784,7,Ecuador
2018-05-25,-4.0043,-11.6727,5.3832,7,Ecuador
