YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-30.8846,-52.0105,-9.2544,16,Finland
2018-01-02,-21.4862,-33.2150,-3.8841,16,Finland
2018-01-03,-18.4661,-32.2124,-0.0858,16,Finland
2018-01-04,-15.6289,-28.7106,-0.6570,16,Finland
2018-01-05,-15.7984,-25.3379,0.5483,16,Finland
2018-01-06,-14.7040,-25.3438,0.1961,16,Finland
2018-01-07,-12.7160,-25.3438,2.7729,13,Finland
2018-01-08,-9.1060,-19.1180,5.0435,16,Finland
2018-01-09,-5.0303,-18.1512,6.2678,16,Finland
2018-01-10,-6.5184,-18.5254,4.3334,16,Finland
2018-01-11,-8.1030,-20.9560,4.2235,15,Finland
2018-01-12,-8.1030,-20.9560,4.2235,0,Finland
2018-01-13,-8.1030,-20.9560,4.2235,0,Finland
2018-01-14,-9.3371,-22.2106,3.1939,16,Finland
2018-01-15,-9.8620,-22.6242,3.0222,16,Finland
2018-01-16,-10.4284,-20.8039,2.0854,16,Finland
2018-01-17,-9.3636,-20.7677,1.3132,16,Finland
2018-01-18,-7.8724,-20.4249,0.6877,16,Finland
2018-01-19,-7.3990,-18.8987,1.1411,16,Finland
2018-01-20,-6.6400,-16.1887,0.6828,16,Finland
2018-01-21,-5.2874,-14.9347,1.5305,16,Finland
2018-01-22,-4.8957,-14.2954,1.7744,16,Finland
2018-01-23,-4.2102,-9.9718,2.7625,16,Finland
2018-01-24,-2.8333,-10.2677,3.5617,16,Finland
2018-01-25,-2.0684,-10.1483,4.8373,16,Finland
2018-01-26,-1.1200,-9.0840,6.7556,16,Finland
2018-01-27,-0.7956,-9.6107,5.3311,16,Finland
2018-01-28,-1.8488,-10.2867,3.2859,16,Finland
2018-01-29,-3.5786,-9.9590,2.7780,16,Finland
2018-01-30,-1.7105,-8.8543,2.6536,16,Finland
2018-01-31,-1.2946,-7.1728,3.9485,16,Finland
2018-02-01,-1.5570,-8.4742,3.5602,16,Finland
2018-02-02,-1.4856,-9.6705,2.8092,16,Finland
2018-02-03,-0.9494,-8.4367,3.4268,16,Finland
2018-02-04,0.2330,-8.3442,3.5629,0,Finland
2018-02-05,0.8402,-7.8434,4.2761,15,Finland
2018-02-06,0.7240,-6.9453,4.3241,16,Finland
2018-02-07,2.4621,-5.3675,6.2593,16,Finland
2018-02-08,2.3962,-5.2613,6.5567,16,Finland
2018-02-09,1.6145,-7.4812,4.7750,16,Finland
2018-02-10,0.2537,-8.3804,5.0270,16,Finland
2018-02-11,0.2112,-9.9111,5.2594,16,Finland
2018-02-12,-1.2101,-11.1112,3.5312,16,Finland
2018-02-13,-1.9847,-11.3805,3.1081,16,Finland
2018-02-14,-2.0061,-10.1591,2.4982,16,Finland
2018-02-15,-2.3619,-9.6815,2.4332,16,Finland
2018-02-16,-3.1223,-9.0647,2.7044,16,Finland
2018-02-17,-2.5532,-8.4383,2.7235,16,Finland
