YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-05,4.0293,-23.6987,34.7824,214,France
2018-01-06,5.8071,-23.0269,27.5863,212,France
2018-01-07,-1.1244,-25.5839,15.7063,213,France
2018-01-08,-3.1489,-24.7328,10.9685,216,France
2018-01-09,-1.8377,-18.1690,9.7634,220,France
2018-01-10,-0.7172,-13.7296,10.4845,217,France
2018-01-11,0.5927,-12.7159,10.4910,222,France
2018-01-12,1.5019,-11.0172,10.2454,222,France
2018-01-13,1.9569,-8.3660,10.7374,219,France
2018-01-14,2.1557,-9.0183,10.0096,215,France
2018-01-15,2.2851,-8.1513,9.7617,222,France
2018-01-16,1.6296,-7.7547,9.8430,212,France
2018-01-17,1.3840,-8.5462,9.5838,213,France
2018-01-18,1.2397,-8.0789,8.8414,209,France
2018-01-19,2.0506,-8.0235,9.5837,210,France
2018-01-20,2.1532,-7.1960,9.7482,205,France
2018-01-21,1.4790,-8.0012,8.7442,200,France
2018-01-22,1.4990,-8.0691,8.8101,215,France
2018-01-23,1.7280,-7.6817,8.0145,217,France
2018-01-24,1.0830,-8.0109,8.2566,213,France
2018-01-25,1.3636,-7.3384,8.4364,218,France
2018-01-26,1.3690,-6.5066,9.4264,219,France
2018-01-27,2.6823,-5.6561,9.9207,217,France
2018-01-28,2.4643,-6.0116,9.5955,216,France
2018-01-29,2.0268,-6.6292,9.8363,218,France
2018-01-30,1.3326,-6.4498,9.1138,217,France
2018-01-31,0.7798,-6.4835,7.8040,217,France
2018-02-01,0.7243,-8.2919,7.5627,214,France
2018-02-02,0.0034,-8.4804,6.8752,216,France
2018-02-03,-0.6284,-10.1131,6.4386,212,France
2018-02-04,-0.6941,-10.1750,6.6842,0,France
2018-02-05,-0.3249,-11.2256,6.4757,212,France
2018-02-06,0.0055,-10.4148,7.4830,221,France
2018-02-07,0.0275,-9.9379,7.3026,220,France
2018-02-08,-0.4023,-8.9299,7.0410,221,France
2018-02-09,-0.0777,-9.8925,7.9806,221,France
2018-02-10,0.9817,-8.4869,8.7017,219,France
2018-02-11,0.7413,-8.8674,8.7923,218,France
2018-02-12,1.4372,-7.1345,9.6873,220,France
2018-02-13,0.6176,-9.0814,10.5738,215,France
2018-02-14,0.4178,-9.3248,10.3491,0,France
2018-02-15,-0.0633,-8.8792,8.7262,0,France
2018-02-16,-0.5374,-10.6770,8.9665,0,France
2018-02-17,0.3727,-10.2537,9.0645,0,France
2018-02-18,0.6053,-9.4777,9.4085,0,France
2018-02-19,0.6264,-8.8701,10.7898,0,France
2018-02-20,1.4292,-8.8548,12.2672,0,France
2018-02-21,1.9044,-8.3616,13.8149,0,France
2018-02-22,2.3546,-7.5335,13.7489,0,France
2018-02-23,3.2237,-6.9267,15.2879,0,France
2018-02-24,3.2237,-6.9267,15.2879,0,France
2018-02-25,3.7433,-8.9350,17.3084,217,France
2018-02-26,2.1518,-10.1485,17.1642,218,France
2018-02-27,1.0298,-11.6128,14.9987,217,France
2018-02-28,0.9624,-12.4299,14.9541,220,France
2018-03-01,0.3268,-12.8768,14.1035,220,France
2018-03-02,-0.0190,-12.4725,11.5049,219,France
2018-03-03,2.7787,-10.6291,15.4094,216,France
2018-03-04,2.4281,-11.9731,14.9369,216,France
2018-03-05,4.3831,-8.2160,15.6969,216,France
2018-03-06,4.3648,-6.8186,14.2962,215,France
2018-03-07,4.1280,-6.8754,13.6288,215,France
2018-03-08,3.7594,-6.4701,12.1664,218,France
2018-03-09,4.1033,-6.4838,12.6395,219,France
2018-03-10,4.4891,-7.4140,12.6753,213,France
2018-03-11,3.1991,-7.5562,11.6434,213,France
2018-03-12,2.7571,-8.3270,10.8526,210,France
2018-03-13,2.6373,-8.1620,10.0705,217,France
2018-03-14,2.3982,-8.0822,10.1884,219,France
2018-03-15,2.3162,-8.0641,10.0464,217,France
2018-03-16,2.4411,-7.6314,9.6089,218,France
2018-03-17,2.3165,-7.8725,8.9729,217,France
2018-03-18,2.3846,-7.8555,9.0446,216,France
2018-03-19,2.5664,-7.4589,9.6821,218,France
2018-03-20,2.4234,-8.3118,9.1694,220,France
2018-03-21,0.9768,-9.6378,8.1528,210,France
2018-03-22,0.6376,-9.5875,7.5588,222,France
2018-03-23,-0.2988,-10.0360,6.6717,221,France
2018-03-24,-0.6242,-10.2540,6.1482,216,France
2018-03-25,-0.7745,-9.5639,6.8750,215,France
2018-03-26,-0.6091,-10.0004,6.8136,220,France
2018-03-27,-0.0081,-8.8489,6.9204,216,France
2018-03-28,0.1687,-10.0964,7.3889,218,France
2018-03-29,0.1014,-10.0952,7.3283,220,France
2018-03-30,-0.0807,-9.0962,8.5643,220,France
2018-03-31,0.4945,-9.2467,9.7144,216,France
2018-04-01,0.6777,-8.8623,10.1015,216,France
2018-04-02,-0.5480,-10.5470,8.7811,214,France
2018-04-03,-0.5244,-10.4080,9.1691,219,France
2018-04-04,-0.7253,-10.5378,9.1222,0,France
2018-04-05,-0.7323,-9.5198,9.7532,220,France
2018-04-06,-0.4306,-9.7887,9.8097,221,France
2018-04-07,1.0484,-9.3446,10.9445,216,France
2018-04-08,0.6926,-9.7860,10.8415,215,France
2018-04-09,1.5827,-10.8171,11.2838,218,France
2018-04-10,3.1674,-8.1755,12.0898,221,France
2018-04-11,3.0010,-8.8058,12.2248,219,France
2018-04-12,3.2818,-9.2796,12.1366,217,France
2018-04-13,3.1718,-8.3193,11.8530,217,France
2018-04-14,3.0123,-6.4793,13.0122,215,France
2018-04-15,2.6100,-7.3545,11.5330,211,France
2018-04-16,1.9087,-9.0459,10.2101,219,France
2018-04-17,1.2193,-8.0858,9.9430,219,France
2018-04-18,1.9932,-7.9668,9.6613,210,France
2018-04-19,1.4933,-7.5837,9.3055,213,France
2018-04-20,1.6395,-7.8930,9.3531,215,France
2018-04-21,1.9450,-7.0166,10.4092,215,France
2018-04-22,2.5649,-6.6068,11.9090,213,France
2018-04-23,2.0005,-8.2100,11.8516,213,France
2018-04-24,1.4604,-8.1807,11.2980,213,France
2018-04-25,-0.0054,-18.0883,11.7685,257,France
2018-04-26,-0.7544,-18.0787,10.5379,262,France
2018-04-27,-1.0401,-15.4978,9.7742,262,France
2018-04-28,-1.4924,-14.3311,8.7511,260,France
2018-04-29,-2.3135,-15.2451,7.7807,259,France
2018-04-30,-3.3358,-14.9507,7.2309,258,France
2018-05-01,-5.4413,-17.9072,5.5437,249,France
2018-05-02,-4.8328,-15.5937,5.3341,261,France
2018-05-03,-4.5641,-16.0756,5.4012,270,France
2018-05-04,-4.3204,-15.0794,6.8305,276,France
2018-05-05,-3.1648,-14.0503,8.3488,266,France
2018-05-06,-2.8340,-13.3235,8.6187,273,France
2018-05-07,-2.4690,-12.6202,8.6097,275,France
2018-05-08,-3.7636,-14.2445,6.1564,270,France
2018-05-09,-4.3251,-14.1725,5.6128,272,France
2018-05-10,-5.8525,-16.2171,4.3710,267,France
2018-05-11,-6.3210,-17.3428,3.9637,272,France
2018-05-12,-5.7284,-16.2597,5.0964,267,France
2018-05-13,-6.1370,-16.1416,5.2224,259,France
2018-05-14,-5.0465,-15.4434,5.3446,272,France
2018-05-15,-4.6696,-13.9800,5.0805,274,France
2018-05-16,-3.5506,-12.2337,6.7250,275,France
2018-05-17,-3.8779,-12.7615,6.5220,275,France
2018-05-18,-3.3825,-11.4830,7.1908,275,France
2018-05-19,-2.5999,-10.4454,8.5890,273,France
2018-05-20,-2.1314,-10.5694,8.5792,267,France
2018-05-21,-1.6346,-9.6814,8.5046,265,France
2018-05-22,-1.5758,-10.1678,9.2223,254,France
2018-05-23,-1.7198,-9.9140,9.7085,274,France
2018-05-24,-2.0392,-10.5844,8.5118,276,France
2018-05-25,-2.1510,-10.3645,8.2064,274,France
2018-05-26,-1.9635,-10.2480,8.5298,248,France
2018-05-27,-2.4780,-10.8992,8.1618,269,France
2018-05-28,-1.0598,-9.4779,10.0249,272,France
2018-05-29,-1.1035,-9.0995,9.4044,269,France
2018-05-30,0.6619,-7.9286,11.2863,270,France
2018-05-31,0.7255,-7.9492,11.5780,272,France
2018-06-01,0.3903,-8.8684,11.3972,266,France
2018-06-02,0.8991,-8.6177,12.1029,265,France
2018-06-03,-0.1756,-9.5582,11.0792,263,France
2018-06-04,-0.4547,-10.4540,10.8101,270,France
2018-06-05,-1.3787,-11.4941,10.0367,271,France
2018-06-06,-1.1967,-11.5434,9.9162,270,France
2018-06-07,-1.2255,-11.4963,9.7432,269,France
2018-06-08,-1.2577,-11.6770,9.6497,270,France
2018-06-09,-1.4170,-11.3749,10.2001,260,France
2018-06-10,-0.7818,-10.8282,11.1650,260,France
2018-06-11,-0.9932,-12.1132,11.0766,270,France
2018-06-12,-1.5891,-12.7052,11.1134,265,France
2018-06-13,-1.6641,-12.5397,9.8066,268,France
2018-06-14,-2.0981,-13.3269,9.3462,266,France
2018-06-15,-1.9916,-14.2740,7.7592,255,France
2018-06-16,-2.1549,-13.8727,8.5062,237,France
2018-06-17,-3.3877,-16.1838,7.8208,222,France
