YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-05,-7.4177,-16.2491,1.4136,2,Germany
2018-01-06,-8.4683,-14.0219,-2.9146,2,Germany
2018-01-07,-11.8801,-16.4777,-7.2825,2,Germany
2018-01-08,-12.4262,-17.6955,-7.1570,2,Germany
2018-01-09,-11.9869,-15.6700,-8.3038,2,Germany
2018-01-10,-9.7282,-12.4886,-6.9678,2,Germany
2018-01-11,-8.2735,-9.2389,-7.3080,2,Germany
2018-01-12,-6.0523,-6.7719,-5.3328,2,Germany
2018-01-13,-6.3692,-6.9368,-5.8016,2,Germany
2018-01-14,-6.4705,-6.9087,-6.0323,2,Germany
2018-01-15,-5.1617,-5.1965,-5.1268,2,Germany
2018-01-16,-3.8396,-4.6872,-2.9920,2,Germany
2018-01-17,-3.7746,-4.7367,-2.8124,2,Germany
2018-01-18,-3.2489,-3.9842,-2.5136,2,Germany
2018-01-19,-3.1596,-4.1143,-2.2050,2,Germany
2018-01-20,-1.0016,-2.6996,0.6963,2,Germany
2018-01-21,-2.2927,-4.7627,0.1772,2,Germany
2018-01-22,-2.3425,-4.5397,-0.1452,2,Germany
2018-01-23,-2.2244,-4.1762,-0.2726,2,Germany
2018-01-24,-2.6242,-4.1472,-1.1013,2,Germany
2018-01-25,-2.3217,-4.0860,-0.5573,2,Germany
2018-01-26,-1.7925,-3.5128,-0.0721,2,Germany
2018-01-27,0.1462,-2.3480,2.6405,2,Germany
2018-01-28,-0.2784,-3.4550,2.8982,2,Germany
2018-01-29,-0.6556,-3.5383,2.2271,2,Germany
2018-01-30,-1.0103,-3.8669,1.8462,2,Germany
2018-01-31,-1.7276,-4.1681,0.7129,2,Germany
2018-02-01,-2.9578,-5.3824,-0.5331,2,Germany
2018-02-02,-3.1546,-5.5516,-0.7577,2,Germany
2018-02-03,-3.2972,-6.1542,-0.4402,2,Germany
2018-02-04,-3.8879,-6.6848,-1.0911,0,Germany
2018-02-05,-4.3864,-6.9188,-1.8540,2,Germany
2018-02-06,-4.0778,-6.4036,-1.7520,2,Germany
2018-02-07,-3.8091,-6.4409,-1.1772,2,Germany
2018-02-08,-2.7725,-5.4877,-0.0573,2,Germany
2018-02-09,-4.3809,-6.3758,-2.3861,2,Germany
2018-02-10,-2.8859,-4.1279,-1.6440,2,Germany
2018-02-11,-2.9253,-3.9485,-1.9022,2,Germany
2018-02-12,-3.3595,-3.7670,-2.9521,2,Germany
2018-02-13,-3.7600,-4.9411,-2.5789,2,Germany
2018-02-14,-3.8930,-5.3620,-2.4240,0,Germany
2018-02-15,-4.1847,-5.9258,-2.4436,0,Germany
2018-02-16,-5.7006,-6.7510,-4.6502,0,Germany
