YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-02,-39.0656,-63.2208,10.1104,14,HongKongSAR
2018-01-03,-22.7511,-43.4855,3.1361,14,HongKongSAR
2018-01-04,-19.9076,-33.9864,-1.8197,14,HongKongSAR
2018-01-05,-12.5439,-23.7097,2.4624,14,HongKongSAR
2018-01-06,-10.4626,-22.1593,2.1094,14,HongKongSAR
2018-01-07,-12.7479,-23.2435,-1.3223,14,HongKongSAR
2018-01-08,-11.5286,-21.1702,-1.5650,14,HongKongSAR
2018-01-09,-9.4725,-16.6033,0.0640,14,HongKongSAR
2018-01-10,-8.9137,-15.0382,0.2853,14,HongKongSAR
2018-01-11,-9.5272,-14.1781,-0.6279,14,HongKongSAR
2018-01-12,-8.1773,-12.7645,0.3346,14,HongKongSAR
2018-01-13,-6.6905,-11.7153,0.2264,14,HongKongSAR
2018-01-14,-6.2579,-11.5865,0.0943,14,HongKongSAR
2018-01-15,-5.1498,-11.1635,0.5457,14,HongKongSAR
2018-01-16,-4.4518,-10.1592,1.0542,14,HongKongSAR
2018-01-17,-3.7241,-8.8525,2.1963,14,HongKongSAR
2018-01-18,-3.0564,-8.5890,3.2125,14,HongKongSAR
2018-01-19,-2.7330,-8.9019,3.5755,14,HongKongSAR
2018-01-20,-3.6990,-9.8547,3.2750,14,HongKongSAR
2018-01-21,-3.9774,-10.3334,3.6444,14,HongKongSAR
2018-01-22,-1.9193,-8.1427,4.6167,14,HongKongSAR
2018-01-23,-0.4407,-7.3568,5.1542,14,HongKongSAR
2018-01-24,-0.2351,-6.5225,5.9609,14,HongKongSAR
2018-01-25,-0.8439,-6.8532,5.1440,14,HongKongSAR
2018-01-26,-0.8710,-6.6515,5.1464,14,HongKongSAR
2018-01-27,0.2141,-5.8330,6.3364,14,HongKongSAR
2018-01-28,1.2244,-4.7752,6.5806,14,HongKongSAR
2018-01-29,0.4265,-5.0523,6.1243,14,HongKongSAR
2018-01-30,-0.1617,-5.8623,5.4298,14,HongKongSAR
2018-01-31,-0.9324,-5.0301,4.8233,14,HongKongSAR
2018-02-01,-0.6658,-4.7631,5.1436,14,HongKongSAR
2018-02-02,-0.7079,-4.9268,5.1282,14,HongKongSAR
2018-02-03,0.7608,-4.4783,5.7676,14,HongKongSAR
2018-02-04,0.9419,-4.5986,4.4281,14,HongKongSAR
2018-02-05,1.5420,-3.2350,4.7491,14,HongKongSAR
2018-02-06,0.4717,-2.1420,4.2291,14,HongKongSAR
2018-02-07,1.9684,-1.7931,3.9505,14,HongKongSAR
2018-02-08,2.4329,-1.9574,3.6599,14,HongKongSAR
2018-02-09,3.6875,0.6647,6.2836,14,HongKongSAR
2018-02-10,4.6701,2.0208,8.1796,14,HongKongSAR
2018-02-11,5.0575,1.5776,8.7463,14,HongKongSAR
2018-02-12,5.0008,1.6543,8.4728,14,HongKongSAR
2018-02-13,5.3021,2.6905,8.3166,14,HongKongSAR
2018-02-14,6.5660,4.0687,9.4380,14,HongKongSAR
2018-02-15,7.4233,3.3476,11.6067,14,HongKongSAR
2018-02-16,6.7498,2.9427,11.6230,14,HongKongSAR
2018-02-17,5.5817,0.5629,9.7218,14,HongKongSAR
2018-02-18,6.9001,1.7400,10.6055,14,HongKongSAR
2018-02-19,7.3053,2.4253,11.6236,14,HongKongSAR
2018-02-20,7.5375,2.5488,11.0597,14,HongKongSAR
2018-02-21,6.0997,0.8457,9.7606,14,HongKongSAR
2018-02-22,5.5014,-1.0386,8.7832,14,HongKongSAR
2018-02-23,4.0967,-3.2007,7.7129,14,HongKongSAR
2018-02-24,5.0593,-1.9005,8.6447,14,HongKongSAR
2018-02-25,3.5739,-3.1821,7.9117,14,HongKongSAR
2018-02-26,2.6270,-5.1644,6.2661,14,HongKongSAR
2018-02-27,2.3872,-4.3995,5.8550,14,HongKongSAR
2018-02-28,2.9228,-3.4553,6.6984,14,HongKongSAR
2018-03-01,1.2530,-4.6935,5.1290,14,HongKongSAR
2018-03-02,0.2764,-4.4717,3.8264,14,HongKongSAR
2018-03-03,1.3345,-3.8016,5.0954,14,HongKongSAR
2018-03-04,0.6127,-4.0335,5.1449,14,HongKongSAR
2018-03-05,0.2026,-5.5636,5.2824,14,HongKongSAR
2018-03-06,-1.0231,-7.9701,4.0378,14,HongKongSAR
2018-03-07,-2.8606,-8.3381,2.6525,14,HongKongSAR
2018-03-08,-3.1318,-8.5180,2.2496,14,HongKongSAR
2018-03-09,-1.8547,-6.7967,3.3725,14,HongKongSAR
2018-03-10,-2.2791,-6.7361,3.3749,14,HongKongSAR
2018-03-11,-1.9911,-6.1658,4.2809,14,HongKongSAR
2018-03-12,-0.3060,-5.5207,5.3705,14,HongKongSAR
2018-03-13,0.5073,-6.2538,6.3686,14,HongKongSAR
2018-03-14,2.2317,-3.8578,7.3754,14,HongKongSAR
2018-03-15,4.3536,-2.1947,9.2785,14,HongKongSAR
2018-03-16,3.7872,-3.2352,9.4950,14,HongKongSAR
2018-03-17,4.6672,-3.9089,9.7707,14,HongKongSAR
2018-03-18,5.1531,-2.6435,10.0945,14,HongKongSAR
2018-03-19,5.0509,-3.9348,10.0785,14,HongKongSAR
2018-03-20,3.8405,-5.1632,8.6773,14,HongKongSAR
2018-03-21,3.6378,-6.1857,8.7895,14,HongKongSAR
2018-03-22,4.1873,-7.2391,7.9754,14,HongKongSAR
2018-03-23,2.8791,-8.5960,6.7820,14,HongKongSAR
2018-03-24,3.4086,-8.0138,6.2129,14,HongKongSAR
2018-03-25,3.7415,-7.6299,5.6584,14,HongKongSAR
2018-03-26,4.2077,-5.9922,6.4758,14,HongKongSAR
