YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-16.5677,-33.6443,7.7220,15,Hungary
2018-01-02,-10.4849,-26.1948,1.8183,15,Hungary
2018-01-03,-10.8574,-24.1687,1.5159,14,Hungary
2018-01-04,-7.1374,-19.9251,1.3849,14,Hungary
2018-01-05,-4.2521,-22.7041,5.7982,15,Hungary
2018-01-06,-2.8579,-19.9335,7.2220,15,Hungary
2018-01-07,-2.8658,-21.0020,5.1585,15,Hungary
2018-01-08,-3.4268,-20.2248,7.2532,15,Hungary
2018-01-09,-4.3694,-18.1557,3.8297,15,Hungary
2018-01-10,-3.8576,-18.6664,2.6883,15,Hungary
2018-01-11,-4.7716,-17.6974,3.0721,15,Hungary
2018-01-12,-5.7573,-16.7576,2.3389,15,Hungary
2018-01-13,-5.7573,-16.7576,2.3389,0,Hungary
2018-01-14,-5.7573,-16.7576,2.3389,0,Hungary
2018-01-15,-5.7573,-16.7576,2.3389,0,Hungary
2018-01-16,-5.7573,-16.7576,2.3389,0,Hungary
2018-01-17,-3.9449,-14.1829,3.6888,15,Hungary
2018-01-18,-3.7711,-12.9845,2.3208,15,Hungary
2018-01-19,-4.1900,-12.9265,1.9822,15,Hungary
2018-01-20,-2.8684,-11.3341,3.2975,15,Hungary
2018-01-21,-1.3822,-12.2754,2.2408,15,Hungary
2018-01-22,-1.0128,-11.5415,2.4596,15,Hungary
2018-01-23,-1.5606,-8.5463,3.5108,15,Hungary
2018-01-24,-0.6836,-9.7946,4.1674,15,Hungary
2018-01-25,-1.0672,-8.4130,3.9365,15,Hungary
2018-01-26,-1.9784,-9.3249,4.5131,15,Hungary
2018-01-27,-1.1172,-6.1021,6.3037,15,Hungary
2018-01-28,-0.1485,-6.6484,6.8834,15,Hungary
2018-01-29,0.8169,-6.4039,7.5037,15,Hungary
2018-01-30,1.6644,-5.4912,6.5541,15,Hungary
2018-01-31,2.8829,-2.9201,7.5323,15,Hungary
2018-02-01,3.6778,-2.9552,9.3871,15,Hungary
2018-02-02,2.7550,-4.0790,8.4934,15,Hungary
2018-02-03,2.6866,-4.7261,7.3134,15,Hungary
2018-02-04,2.6866,-4.7261,7.3134,0,Hungary
2018-02-05,2.7182,-4.4285,8.7014,16,Hungary
2018-02-06,-0.0020,-6.1438,4.9088,16,Hungary
2018-02-07,0.5851,-4.8567,6.0088,15,Hungary
2018-02-08,0.8730,-4.0818,7.5837,15,Hungary
2018-02-09,0.7104,-5.8564,8.8870,16,Hungary
2018-02-10,0.6737,-4.1770,9.3362,16,Hungary
2018-02-11,0.7485,-3.6030,8.7328,15,Hungary
2018-02-12,0.7284,-2.9294,6.6688,15,Hungary
2018-02-13,0.4641,-2.3721,6.5022,15,Hungary
2018-02-14,0.7052,-2.2715,6.9388,15,Hungary
2018-02-15,0.5787,-3.3329,6.8275,15,Hungary
2018-02-16,0.2377,-3.5292,6.2755,15,Hungary
2018-02-17,-0.2223,-2.1323,7.1440,15,Hungary
2018-02-18,-0.8839,-3.8526,5.9549,15,Hungary
2018-02-19,-0.1540,-3.9018,6.4740,15,Hungary
2018-02-20,-1.2625,-6.4285,5.2598,15,Hungary
2018-02-21,-0.9014,-5.7471,7.3019,14,Hungary
2018-02-22,0.0685,-4.7802,8.5361,15,Hungary
2018-02-23,-0.2901,-3.9826,4.9585,16,Hungary
2018-02-24,-1.1721,-4.0395,4.7058,16,Hungary
2018-02-25,-1.5324,-7.6304,4.1365,15,Hungary
2018-02-26,-1.4319,-9.9382,5.0315,16,Hungary
2018-02-27,-1.5687,-11.4355,4.0121,16,Hungary
2018-02-28,-0.2870,-10.3849,3.8011,16,Hungary
2018-03-01,0.6955,-11.5546,4.3519,16,Hungary
2018-03-02,0.3618,-12.8174,3.6214,16,Hungary
2018-03-03,-0.1502,-11.4784,3.6307,16,Hungary
2018-03-04,-0.3611,-11.3285,4.2814,16,Hungary
2018-03-05,0.5931,-13.0275,5.3577,16,Hungary
2018-03-06,1.3243,-12.4492,5.8262,16,Hungary
2018-03-07,1.8132,-10.6926,5.4990,16,Hungary
2018-03-08,2.7150,-10.7613,5.9122,16,Hungary
2018-03-09,2.8874,-10.9271,7.2599,16,Hungary
2018-03-10,4.4833,-9.2728,8.1423,16,Hungary
2018-03-11,4.2520,-8.5919,7.8249,16,Hungary
2018-03-12,3.9418,-8.4118,7.3894,15,Hungary
2018-03-13,3.5206,-9.9747,7.7889,15,Hungary
2018-03-14,3.6788,-9.5446,8.1098,15,Hungary
2018-03-15,4.2298,-11.2337,7.7181,14,Hungary
2018-03-16,3.8579,-9.8367,7.0550,14,Hungary
2018-03-17,5.2970,-9.0605,7.5606,15,Hungary
2018-03-18,4.4754,-9.2448,8.0166,15,Hungary
2018-03-19,3.8266,-9.6001,8.2610,16,Hungary
2018-03-20,2.5303,-10.5137,7.5393,16,Hungary
2018-03-21,0.5539,-12.3932,6.8865,16,Hungary
2018-03-22,0.4774,-13.8232,7.1311,16,Hungary
2018-03-23,1.4383,-15.0747,6.3818,16,Hungary
2018-03-24,1.1766,-14.7705,5.8620,16,Hungary
2018-03-25,-0.1953,-16.6306,5.6205,16,Hungary
2018-03-26,-0.5768,-15.3712,5.6080,16,Hungary
2018-03-27,-0.1002,-13.4639,4.0826,16,Hungary
