YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-03-08,-2.3679,-35.5806,20.0874,24,India
2018-03-09,-0.6791,-48.1253,18.8370,25,India
2018-03-10,2.5379,-32.8664,16.7679,27,India
2018-03-11,2.8773,-27.3021,15.0995,27,India
2018-03-12,-0.7905,-26.0123,13.5828,27,India
2018-03-13,0.3385,-21.7458,15.6588,27,India
2018-03-14,-0.0608,-21.9068,16.1458,27,India
2018-03-15,0.4922,-23.3207,14.0941,27,India
2018-03-16,0.8779,-21.9659,11.2268,27,India
2018-03-17,0.6368,-18.6570,12.3405,27,India
2018-03-18,0.0396,-17.8803,13.4878,26,India
2018-03-19,-0.4710,-17.0207,14.1569,26,India
2018-03-20,-0.0883,-17.7832,13.8806,25,India
2018-03-21,-0.0221,-19.5008,14.1505,25,India
2018-03-22,0.6305,-21.4236,13.3198,24,India
2018-03-23,1.0053,-21.6824,13.6575,23,India
2018-03-24,0.8148,-20.1046,14.1171,23,India
2018-03-25,0.2742,-18.6071,13.5967,23,India
2018-03-26,0.2798,-18.6167,13.4273,21,India
2018-03-27,0.0667,-18.5126,13.5106,22,India
2018-03-28,-0.0077,-19.7779,15.4708,24,India
2018-03-29,0.6049,-18.2058,16.9400,25,India
2018-03-30,-0.4700,-18.7899,16.6602,25,India
2018-03-31,-0.5083,-19.6523,16.5908,24,India
2018-04-01,0.9834,-20.1974,16.8618,24,India
2018-04-02,1.2788,-22.5561,16.6500,22,India
2018-04-03,1.2480,-24.7881,16.8107,23,India
2018-04-04,0.7400,-23.0541,16.3907,22,India
2018-04-05,2.7921,-24.2399,16.3349,26,India
2018-04-06,3.0504,-24.0541,18.2919,25,India
2018-04-07,2.1773,-25.0670,18.3535,25,India
2018-04-08,1.4714,-26.3162,18.3070,0,India
2018-04-09,1.0849,-31.1075,18.6831,0,India
2018-04-10,0.8639,-33.0265,17.6339,0,India
2018-04-11,1.4217,-34.4075,17.9309,0,India
2018-04-12,2.6885,-32.6081,18.3262,0,India
2018-04-13,1.8156,-33.0217,18.4176,0,India
2018-04-14,3.0514,-33.7120,17.6312,0,India
2018-04-15,3.7585,-32.5756,18.9088,22,India
2018-04-16,4.0668,-32.7675,16.8989,25,India
2018-04-17,5.0438,-31.9947,16.6172,26,India
2018-04-18,4.8310,-33.4015,14.4556,26,India
2018-04-19,5.0444,-26.8739,15.6669,25,India
2018-04-20,5.3610,-24.7327,17.9273,0,India
2018-04-21,4.7755,-24.8392,17.9932,0,India
2018-04-22,5.1039,-22.4818,18.3407,0,India
2018-04-23,5.5626,-20.1348,18.0609,0,India
2018-04-24,4.0894,-17.2502,19.1856,0,India
2018-04-25,1.0175,-19.1394,17.1567,23,India
2018-04-26,-0.5957,-23.1847,14.1591,27,India
2018-04-27,-4.9005,-25.2639,10.1292,27,India
2018-04-28,-5.1207,-23.1404,8.9976,26,India
2018-04-29,-5.8102,-27.6401,8.6411,25,India
2018-04-30,-5.5676,-26.9966,7.2157,27,India
2018-05-01,-5.6714,-21.8216,6.3910,26,India
2018-05-02,-5.2694,-20.8197,6.0615,27,India
2018-05-03,-4.9658,-21.5596,5.9422,26,India
2018-05-04,-5.7232,-22.2787,5.5924,24,India
2018-05-05,-3.7996,-21.9326,5.5250,26,India
2018-05-06,-5.2510,-18.6393,5.3325,25,India
2018-05-07,-5.2491,-18.1042,5.9419,26,India
2018-05-08,-4.7948,-18.0248,6.4982,26,India
2018-05-09,-5.0139,-28.1849,5.2235,26,India
2018-05-10,-5.0139,-29.9367,5.4546,25,India
2018-05-11,-5.0139,-28.7311,5.5495,25,India
2018-05-12,-5.2022,-26.7697,5.5495,25,India
2018-05-13,-4.1990,-26.1960,5.5070,25,India
2018-05-14,-3.9782,-27.2213,5.5495,24,India
2018-05-15,-2.8823,-27.2829,6.4382,0,India
2018-05-16,-2.3521,-25.6641,6.0463,0,India
2018-05-17,-0.2824,-23.6538,7.8439,0,India
2018-05-18,-0.0144,-24.0444,8.5597,0,India
2018-05-19,-0.6617,-23.0227,8.7384,0,India
2018-05-20,-0.4821,-22.8082,7.1558,0,India
2018-05-21,-0.7463,-23.7087,9.2401,0,India
2018-05-22,0.0946,-23.6034,8.8329,0,India
2018-05-23,-1.8583,-22.7337,9.7458,0,India
2018-05-24,-2.2353,-22.0352,10.1711,0,India
2018-05-25,-3.6101,-22.5422,11.0409,0,India
2018-05-26,-2.6250,-23.4196,12.2799,0,India
2018-05-27,-0.9340,-25.1037,14.8541,0,India
2018-05-28,-2.0721,-26.5278,17.3377,0,India
2018-05-29,-2.7423,-23.5537,14.3887,0,India
2018-05-30,-6.0862,-21.7427,20.5315,0,India
2018-05-31,-7.3669,-28.2637,24.8304,0,India
2018-06-01,-11.3439,-41.9446,28.9219,0,India
2018-06-02,-21.1661,-56.8637,53.8244,0,India
2018-08-10,3.2641,-38.1148,39.1153,27,India
2018-08-11,0.1097,-32.5547,21.1963,26,India
2018-08-12,-2.7389,-29.3848,17.1394,25,India
2018-08-13,1.3569,-24.6278,18.7771,27,India
2018-08-14,1.8344,-21.3857,20.7478,26,India
2018-08-15,0.5957,-18.4605,20.0773,26,India
2018-08-16,-4.5429,-19.6007,15.6326,27,India
2018-08-17,-2.3231,-17.4202,11.9647,27,India
2018-08-18,-3.0180,-13.0870,15.2235,27,India
2018-08-19,-1.4641,-11.1967,13.1376,24,India
2018-08-20,-1.3094,-12.3355,12.7826,27,India
2018-08-21,-0.4989,-12.0198,10.6692,27,India
2018-08-22,-1.5570,-10.8554,10.6369,27,India
2018-08-23,-1.3244,-11.7266,9.1017,27,India
2018-08-24,-0.3241,-11.6093,8.8921,26,India
2018-08-25,-0.4688,-12.5206,8.5041,26,India
2018-08-26,-1.6129,-13.1185,8.3455,24,India
2018-08-27,-1.1931,-12.6901,13.2127,27,India
2018-08-28,-0.9379,-13.5549,12.5113,27,India
2018-08-29,-1.2626,-13.1427,11.1775,27,India
2018-08-30,-1.1189,-13.3829,9.6819,27,India
2018-08-31,-0.5406,-11.2945,8.0092,27,India
2018-09-01,-0.1198,-11.1443,7.7025,26,India
2018-09-02,-0.1059,-13.6439,6.4132,26,India
2018-09-03,-0.6288,-13.0466,4.9455,26,India
2018-09-04,0.2954,-13.4893,7.1586,27,India
2018-09-05,2.1426,-12.1814,5.7502,26,India
2018-09-06,2.0241,-12.1660,6.5146,27,India
2018-09-07,0.6847,-13.1316,6.8005,27,India
2018-09-08,1.0240,-15.6341,6.6924,27,India
2018-09-09,1.0441,-15.2807,7.2957,25,India
2018-09-10,-1.1415,-14.2010,7.2461,27,India
2018-09-11,0.1887,-15.1847,8.9332,27,India
2018-09-12,0.4083,-15.2365,9.7146,26,India
2018-09-13,1.1799,-14.1234,9.6936,25,India
2018-09-14,0.6126,-11.4820,10.9682,25,India
2018-09-15,0.0642,-11.1069,9.7622,27,India
2018-09-16,-1.3683,-12.0873,8.4473,24,India
2018-09-17,-0.1532,-12.3311,7.4331,26,India
2018-09-18,0.8039,-12.0171,7.1488,25,India
2018-09-19,-0.4329,-12.5207,7.5303,25,India
2018-09-20,-0.5490,-11.8832,7.6933,25,India
2018-09-21,-0.7015,-13.4284,7.4863,25,India
2018-09-22,0.4987,-12.1900,7.3201,25,India
2018-09-23,-1.5140,-12.3277,7.3904,24,India
2018-09-24,-1.1244,-11.6639,7.0326,24,India
2018-09-25,-0.9497,-11.1434,7.2734,25,India
2018-09-26,-1.2083,-10.6161,6.7437,26,India
2018-09-27,-0.7334,-9.5495,7.3994,27,India
2018-09-28,-0.9501,-9.2727,5.9507,27,India
2018-09-29,-0.6079,-10.7744,5.4202,27,India
2018-09-30,-0.6169,-11.2505,6.4457,27,India
2018-10-01,-1.9118,-10.5015,7.4808,26,India
2018-10-02,-1.8399,-8.9713,7.7301,27,India
2018-10-03,-1.3227,-9.5641,8.2593,26,India
2018-10-04,-1.6922,-12.2639,8.5671,27,India
2018-10-05,-0.7586,-7.9716,8.2721,26,India
2018-10-06,-0.4121,-7.4084,10.2089,26,India
2018-10-07,-0.6888,-6.5884,12.7295,26,India
2018-10-08,0.1290,-7.8129,12.1008,27,India
2018-10-09,0.6078,-6.8513,11.4618,27,India
2018-10-10,1.0276,-7.1638,12.1729,27,India
2018-10-11,-0.0591,-6.6531,15.6726,27,India
2018-10-12,1.4862,-5.7132,9.7579,27,India
2018-10-13,0.8055,-5.7580,9.9242,0,India
2018-10-14,2.2576,-6.4489,11.3602,26,India
2018-10-15,1.8687,-5.0408,12.2031,26,India
2018-10-16,0.3035,-3.9974,12.3232,27,India
2018-10-17,0.9493,-5.8761,13.5580,27,India
2018-10-18,1.0743,-6.0710,13.1421,26,India
2018-10-19,0.3690,-4.9947,10.1514,27,India
2018-10-20,-0.1047,-4.7382,9.9237,27,India
2018-10-21,0.0097,-5.8605,9.3208,27,India
2018-10-22,0.5981,-4.7160,7.7284,27,India
2018-10-23,0.5186,-6.1442,6.5602,27,India
2018-10-24,0.5637,-7.1317,6.4043,26,India
2018-10-25,1.3775,-7.9300,5.5934,27,India
2018-10-26,0.4259,-6.9540,5.5725,27,India
