YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-42.6047,-47.0336,-38.1758,2,Ireland
2018-01-02,-20.6544,-26.1705,-15.1384,2,Ireland
2018-01-03,-21.7578,-28.0093,-15.5063,2,Ireland
2018-01-04,-22.3387,-26.7178,-17.9596,2,Ireland
2018-01-05,-15.3383,-21.7829,-8.8937,2,Ireland
2018-01-06,-9.0768,-15.9077,-2.2458,2,Ireland
2018-01-07,-9.4481,-13.6238,-5.2723,2,Ireland
2018-01-08,-6.6269,-9.9011,-3.3526,2,Ireland
2018-01-09,-4.6984,-6.5377,-2.8590,2,Ireland
2018-01-10,-1.8083,-3.5907,-0.0258,2,Ireland
2018-01-11,-2.0103,-4.5916,0.5710,2,Ireland
2018-01-12,-0.9657,-3.6877,1.7563,2,Ireland
2018-01-13,-0.0222,-1.9277,1.8833,2,Ireland
2018-01-14,3.0169,1.9535,4.0804,2,Ireland
2018-01-15,2.9720,1.3446,4.5995,2,Ireland
2018-01-16,3.6163,2.1486,5.0839,2,Ireland
2018-01-17,3.7623,2.0187,5.5060,2,Ireland
2018-01-18,4.6710,3.2968,6.0453,2,Ireland
2018-01-19,5.1716,3.3114,7.0319,2,Ireland
2018-01-20,6.7387,5.2438,8.2336,2,Ireland
2018-01-21,8.8708,7.5265,10.2150,2,Ireland
2018-01-22,9.5174,8.7666,10.2682,2,Ireland
2018-01-23,10.7400,10.6813,10.7986,2,Ireland
2018-01-24,12.2951,11.9546,12.6355,2,Ireland
2018-01-25,12.2474,12.1538,12.3410,2,Ireland
2018-01-26,11.3776,10.8782,11.8769,2,Ireland
2018-01-27,11.7270,11.4373,12.0167,2,Ireland
2018-01-28,10.6203,10.1550,11.0856,1,Ireland
2018-01-29,10.0522,9.7618,10.3426,2,Ireland
2018-01-30,9.1581,9.0919,9.2242,2,Ireland
2018-01-31,9.7863,9.0702,10.5025,2,Ireland
2018-02-01,8.5401,7.8167,9.2634,2,Ireland
2018-02-02,7.8581,7.0282,8.6881,2,Ireland
2018-02-03,5.3343,4.7833,5.8853,2,Ireland
2018-02-04,5.5107,5.4490,5.5724,0,Ireland
2018-02-05,6.4374,6.3471,6.5278,2,Ireland
2018-02-06,5.1572,5.0046,5.3098,2,Ireland
2018-02-07,3.3768,2.6456,4.1080,2,Ireland
2018-02-08,2.3373,2.2843,2.3904,2,Ireland
2018-02-09,0.5698,-0.1114,1.2510,2,Ireland
2018-02-10,-0.0704,-1.1286,0.9877,2,Ireland
2018-02-11,-0.1187,-1.7577,1.5204,2,Ireland
2018-02-12,-0.7943,-3.0915,1.5030,2,Ireland
2018-02-13,-1.3612,-3.7593,1.0369,2,Ireland
2018-02-14,-2.2111,-4.5639,0.1418,2,Ireland
2018-02-15,-3.1807,-5.2163,-1.1451,2,Ireland
2018-02-16,-1.2316,-1.4628,-1.0004,2,Ireland
2018-02-17,-0.0279,-0.0635,0.0078,2,Ireland
2018-02-18,0.0877,-0.0545,0.2299,2,Ireland
2018-02-19,0.0250,-0.7197,0.7697,2,Ireland
2018-02-20,-0.3067,-0.6688,0.0554,2,Ireland
2018-02-21,0.8549,0.0280,1.6818,2,Ireland
2018-02-22,0.9451,0.6821,1.2081,2,Ireland
2018-02-23,1.1055,0.4727,1.7382,2,Ireland
2018-02-24,1.7872,0.9082,2.6663,2,Ireland
2018-02-25,0.3183,-0.5197,1.1564,2,Ireland
2018-02-26,1.1761,-0.0993,2.4514,2,Ireland
2018-02-27,2.4617,0.8532,4.0703,2,Ireland
2018-02-28,2.8002,0.6904,4.9100,2,Ireland
2018-03-01,1.6589,-1.2829,4.6007,2,Ireland
2018-03-02,1.0731,-3.1439,5.2901,2,Ireland
2018-03-03,0.6528,-3.7266,5.0321,2,Ireland
2018-03-04,0.7327,-4.9947,6.4601,2,Ireland
2018-03-05,1.2727,-4.8073,7.3527,2,Ireland
2018-03-06,1.3111,-4.7907,7.4130,2,Ireland
2018-03-07,2.3535,-4.4222,9.1292,2,Ireland
2018-03-08,1.4593,-3.7420,6.6606,2,Ireland
2018-03-09,2.0989,-1.8375,6.0353,2,Ireland
2018-03-10,2.3779,-1.3085,6.0642,2,Ireland
2018-03-11,1.9762,-1.5292,5.4816,2,Ireland
2018-03-12,0.8787,-3.1374,4.8949,2,Ireland
2018-03-13,0.9367,-3.3204,5.1937,2,Ireland
2018-03-14,1.0219,-3.5082,5.5520,2,Ireland
2018-03-15,1.0913,-2.6942,4.8768,2,Ireland
2018-03-16,0.4427,-2.9216,3.8070,2,Ireland
