YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,6.0095,-25.0799,35.7238,115,Israel
2018-01-02,2.7043,-22.1162,22.5432,115,Israel
2018-01-03,3.6090,-16.3759,19.3014,115,Israel
2018-01-04,2.8462,-13.4311,17.8636,114,Israel
2018-01-05,-2.1221,-15.5428,15.3879,115,Israel
2018-01-06,-0.4020,-15.2030,12.5708,115,Israel
2018-01-07,0.2984,-13.1885,11.8024,115,Israel
2018-01-08,0.2984,-13.1885,11.8024,0,Israel
2018-01-09,0.2984,-13.1885,11.8024,0,Israel
2018-01-10,0.2984,-13.1885,11.8024,0,Israel
2018-01-11,0.2984,-13.1885,11.8024,0,Israel
2018-01-12,0.2984,-13.1885,11.8024,0,Israel
2018-01-13,0.2984,-13.1885,11.8024,0,Israel
2018-01-14,0.2984,-13.1885,11.8024,0,Israel
2018-01-15,0.2984,-13.1885,11.8024,0,Israel
2018-01-16,0.2984,-13.1885,11.8024,0,Israel
2018-01-17,0.2984,-13.1885,11.8024,0,Israel
2018-01-18,0.2984,-13.1885,11.8024,0,Israel
2018-01-19,0.2984,-13.1885,11.8024,0,Israel
2018-01-20,0.2984,-13.1885,11.8024,0,Israel
2018-01-21,-0.6291,-14.2185,13.3523,0,Israel
2018-01-22,-1.7463,-17.0345,15.6796,0,Israel
2018-01-23,-3.0357,-19.3408,15.6504,0,Israel
2018-01-24,-3.6613,-23.8918,13.7061,0,Israel
2018-01-25,-0.3391,-21.0221,24.1857,114,Israel
2018-01-26,-5.0083,-27.9275,17.6168,115,Israel
2018-01-27,-11.7750,-35.1841,12.7096,115,Israel
2018-01-28,-5.5677,-25.7329,11.8333,115,Israel
2018-01-29,-4.3962,-16.8856,12.6213,115,Israel
2018-01-30,-4.0457,-15.0179,10.3160,115,Israel
2018-01-31,-3.2296,-13.7554,8.5410,115,Israel
2018-02-01,-1.8116,-12.3917,8.5468,115,Israel
2018-02-02,-1.2696,-11.6051,7.9177,115,Israel
2018-02-03,-2.1364,-11.6539,7.1579,115,Israel
2018-02-04,-1.7272,-9.3288,7.7915,114,Israel
2018-02-05,-1.3389,-9.1213,7.7824,102,Israel
2018-02-06,-0.2804,-6.6186,7.2632,115,Israel
2018-02-07,1.0865,-5.5101,8.6938,115,Israel
2018-02-08,1.4222,-4.6885,8.5226,115,Israel
2018-02-09,1.4598,-4.5366,8.2800,115,Israel
2018-02-10,0.5465,-4.8902,7.5608,115,Israel
2018-02-11,0.2885,-5.5450,7.6346,114,Israel
2018-02-12,-0.2796,-7.0722,6.4682,115,Israel
2018-02-13,-0.5128,-8.0188,5.8501,115,Israel
2018-02-14,0.0424,-7.4701,6.0209,115,Israel
2018-02-15,0.1278,-6.1920,5.2164,115,Israel
2018-02-16,0.0370,-7.3207,5.0238,115,Israel
2018-02-17,-1.9572,-10.3659,3.8046,115,Israel
2018-02-18,-3.4808,-10.3691,2.6816,115,Israel
2018-02-19,-2.7624,-10.0450,2.6222,115,Israel
2018-02-20,-2.1033,-8.9496,3.8487,115,Israel
2018-02-21,-1.6829,-9.7267,4.5027,115,Israel
2018-02-22,-2.4232,-9.7158,3.8264,115,Israel
2018-02-23,-2.3498,-9.7199,2.7942,115,Israel
2018-02-24,-3.1249,-10.1698,1.9289,115,Israel
2018-02-25,-3.2086,-10.1806,3.1205,115,Israel
2018-02-26,-3.8451,-10.8883,1.6345,115,Israel
2018-02-27,-5.0035,-11.9548,1.0987,78,Israel
2018-02-28,-6.0205,-13.3402,0.6992,110,Israel
2018-03-01,-5.6577,-13.9893,0.6575,115,Israel
2018-03-02,-5.2606,-13.4309,1.6571,114,Israel
2018-03-03,-5.1512,-14.3282,2.1794,115,Israel
2018-03-04,-5.3006,-14.0842,2.8062,0,Israel
2018-03-05,-4.5199,-12.0226,4.2114,115,Israel
2018-03-06,-3.9603,-12.3927,3.6985,115,Israel
2018-03-07,-3.1316,-11.8998,5.2338,115,Israel
2018-03-08,-2.8607,-11.6389,6.0505,115,Israel
2018-03-09,-1.3543,-11.6835,6.8156,115,Israel
2018-03-10,-1.1291,-10.7673,8.0569,115,Israel
2018-03-11,-0.5536,-10.5457,8.1331,115,Israel
2018-03-12,-1.2505,-10.6742,7.5191,115,Israel
2018-03-13,-0.4707,-10.8167,6.7860,115,Israel
2018-03-14,0.1498,-10.0892,6.6174,115,Israel
2018-03-15,0.7788,-9.4067,7.6472,115,Israel
2018-03-16,0.9352,-9.4504,8.3849,115,Israel
2018-03-17,-0.5322,-9.7411,6.5797,115,Israel
2018-03-18,1.6976,-8.1050,7.1984,115,Israel
2018-03-19,1.3757,-7.6411,7.8659,114,Israel
2018-03-20,-0.2161,-7.5042,7.1157,115,Israel
2018-03-21,0.0703,-7.5887,6.7734,115,Israel
2018-03-22,-0.0360,-7.3883,8.4874,115,Israel
2018-03-23,0.3328,-6.4501,7.9041,115,Israel
2018-03-24,-0.5712,-7.6519,6.5098,115,Israel
2018-03-25,-1.0569,-9.3326,5.7431,115,Israel
2018-03-26,-0.0252,-8.5023,6.0982,115,Israel
2018-03-27,0.4812,-8.8675,6.7054,115,Israel
2018-03-28,-0.0993,-8.8194,7.3477,115,Israel
2018-03-29,0.5083,-8.2165,6.8484,114,Israel
2018-03-30,0.0322,-10.4399,6.3691,113,Israel
2018-03-31,-1.1294,-11.8793,5.4435,115,Israel
2018-04-01,-0.9630,-10.7591,5.4142,115,Israel
2018-04-02,-1.2668,-10.8620,5.6765,115,Israel
2018-04-03,-2.8814,-10.7316,4.3477,115,Israel
2018-04-04,-3.7545,-11.5536,4.7610,0,Israel
2018-04-05,-3.1601,-11.4853,5.1845,115,Israel
2018-04-06,-3.8942,-13.0489,4.6923,115,Israel
2018-04-07,-6.4434,-14.8723,2.0184,115,Israel
2018-04-08,-5.4194,-14.7142,1.9271,115,Israel
2018-04-09,-5.2932,-14.8022,4.1224,115,Israel
2018-04-10,-4.5810,-14.2217,3.4011,115,Israel
2018-04-11,-5.0111,-15.3137,3.7111,115,Israel
2018-04-12,-5.1353,-14.9852,4.2283,115,Israel
2018-04-13,-3.3637,-12.7898,6.6209,115,Israel
2018-04-14,-3.8376,-13.0137,4.3739,115,Israel
2018-04-15,-3.8719,-13.3019,4.8882,114,Israel
2018-04-16,-4.8972,-14.4438,3.8735,115,Israel
2018-04-17,-3.7382,-13.5375,4.4123,115,Israel
2018-04-18,-3.5365,-12.8613,4.6343,115,Israel
2018-04-19,-5.0778,-14.1576,2.4975,115,Israel
2018-04-20,-5.7433,-14.5222,2.2933,115,Israel
2018-04-21,-8.3409,-16.7629,1.2830,115,Israel
2018-04-22,-7.7928,-15.8508,2.6158,115,Israel
2018-04-23,-6.6571,-16.8028,2.6334,114,Israel
2018-04-24,-6.1933,-15.4045,2.2365,115,Israel
2018-04-25,-5.2942,-14.0923,2.5009,115,Israel
2018-04-26,-3.0953,-11.6051,4.7991,115,Israel
2018-04-27,-2.0498,-10.9353,5.4308,115,Israel
2018-04-28,-3.5564,-11.7074,4.1156,115,Israel
2018-04-29,-3.5209,-11.0468,3.7986,115,Israel
2018-04-30,-3.9974,-11.4238,3.9885,115,Israel
2018-05-01,-4.9258,-11.6215,2.8106,115,Israel
2018-05-02,-4.7363,-11.9382,2.4577,115,Israel
2018-05-03,-4.1214,-11.4428,2.1841,115,Israel
2018-05-04,-2.7113,-9.6908,3.8168,115,Israel
2018-05-05,-4.2091,-11.6098,2.6734,114,Israel
2018-05-06,-3.8581,-11.2638,3.4240,115,Israel
2018-05-07,-4.5479,-11.3250,3.8045,115,Israel
2018-05-08,-4.6900,-11.9595,3.4685,115,Israel
2018-05-09,-3.1002,-11.4088,7.1847,115,Israel
2018-05-10,-0.8721,-8.9309,9.2257,115,Israel
2018-05-11,0.0628,-8.0006,10.3168,115,Israel
2018-05-12,-1.2590,-10.5954,8.8864,113,Israel
2018-05-13,-1.2795,-10.3645,9.5589,115,Israel
2018-05-14,-1.1519,-10.6012,8.5843,115,Israel
2018-05-15,-1.1666,-11.7328,8.6665,115,Israel
2018-05-16,-2.9447,-12.6131,8.5788,115,Israel
2018-05-17,-1.5199,-11.6967,8.1540,115,Israel
2018-05-18,-1.4034,-11.3052,8.5346,115,Israel
2018-05-19,-2.6567,-13.4639,7.6759,115,Israel
2018-05-20,-3.0404,-13.5900,6.0175,115,Israel
2018-05-21,-1.2304,-10.8497,7.5946,115,Israel
2018-05-22,-0.0573,-10.2072,8.6554,115,Israel
2018-05-23,-1.2619,-11.5074,7.0477,115,Israel
2018-05-24,-2.5172,-11.8760,6.5346,115,Israel
2018-05-25,-0.6354,-10.7955,8.4279,115,Israel
2018-05-26,-1.5098,-11.1395,7.1269,115,Israel
2018-05-27,-1.6296,-12.0985,6.8207,115,Israel
2018-05-28,-2.2498,-13.1421,6.5907,115,Israel
2018-05-29,-2.2483,-12.3919,5.4407,115,Israel
2018-05-30,-3.0888,-13.9612,2.9031,115,Israel
2018-05-31,-3.6800,-13.5387,5.3016,115,Israel
2018-06-01,-2.7439,-12.6902,5.5179,114,Israel
2018-06-02,-3.3414,-15.4294,3.6425,115,Israel
2018-06-03,-4.3635,-16.1818,3.7835,115,Israel
2018-06-04,-5.0678,-15.5908,2.8596,115,Israel
2018-06-05,-4.8904,-15.9526,3.0060,115,Israel
