YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-11.1397,-27.9649,6.8727,43,Italy
2018-01-02,-10.7515,-26.2319,2.3541,40,Italy
2018-01-03,-5.5570,-18.8293,10.0176,41,Italy
2018-01-04,-5.3855,-18.8293,10.0176,5,Italy
2018-01-05,-5.3855,-18.8293,10.0176,5,Italy
2018-01-06,-5.3855,-18.8293,10.0235,5,Italy
2018-01-07,-3.0826,-18.0618,6.2749,44,Italy
2018-01-08,-2.6867,-16.5232,4.1345,42,Italy
2018-01-09,-2.7804,-15.2021,3.7950,39,Italy
2018-01-10,-1.6372,-13.6770,4.0767,40,Italy
2018-01-11,-2.2899,-8.0923,3.6692,42,Italy
2018-01-12,-2.0899,-8.0773,2.9329,5,Italy
2018-01-13,-1.8566,-8.0773,2.8345,5,Italy
2018-01-14,-2.0086,-7.7843,3.1184,42,Italy
2018-01-15,-3.0737,-7.8272,2.5698,42,Italy
2018-01-16,-2.1066,-7.8272,2.4434,40,Italy
2018-01-17,-1.4927,-7.7015,3.4728,42,Italy
2018-01-18,-1.0583,-6.9665,4.0048,39,Italy
2018-01-19,-1.0583,-6.9665,4.0048,5,Italy
2018-01-20,-1.0583,-6.9665,4.0884,5,Italy
2018-01-21,0.4406,-5.3160,4.7967,42,Italy
2018-01-22,2.5860,-4.5221,6.6572,43,Italy
2018-01-23,2.2141,-5.9366,6.6618,42,Italy
2018-01-24,2.2141,-5.9366,6.6877,5,Italy
2018-01-25,2.2141,-5.9366,6.8729,5,Italy
2018-01-26,2.2141,-5.9366,7.0700,5,Italy
2018-01-27,1.7532,-5.1084,7.2933,5,Italy
2018-01-28,0.7259,-5.4039,7.3968,42,Italy
2018-01-29,1.1935,-5.3710,8.2549,38,Italy
2018-01-30,1.8754,-6.3793,8.9557,33,Italy
2018-01-31,2.4872,-6.3124,7.9337,40,Italy
2018-02-01,1.1546,-5.6745,6.5613,39,Italy
2018-02-02,1.1111,-5.6745,6.2653,4,Italy
2018-02-03,1.0719,-5.2980,6.8264,4,Italy
2018-02-04,1.8382,-5.2921,8.0211,5,Italy
2018-02-05,1.7157,-6.0684,9.1205,5,Italy
2018-02-06,1.3216,-5.2272,10.4981,42,Italy
2018-02-07,1.2061,-6.6694,8.8147,42,Italy
2018-02-08,0.9766,-6.8697,8.0427,43,Italy
2018-02-09,0.7237,-6.7096,8.0427,5,Italy
2018-02-10,0.8542,-7.5790,8.5304,5,Italy
2018-02-11,-0.0042,-8.6274,9.7722,45,Italy
2018-02-12,-0.1978,-11.3875,9.3751,45,Italy
2018-02-13,-0.0778,-12.0535,7.6350,45,Italy
2018-02-14,0.3128,-10.7272,8.5003,44,Italy
2018-02-15,0.8456,-8.6323,6.4342,43,Italy
2018-02-16,0.9514,-8.3528,6.4342,5,Italy
2018-02-17,1.2335,-8.2920,8.3010,5,Italy
2018-02-18,1.1079,-6.2236,8.8582,43,Italy
2018-02-19,-0.1129,-7.0539,8.2469,42,Italy
2018-02-20,0.4892,-8.0439,8.2204,44,Italy
2018-02-21,2.2534,-7.7376,10.3505,45,Italy
2018-02-22,1.5169,-6.8230,9.0166,44,Italy
2018-02-23,1.5769,-6.8230,9.0166,5,Italy
2018-02-24,2.3785,-6.8230,9.0166,5,Italy
2018-02-25,1.2903,-5.9150,7.7637,40,Italy
2018-02-26,-0.3869,-6.9398,7.1102,39,Italy
2018-02-27,-0.5592,-7.4865,8.1148,5,Italy
2018-02-28,-0.1427,-6.8954,7.2882,5,Italy
2018-03-01,0.0525,-6.5018,7.1833,44,Italy
2018-03-02,0.0623,-6.5018,7.1833,5,Italy
2018-03-03,0.5052,-6.1259,10.8600,5,Italy
2018-03-04,0.6551,-7.8591,11.4438,5,Italy
2018-03-05,2.1286,-5.9233,12.4649,43,Italy
2018-03-06,2.7359,-5.6407,12.6402,44,Italy
2018-03-07,2.7280,-4.8072,12.1722,43,Italy
2018-03-08,2.6430,-4.6884,10.8554,43,Italy
2018-03-09,2.9717,-4.6884,10.8554,5,Italy
2018-03-10,3.5505,-4.8015,9.2148,5,Italy
2018-03-11,2.9467,-5.1107,8.8783,41,Italy
2018-03-12,2.9775,-5.0262,7.3394,40,Italy
2018-03-13,1.4964,-5.4723,8.8941,42,Italy
2018-03-14,2.2513,-7.7695,13.5207,43,Italy
2018-03-15,1.3652,-7.8809,10.8064,43,Italy
2018-03-16,1.2959,-7.8809,10.8064,5,Italy
2018-03-17,2.3461,-5.0968,12.8150,5,Italy
2018-03-18,2.5355,-8.5297,10.4206,42,Italy
2018-03-19,2.2349,-8.5297,10.4206,5,Italy
2018-03-20,1.8560,-9.7840,10.2471,42,Italy
2018-03-21,1.2756,-11.8885,9.9615,40,Italy
2018-03-22,1.5414,-9.9374,9.9619,43,Italy
2018-03-23,1.5414,-9.9374,9.9619,8,Italy
2018-03-24,1.5414,-9.9374,9.9619,5,Italy
2018-03-25,0.2919,-11.1013,9.3448,43,Italy
2018-03-26,-0.1957,-11.4992,8.1125,44,Italy
2018-03-27,-0.5621,-12.1746,8.4142,44,Italy
2018-03-28,0.6402,-11.5095,9.1262,44,Italy
2018-03-29,-0.5651,-13.3496,8.5719,44,Italy
2018-03-30,-0.6572,-13.3496,8.5719,5,Italy
2018-03-31,-1.1388,-12.6022,8.4327,5,Italy
2018-04-01,-1.0725,-12.2920,8.4327,5,Italy
2018-04-02,-1.1765,-14.3131,9.0741,5,Italy
2018-04-03,-1.6233,-16.8726,9.5773,5,Italy
2018-04-04,-1.5154,-16.5226,10.2460,5,Italy
2018-04-05,-0.9526,-13.4800,10.2090,43,Italy
2018-04-06,-0.5546,-13.4800,10.2090,5,Italy
2018-04-07,0.1822,-11.2592,9.7139,5,Italy
2018-04-08,0.9008,-11.7952,9.6929,43,Italy
2018-04-09,2.0369,-9.6502,9.4959,44,Italy
2018-04-10,3.2251,-10.4055,10.7637,41,Italy
2018-04-11,3.1013,-11.5305,12.2151,43,Italy
2018-04-12,2.5317,-10.8448,11.8242,43,Italy
2018-04-13,2.5317,-10.8448,11.8242,5,Italy
2018-04-14,1.9576,-10.8754,12.6956,5,Italy
2018-04-15,1.6716,-12.4290,13.7495,5,Italy
2018-04-16,2.2735,-12.9905,16.4649,5,Italy
2018-04-17,2.1431,-10.3345,13.8645,5,Italy
2018-04-18,3.7836,-10.6982,17.8895,5,Italy
2018-04-19,3.8682,-9.4480,17.9445,44,Italy
2018-04-20,4.1316,-9.4480,17.9445,5,Italy
2018-04-21,4.2838,-9.4480,17.9445,5,Italy
2018-04-22,4.5888,-11.1749,17.7418,37,Italy
2018-04-23,4.5888,-11.1749,17.6539,5,Italy
2018-04-24,4.5888,-13.4241,17.6539,5,Italy
2018-04-25,0.5883,-14.7279,14.0142,43,Italy
2018-04-26,0.0962,-15.0423,14.1216,43,Italy
2018-04-27,-0.1522,-15.0423,14.2842,4,Italy
2018-04-28,1.6544,-12.8756,15.4722,4,Italy
2018-04-29,0.2122,-20.0429,16.7884,4,Italy
2018-04-30,-1.4544,-21.3064,16.1743,4,Italy
2018-05-01,-3.0486,-23.6370,12.4442,4,Italy
2018-05-02,-4.7063,-21.9059,10.6099,4,Italy
2018-05-03,-0.4427,-14.6254,14.3708,45,Italy
2018-05-04,-0.4427,-14.6254,12.5626,5,Italy
2018-05-05,-0.5945,-14.6254,9.4943,5,Italy
2018-05-06,-0.5945,-14.6254,9.4943,5,Italy
2018-05-07,-0.7249,-13.0614,13.7625,43,Italy
2018-05-08,1.0020,-10.4030,13.1556,45,Italy
2018-05-09,2.5523,-11.5974,14.7744,44,Italy
2018-05-10,3.4179,-11.5701,15.3681,43,Italy
2018-05-11,3.4179,-11.5701,15.3681,5,Italy
2018-05-12,3.5539,-11.7181,16.6025,5,Italy
2018-05-13,1.8779,-12.1242,13.7993,39,Italy
2018-05-14,-0.0312,-12.6029,9.5951,40,Italy
2018-05-15,2.6098,-13.4389,12.6559,40,Italy
2018-05-16,2.4131,-14.4760,20.1124,4,Italy
2018-05-17,2.5924,-12.9955,20.1124,4,Italy
2018-05-18,3.1364,-13.0030,20.1124,4,Italy
2018-05-19,3.8811,-12.7750,20.1124,4,Italy
2018-05-20,3.7793,-12.3320,19.9987,41,Italy
2018-05-21,3.9081,-12.5893,19.9987,4,Italy
2018-05-22,4.3292,-12.8964,19.9987,4,Italy
2018-05-23,3.3354,-15.4821,16.1007,43,Italy
2018-05-24,2.9140,-15.3025,13.6112,43,Italy
2018-05-25,2.9140,-14.9722,13.6112,3,Italy
2018-05-26,2.9140,-15.6106,13.8789,3,Italy
2018-05-27,2.8430,-15.3145,13.7718,43,Italy
2018-05-28,1.8586,-13.9175,14.8209,43,Italy
2018-05-29,0.7245,-12.7333,14.5693,42,Italy
2018-05-30,-0.5667,-11.7494,13.1729,44,Italy
2018-05-31,0.1985,-10.4453,11.7613,42,Italy
2018-06-01,-0.2549,-10.4453,10.5280,4,Italy
2018-06-02,0.0725,-14.8453,11.7855,4,Italy
2018-06-03,2.3367,-18.4039,12.6061,4,Italy
2018-06-04,3.3985,-12.5454,13.4755,41,Italy
2018-06-05,1.4762,-12.7508,13.0064,40,Italy
2018-06-06,2.6788,-13.0014,11.3179,40,Italy
2018-06-07,2.7927,-14.3551,10.9424,42,Italy
2018-06-08,2.7927,-14.3551,10.9424,3,Italy
2018-06-09,2.2330,-13.7689,10.6925,3,Italy
2018-06-10,1.3845,-13.5799,10.3032,41,Italy
2018-06-11,2.2044,-13.2808,11.5688,40,Italy
2018-06-12,1.4057,-12.3239,19.1628,39,Italy
2018-06-13,0.8414,-19.5016,14.1971,41,Italy
2018-06-14,0.8414,-14.1117,14.1971,5,Italy
2018-06-15,-0.0680,-12.2205,14.1971,5,Italy
2018-06-16,0.1789,-14.0689,13.4855,5,Italy
2018-06-17,-1.2305,-13.4922,14.0713,5,Italy
2018-06-18,-0.8174,-12.1254,16.2289,5,Italy
2018-06-19,-1.8056,-12.9712,10.7758,45,Italy
2018-06-20,-1.1080,-13.1282,10.8591,5,Italy
2018-06-21,-0.5769,-13.9059,17.6167,44,Italy
2018-06-22,0.3232,-13.9059,17.6521,5,Italy
2018-06-23,0.5065,-13.9059,17.6167,5,Italy
2018-06-24,-0.7507,-18.3788,18.8435,43,Italy
2018-06-25,-1.0817,-18.4342,19.0684,45,Italy
2018-06-26,-1.1001,-17.9223,14.4322,45,Italy
2018-06-27,0.3404,-18.8020,13.8937,5,Italy
2018-06-28,0.3404,-18.9697,13.8937,5,Italy
2018-06-29,0.3404,-19.0722,13.8937,4,Italy
2018-06-30,0.9633,-15.5488,12.5467,3,Italy
2018-07-01,-1.4801,-18.0217,7.7315,40,Italy
2018-07-02,-5.0179,-16.6798,6.7289,42,Italy
2018-07-03,-6.0280,-16.7339,7.4678,3,Italy
2018-07-04,-6.0280,-16.7339,7.4151,3,Italy
2018-07-05,-3.2828,-16.1214,8.5931,43,Italy
2018-07-06,-3.2828,-16.8193,8.5931,3,Italy
2018-07-07,-3.2828,-16.8193,8.5931,3,Italy
2018-07-08,-3.2828,-16.8193,8.5931,3,Italy
2018-07-09,-2.7789,-16.1965,8.7740,41,Italy
2018-07-10,-2.7789,-16.1965,8.7740,3,Italy
2018-07-11,-4.8316,-19.3686,10.3695,3,Italy
2018-07-12,-3.0523,-16.3298,14.3157,42,Italy
2018-07-13,-3.0523,-16.3298,14.3157,3,Italy
2018-07-14,-2.4770,-14.7976,17.9387,3,Italy
2018-07-15,-3.0136,-12.3444,19.0775,41,Italy
2018-07-16,-2.5214,-13.1390,15.7684,40,Italy
2018-07-17,-2.2162,-11.1299,13.8045,45,Italy
2018-07-18,-0.1419,-11.1299,14.3454,5,Italy
2018-07-19,-0.8373,-11.1299,18.7987,5,Italy
2018-07-20,-1.0524,-11.1299,18.7987,5,Italy
2018-07-21,0.4577,-9.6899,17.5327,5,Italy
2018-07-22,2.6670,-7.8103,19.1445,5,Italy
2018-07-23,-0.2379,-9.8586,20.8240,42,Italy
2018-07-24,-0.2379,-9.8586,20.8240,5,Italy
2018-07-25,0.5890,-12.7464,15.0297,45,Italy
2018-07-26,0.5890,-12.7464,15.0297,5,Italy
2018-07-27,0.5890,-12.7464,15.0297,5,Italy
2018-07-28,0.5890,-12.7464,15.0297,5,Italy
2018-07-29,0.2106,-13.0375,14.1946,43,Italy
2018-07-30,0.2106,-13.0375,14.1946,5,Italy
2018-07-31,0.2106,-13.0375,14.1946,5,Italy
2018-08-01,-0.0455,-14.1602,13.0407,5,Italy
2018-08-02,-0.0455,-14.1602,12.8036,5,Italy
2018-08-03,-0.0455,-14.1602,12.5819,5,Italy
2018-08-04,0.4755,-16.4192,12.4597,5,Italy
2018-08-05,0.7159,-18.1547,13.9169,5,Italy
2018-08-06,0.5542,-18.5500,12.8963,43,Italy
2018-08-07,-0.3060,-18.5500,12.7664,4,Italy
2018-08-08,0.4787,-19.3071,11.4978,43,Italy
