YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,26.8593,26.8593,26.8593,1,Jordan
2018-01-02,13.8432,13.8432,13.8432,1,Jordan
2018-01-03,11.5826,11.5826,11.5826,1,Jordan
2018-01-04,6.5949,6.5949,6.5949,1,Jordan
2018-01-05,6.7021,6.7021,6.7021,1,Jordan
2018-01-06,5.3115,5.3115,5.3115,1,Jordan
2018-01-07,9.3488,9.3488,9.3488,1,Jordan
2018-01-08,9.3488,9.3488,9.3488,0,Jordan
2018-01-09,9.3488,9.3488,9.3488,0,Jordan
2018-01-10,9.3488,9.3488,9.3488,0,Jordan
2018-01-11,9.3488,9.3488,9.3488,0,Jordan
2018-01-12,9.3488,9.3488,9.3488,0,Jordan
2018-01-13,9.3488,9.3488,9.3488,0,Jordan
2018-01-14,9.3488,9.3488,9.3488,0,Jordan
2018-01-15,9.3488,9.3488,9.3488,0,Jordan
2018-01-16,9.3488,9.3488,9.3488,0,Jordan
2018-01-17,9.3488,9.3488,9.3488,0,Jordan
2018-01-18,9.3488,9.3488,9.3488,0,Jordan
2018-01-19,9.3488,9.3488,9.3488,0,Jordan
2018-01-20,9.3488,9.3488,9.3488,0,Jordan
2018-01-21,6.4303,6.4303,6.4303,0,Jordan
2018-01-22,7.5510,7.5510,7.5510,0,Jordan
2018-01-23,7.6734,7.6734,7.6734,0,Jordan
2018-01-24,13.0206,13.0206,13.0206,0,Jordan
2018-01-25,-1.0463,-1.0463,-1.0463,1,Jordan
2018-01-26,0.9961,0.9961,0.9961,1,Jordan
2018-01-27,-9.3003,-9.3003,-9.3003,1,Jordan
2018-01-28,-5.4399,-5.4399,-5.4399,1,Jordan
2018-01-29,-0.2609,-0.2609,-0.2609,1,Jordan
2018-01-30,-0.6259,-0.6259,-0.6259,1,Jordan
2018-01-31,-0.9986,-0.9986,-0.9986,1,Jordan
2018-02-01,-0.3415,-0.3415,-0.3415,1,Jordan
2018-02-02,0.6794,0.6794,0.6794,1,Jordan
2018-02-03,3.3646,3.3646,3.3646,1,Jordan
2018-02-04,4.2796,4.2796,4.2796,1,Jordan
2018-02-05,5.3295,5.3295,5.3295,1,Jordan
2018-02-06,5.6108,5.6108,5.6108,1,Jordan
2018-02-07,5.0845,5.0845,5.0845,1,Jordan
2018-02-08,6.1009,6.1009,6.1009,1,Jordan
2018-02-09,7.1222,7.1222,7.1222,1,Jordan
2018-02-10,5.7933,5.7933,5.7933,1,Jordan
2018-02-11,5.8728,5.8728,5.8728,1,Jordan
2018-02-12,5.9349,5.9349,5.9349,1,Jordan
2018-02-13,5.3288,5.3288,5.3288,1,Jordan
2018-02-14,7.2894,7.2894,7.2894,1,Jordan
2018-02-15,7.1455,7.1455,7.1455,1,Jordan
2018-02-16,7.1246,7.1246,7.1246,1,Jordan
2018-02-17,5.4525,5.4525,5.4525,1,Jordan
2018-02-18,2.6427,2.6427,2.6427,1,Jordan
2018-02-19,2.0854,2.0854,2.0854,1,Jordan
2018-02-20,3.5236,3.5236,3.5236,1,Jordan
2018-02-21,4.1225,4.1225,4.1225,1,Jordan
2018-02-22,3.4879,3.4879,3.4879,1,Jordan
2018-02-23,1.9528,1.9528,1.9528,1,Jordan
2018-02-24,0.1796,0.1796,0.1796,1,Jordan
2018-02-25,0.6560,0.6560,0.6560,1,Jordan
2018-02-26,0.0153,0.0153,0.0153,1,Jordan
2018-02-27,0.1086,0.1086,0.1086,0,Jordan
2018-02-28,2.1371,2.1371,2.1371,1,Jordan
2018-03-01,2.5048,2.5048,2.5048,1,Jordan
2018-03-02,3.8186,3.8186,3.8186,1,Jordan
2018-03-03,3.7904,3.7904,3.7904,1,Jordan
2018-03-04,3.6092,3.6092,3.6092,0,Jordan
2018-03-05,4.0305,4.0305,4.0305,1,Jordan
2018-03-06,5.7366,5.7366,5.7366,1,Jordan
2018-03-07,5.4060,5.4060,5.4060,1,Jordan
2018-03-08,4.3136,4.3136,4.3136,1,Jordan
2018-03-09,3.9932,3.9932,3.9932,1,Jordan
2018-03-10,5.0563,5.0563,5.0563,1,Jordan
2018-03-11,5.2299,5.2299,5.2299,1,Jordan
2018-03-12,4.3145,4.3145,4.3145,1,Jordan
2018-03-13,3.6635,3.6635,3.6635,1,Jordan
2018-03-14,3.8141,3.8141,3.8141,1,Jordan
2018-03-15,4.6062,4.6062,4.6062,1,Jordan
2018-03-16,4.6452,4.6452,4.6452,1,Jordan
2018-03-17,2.7232,2.7232,2.7232,1,Jordan
2018-03-18,3.1897,3.1897,3.1897,1,Jordan
2018-03-19,1.1733,1.1733,1.1733,1,Jordan
2018-03-20,-2.6707,-2.6707,-2.6707,1,Jordan
2018-03-21,-3.2032,-3.2032,-3.2032,1,Jordan
2018-03-22,-3.3701,-3.3701,-3.3701,1,Jordan
2018-03-23,-2.5978,-2.5978,-2.5978,1,Jordan
2018-03-24,-1.8702,-1.8702,-1.8702,1,Jordan
2018-03-25,-1.4226,-1.4226,-1.4226,1,Jordan
2018-03-26,-3.1530,-3.1530,-3.1530,1,Jordan
2018-03-27,-2.2711,-2.2711,-2.2711,1,Jordan
2018-03-28,-0.5882,-0.5882,-0.5882,1,Jordan
2018-03-29,-2.0429,-2.0429,-2.0429,1,Jordan
2018-03-30,-1.5124,-1.5124,-1.5124,1,Jordan
2018-03-31,-1.8964,-1.8964,-1.8964,1,Jordan
2018-04-01,-1.2999,-1.2999,-1.2999,1,Jordan
2018-04-02,-2.8674,-2.8674,-2.8674,1,Jordan
2018-04-03,-3.4374,-3.4374,-3.4374,1,Jordan
2018-04-04,-4.2020,-4.2020,-4.2020,0,Jordan
2018-04-05,-3.8489,-3.8489,-3.8489,1,Jordan
2018-04-06,-5.9937,-5.9937,-5.9937,1,Jordan
2018-04-07,-7.8143,-7.8143,-7.8143,1,Jordan
2018-04-08,-5.8228,-5.8228,-5.8228,1,Jordan
2018-04-09,-3.7096,-3.7096,-3.7096,1,Jordan
2018-04-10,-5.0325,-5.0325,-5.0325,1,Jordan
2018-04-11,-4.5359,-4.5359,-4.5359,1,Jordan
2018-04-12,-4.9167,-4.9167,-4.9167,1,Jordan
2018-04-13,-2.8425,-2.8425,-2.8425,1,Jordan
2018-04-14,-4.6320,-4.6320,-4.6320,1,Jordan
2018-04-15,-4.3415,-4.3415,-4.3415,1,Jordan
2018-04-16,-4.4959,-4.4959,-4.4959,1,Jordan
2018-04-17,-6.7431,-6.7431,-6.7431,1,Jordan
2018-04-18,-3.5186,-3.5186,-3.5186,1,Jordan
2018-04-19,-6.1344,-6.1344,-6.1344,1,Jordan
2018-04-20,-7.4824,-7.4824,-7.4824,1,Jordan
2018-04-21,-10.0905,-10.0905,-10.0905,1,Jordan
2018-04-22,-7.7935,-7.7935,-7.7935,1,Jordan
2018-04-23,-6.8744,-6.8744,-6.8744,1,Jordan
2018-04-24,-5.8455,-5.8455,-5.8455,1,Jordan
2018-04-25,-5.0346,-5.0346,-5.0346,1,Jordan
2018-04-26,0.3852,0.3852,0.3852,1,Jordan
2018-04-27,5.3235,5.3235,5.3235,1,Jordan
2018-04-28,4.6359,4.6359,4.6359,1,Jordan
2018-04-29,4.0919,4.0919,4.0919,1,Jordan
2018-04-30,5.4313,5.4313,5.4313,1,Jordan
2018-05-01,3.8462,3.8462,3.8462,1,Jordan
2018-05-02,2.1321,2.1321,2.1321,1,Jordan
2018-05-03,0.6911,0.6911,0.6911,1,Jordan
2018-05-04,3.8415,3.8415,3.8415,1,Jordan
2018-05-05,1.7268,1.7268,1.7268,1,Jordan
2018-05-06,2.4738,2.4738,2.4738,1,Jordan
2018-05-07,3.5337,3.5337,3.5337,1,Jordan
2018-05-08,3.3935,3.3935,3.3935,1,Jordan
2018-05-09,5.8233,5.8233,5.8233,1,Jordan
2018-05-10,8.8646,8.8646,8.8646,1,Jordan
2018-05-11,9.2467,9.2467,9.2467,1,Jordan
2018-05-12,8.5226,8.5226,8.5226,1,Jordan
2018-05-13,9.6842,9.6842,9.6842,1,Jordan
2018-05-14,7.8317,7.8317,7.8317,1,Jordan
2018-05-15,7.8431,7.8431,7.8431,1,Jordan
2018-05-16,4.4645,4.4645,4.4645,1,Jordan
2018-05-17,2.8412,2.8412,2.8412,1,Jordan
2018-05-18,2.3800,2.3800,2.3800,1,Jordan
2018-05-19,1.5161,1.5161,1.5161,1,Jordan
2018-05-20,-0.5285,-0.5285,-0.5285,1,Jordan
2018-05-21,2.9186,2.9186,2.9186,1,Jordan
2018-05-22,4.7632,4.7632,4.7632,1,Jordan
2018-05-23,3.3501,3.3501,3.3501,1,Jordan
2018-05-24,2.4724,2.4724,2.4724,1,Jordan
2018-05-25,5.9262,5.9262,5.9262,1,Jordan
2018-05-26,4.2806,4.2806,4.2806,1,Jordan
2018-05-27,5.9028,5.9028,5.9028,1,Jordan
2018-05-28,5.7255,5.7255,5.7255,1,Jordan
2018-05-29,4.6242,4.6242,4.6242,1,Jordan
2018-05-30,2.7166,2.7166,2.7166,1,Jordan
2018-05-31,3.4858,3.4858,3.4858,1,Jordan
2018-06-01,3.3908,3.3908,3.3908,1,Jordan
2018-06-02,1.7339,1.7339,1.7339,1,Jordan
2018-06-03,1.7482,1.7482,1.7482,1,Jordan
2018-06-04,1.5156,1.5156,1.5156,1,Jordan
2018-06-05,1.4552,1.4552,1.4552,1,Jordan
2018-06-06,1.0174,1.0174,1.0174,1,Jordan
2018-06-07,3.1997,3.1997,3.1997,1,Jordan
2018-06-08,2.6568,2.6568,2.6568,1,Jordan
2018-06-09,3.1241,3.1241,3.1241,1,Jordan
