YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-42.9673,-43.8830,-42.0516,2,Latvia
2018-01-02,-23.6191,-25.9344,-21.3038,2,Latvia
2018-01-03,-16.8660,-20.1126,-13.6195,2,Latvia
2018-01-04,-23.7309,-29.1950,-18.2669,2,Latvia
2018-01-05,-21.0752,-24.6699,-17.4804,2,Latvia
2018-01-06,-19.4654,-21.0508,-17.8799,2,Latvia
2018-01-07,-18.5505,-19.1927,-17.9083,2,Latvia
2018-01-08,-13.2643,-14.6851,-11.8435,2,Latvia
2018-01-09,-9.5778,-11.4374,-7.7181,2,Latvia
2018-01-10,-13.3167,-19.1490,-7.4843,2,Latvia
2018-01-11,-12.3310,-18.8944,-5.7677,2,Latvia
2018-01-12,-9.3757,-16.2802,-2.4712,2,Latvia
2018-01-13,-8.3766,-13.0873,-3.6659,2,Latvia
2018-01-14,-9.2242,-12.7816,-5.6667,2,Latvia
2018-01-15,-7.1637,-12.1722,-2.1553,2,Latvia
2018-01-16,-7.5141,-10.9419,-4.0863,2,Latvia
2018-01-17,-6.7026,-9.6322,-3.7729,2,Latvia
2018-01-18,-6.0003,-7.3718,-4.6289,2,Latvia
2018-01-19,-4.6403,-5.9117,-3.3688,2,Latvia
2018-01-20,-4.7845,-5.8653,-3.7037,2,Latvia
2018-01-21,-2.5512,-2.9777,-2.1247,2,Latvia
2018-01-22,-2.7917,-3.8012,-1.7822,2,Latvia
2018-01-23,-3.0450,-3.5902,-2.4998,2,Latvia
2018-01-24,-3.3681,-4.1341,-2.6020,2,Latvia
2018-01-25,-4.1811,-4.4586,-3.9037,2,Latvia
2018-01-26,-3.2370,-4.4714,-2.0026,2,Latvia
2018-01-27,-1.2581,-3.4088,0.8926,2,Latvia
2018-01-28,-1.9342,-2.4726,-1.3959,2,Latvia
2018-01-29,-2.4342,-3.1998,-1.6686,2,Latvia
2018-01-30,-0.1537,-1.7252,1.4178,2,Latvia
2018-01-31,1.6118,0.3900,2.8336,2,Latvia
2018-02-01,0.5660,-0.8695,2.0016,2,Latvia
2018-02-02,0.3698,0.2604,0.4792,2,Latvia
2018-02-03,1.7584,-0.4831,3.9998,2,Latvia
2018-02-04,0.7097,-0.3169,1.7363,0,Latvia
2018-02-05,1.2999,-0.7677,3.3676,1,Latvia
2018-02-06,1.6766,-0.6498,4.0031,2,Latvia
2018-02-07,1.2879,-2.8570,5.4328,2,Latvia
2018-02-08,-0.6440,-6.5801,5.2921,2,Latvia
2018-02-09,-0.4665,-6.1867,5.2537,2,Latvia
2018-02-10,-0.1818,-7.4725,7.1090,2,Latvia
2018-02-11,-0.6261,-8.0928,6.8405,2,Latvia
2018-02-12,0.6857,-7.9619,9.3333,2,Latvia
2018-02-13,3.1364,-3.8985,10.1713,2,Latvia
2018-02-14,5.6787,-0.8503,12.2077,2,Latvia
2018-02-15,5.4579,-0.7819,11.6977,2,Latvia
2018-02-16,4.3544,-1.4313,10.1402,2,Latvia
2018-02-17,6.4934,-1.8729,14.8597,2,Latvia
2018-02-18,5.1174,-1.3701,11.6049,2,Latvia
2018-02-19,3.1838,-3.4365,9.8041,2,Latvia
2018-02-20,2.4214,-2.5369,7.3797,2,Latvia
2018-02-21,3.3533,-1.3057,8.0122,2,Latvia
2018-02-22,3.9953,0.0476,7.9430,2,Latvia
2018-02-23,5.5763,2.9316,8.2210,2,Latvia
2018-02-24,3.3180,1.2088,5.4272,2,Latvia
2018-02-25,5.5989,2.4085,8.7894,2,Latvia
2018-02-26,5.9894,2.6803,9.2986,2,Latvia
2018-02-27,4.0789,-0.4247,8.5825,2,Latvia
2018-02-28,4.1802,1.9180,6.4425,1,Latvia
2018-03-01,3.9712,1.8398,6.1026,1,Latvia
2018-03-02,4.4932,1.4514,7.5351,1,Latvia
2018-03-03,6.1521,2.4564,9.8477,1,Latvia
2018-03-04,6.7892,2.8100,10.7685,1,Latvia
2018-03-05,8.8930,4.9670,12.8191,2,Latvia
2018-03-06,8.6080,5.6096,11.6065,2,Latvia
2018-03-07,9.0192,6.1162,11.9222,2,Latvia
2018-03-08,8.5200,5.0049,12.0351,2,Latvia
2018-03-09,5.7583,3.7200,7.7965,2,Latvia
2018-03-10,6.7911,3.1738,10.4085,2,Latvia
2018-03-11,7.8762,4.7679,10.9846,2,Latvia
