YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-46.5918,-63.7337,-25.3329,4,Luxembourg
2018-01-02,-27.6078,-44.9130,-16.6878,4,Luxembourg
2018-01-03,-22.9673,-39.0896,-13.1262,4,Luxembourg
2018-01-04,-13.5975,-28.6980,-2.5775,4,Luxembourg
2018-01-05,-5.5111,-21.7761,2.2926,4,Luxembourg
2018-01-06,-2.5189,-14.7142,0.4983,4,Luxembourg
2018-01-07,-4.9757,-17.3429,-0.9535,4,Luxembourg
2018-01-08,-5.1527,-16.5269,-2.1450,4,Luxembourg
2018-01-09,-4.7464,-15.6823,-3.7755,4,Luxembourg
2018-01-10,-4.2080,-14.5829,-2.6518,4,Luxembourg
2018-01-11,-4.7400,-13.2318,-3.3356,4,Luxembourg
2018-01-12,-3.7912,-11.6998,-2.8138,4,Luxembourg
2018-01-13,-3.5925,-11.7754,-2.7536,4,Luxembourg
2018-01-14,-4.8040,-11.9367,-3.4345,4,Luxembourg
2018-01-15,-4.0056,-11.4275,-2.7214,4,Luxembourg
2018-01-16,-5.7650,-10.0420,-1.9546,4,Luxembourg
2018-01-17,-4.6536,-8.3977,-0.8764,4,Luxembourg
2018-01-18,-3.6673,-7.8875,0.2828,4,Luxembourg
2018-01-19,-3.2897,-6.8519,0.7741,4,Luxembourg
2018-01-20,-2.4906,-5.3783,2.6766,4,Luxembourg
2018-01-21,-0.6532,-4.8003,4.8349,4,Luxembourg
2018-01-22,0.7026,-5.0154,6.0871,4,Luxembourg
2018-01-23,2.2361,-4.3623,7.6167,4,Luxembourg
2018-01-24,1.9081,-5.4274,7.4952,4,Luxembourg
2018-01-25,1.7335,-6.6573,7.2407,4,Luxembourg
2018-01-26,0.0430,-5.1268,6.6689,4,Luxembourg
2018-01-27,3.2995,-2.9772,9.7215,4,Luxembourg
2018-01-28,2.9385,-2.6269,9.7021,4,Luxembourg
2018-01-29,1.9187,-19.8193,8.8607,5,Luxembourg
2018-01-30,3.0531,-2.9030,9.2561,5,Luxembourg
2018-01-31,2.1364,-3.5656,10.2223,5,Luxembourg
2018-02-01,1.3225,-1.0371,10.3885,5,Luxembourg
2018-02-02,0.9815,-2.5816,10.1878,5,Luxembourg
2018-02-03,1.3081,-2.1479,10.3848,5,Luxembourg
2018-02-04,1.6534,-2.2972,10.6583,0,Luxembourg
2018-02-05,1.0968,-3.6239,11.4199,5,Luxembourg
2018-02-06,0.6400,-4.3148,10.3334,5,Luxembourg
2018-02-07,0.9968,-2.8249,9.1136,5,Luxembourg
2018-02-08,1.5904,0.3880,9.3308,5,Luxembourg
2018-02-09,2.4253,0.6710,8.3905,5,Luxembourg
2018-02-10,3.3500,1.9472,8.8208,5,Luxembourg
2018-02-11,2.3959,1.8709,7.2845,5,Luxembourg
2018-02-12,2.3133,1.5977,6.1791,5,Luxembourg
2018-02-13,2.0514,1.1673,5.7354,5,Luxembourg
2018-02-14,1.8487,0.3633,5.1866,5,Luxembourg
2018-02-15,3.2990,1.3838,4.5204,5,Luxembourg
2018-02-16,2.2475,-0.5646,4.2820,5,Luxembourg
2018-02-17,3.1361,1.0616,4.3992,5,Luxembourg
2018-02-18,3.4167,1.9064,5.4151,5,Luxembourg
2018-02-19,1.9114,-0.5942,4.0266,5,Luxembourg
2018-02-20,1.9047,-1.2818,4.6274,5,Luxembourg
2018-02-21,3.1424,0.1198,4.7671,5,Luxembourg
2018-02-22,3.5547,0.5637,5.2145,5,Luxembourg
2018-02-23,3.6954,0.9397,5.0382,5,Luxembourg
2018-02-24,3.1394,0.8725,4.1213,5,Luxembourg
2018-02-25,2.0908,0.1509,3.4263,5,Luxembourg
2018-02-26,1.9902,-0.7796,2.9706,5,Luxembourg
2018-02-27,1.8155,-1.6539,2.4005,5,Luxembourg
2018-02-28,-0.2059,-2.6963,1.5315,5,Luxembourg
2018-03-01,-1.6625,-2.2863,0.8737,5,Luxembourg
2018-03-02,-1.3438,-2.2101,0.6329,5,Luxembourg
2018-03-03,-0.8528,-1.2941,1.6941,5,Luxembourg
2018-03-04,0.2154,-1.4361,2.6197,5,Luxembourg
2018-03-05,0.5451,-1.8293,3.2742,5,Luxembourg
2018-03-06,0.6477,-1.5877,3.4142,5,Luxembourg
2018-03-07,-0.5496,-2.4489,2.8242,5,Luxembourg
2018-03-08,-1.4265,-3.8830,2.0532,5,Luxembourg
2018-03-09,-1.5442,-3.3624,2.8020,5,Luxembourg
2018-03-10,-0.4513,-1.4316,3.4728,5,Luxembourg
2018-03-11,0.0310,-1.9262,4.3654,5,Luxembourg
2018-03-12,-1.1599,-1.9987,2.9865,5,Luxembourg
2018-03-13,-2.4735,-4.2336,1.4129,5,Luxembourg
2018-03-14,-2.7134,-5.1233,0.6794,5,Luxembourg
2018-03-15,-1.1326,-4.3905,0.5678,5,Luxembourg
2018-03-16,-0.6932,-4.8836,1.1730,5,Luxembourg
2018-03-17,0.4170,-3.9478,2.6155,5,Luxembourg
2018-03-18,1.5918,-2.1889,3.2774,5,Luxembourg
2018-03-19,2.6303,-1.4922,4.0975,5,Luxembourg
2018-03-20,1.9195,-1.6463,3.7534,5,Luxembourg
2018-03-21,2.4569,-2.8422,3.4463,5,Luxembourg
2018-03-22,2.9314,-2.7799,4.2449,5,Luxembourg
2018-03-23,1.8483,-3.6329,3.2219,5,Luxembourg
2018-03-24,1.4419,-5.5208,2.9156,5,Luxembourg
2018-03-25,0.7561,-4.6445,3.0530,5,Luxembourg
2018-03-26,0.6424,-4.8427,3.7572,5,Luxembourg
2018-03-27,2.4524,-3.2775,4.7677,5,Luxembourg
2018-03-28,5.0737,-2.1573,6.9728,5,Luxembourg
2018-03-29,4.1610,-3.5173,6.2928,5,Luxembourg
2018-03-30,2.7177,-4.7460,4.8879,5,Luxembourg
2018-03-31,5.0690,-3.1958,7.3020,5,Luxembourg
2018-04-01,5.6912,-3.3395,6.4567,5,Luxembourg
2018-04-02,5.4012,-4.1961,6.2373,5,Luxembourg
2018-04-03,7.6954,-2.1272,8.9775,5,Luxembourg
2018-04-04,8.3686,-2.5729,8.4889,0,Luxembourg
2018-04-05,8.8493,-2.4812,9.7023,5,Luxembourg
2018-04-06,7.5818,-3.1642,9.1027,5,Luxembourg
2018-04-07,7.6568,-4.8918,9.3019,5,Luxembourg
2018-04-08,6.3031,-6.0945,9.3429,5,Luxembourg
2018-04-09,6.4579,-5.6275,11.6499,5,Luxembourg
2018-04-10,8.9781,-5.3993,10.7170,5,Luxembourg
2018-04-11,8.3815,-6.4217,10.1101,5,Luxembourg
2018-04-12,8.5215,-5.7970,12.6331,5,Luxembourg
2018-04-13,9.1969,-5.0701,12.8545,5,Luxembourg
2018-04-14,10.0511,-5.5067,14.0626,5,Luxembourg
2018-04-15,8.3967,-6.8637,11.5035,5,Luxembourg
2018-04-16,7.5588,-9.2883,10.3625,5,Luxembourg
2018-04-17,5.4112,-9.5666,9.6342,5,Luxembourg
2018-04-18,6.1115,-9.1037,9.2336,5,Luxembourg
2018-04-19,6.8953,-8.9300,8.9779,5,Luxembourg
2018-04-20,5.0715,-9.6301,6.9310,5,Luxembourg
2018-04-21,5.3663,-7.9288,8.1736,5,Luxembourg
2018-04-22,5.6042,-6.5758,9.0519,5,Luxembourg
2018-04-23,3.9144,-8.9607,6.7378,5,Luxembourg
2018-04-24,3.3248,-8.9206,6.5758,5,Luxembourg
2018-04-25,2.1772,-9.0055,6.1673,5,Luxembourg
2018-04-26,2.9627,-9.3059,6.6507,5,Luxembourg
2018-04-27,1.9299,-8.8324,6.5917,5,Luxembourg
2018-04-28,1.2259,-8.5017,6.3611,5,Luxembourg
2018-04-29,0.6227,-9.2705,5.3240,5,Luxembourg
2018-04-30,-0.6499,-9.9482,3.7519,5,Luxembourg
2018-05-01,-2.4627,-10.2955,1.7411,5,Luxembourg
2018-05-02,-2.4646,-10.2333,2.2325,5,Luxembourg
2018-05-03,-2.2860,-9.1898,2.8434,5,Luxembourg
2018-05-04,-3.2813,-7.8219,1.9638,5,Luxembourg
2018-05-05,-1.2755,-5.0933,3.7397,5,Luxembourg
2018-05-06,-1.3153,-5.5385,3.0916,5,Luxembourg
2018-05-07,-0.5421,-5.4592,3.1865,5,Luxembourg
2018-05-08,0.4642,-4.9947,3.2501,5,Luxembourg
2018-05-09,-0.0909,-4.2242,3.4128,5,Luxembourg
2018-05-10,-1.9817,-6.3582,-0.2433,5,Luxembourg
2018-05-11,-1.8583,-6.9525,-1.5827,5,Luxembourg
2018-05-12,-1.3990,-6.4435,-0.8920,5,Luxembourg
2018-05-13,-1.4536,-6.4046,0.0731,5,Luxembourg
2018-05-14,-0.4254,-6.4652,0.2829,5,Luxembourg
2018-05-15,-0.0274,-5.6033,1.1317,5,Luxembourg
2018-05-16,0.4276,-5.0500,1.1677,5,Luxembourg
2018-05-17,-0.2870,-5.5702,0.1263,5,Luxembourg
2018-05-18,-1.2649,-6.3052,-0.7520,5,Luxembourg
2018-05-19,-1.5437,-5.2088,-1.1618,5,Luxembourg
2018-05-20,-1.8876,-4.7901,-0.0517,5,Luxembourg
2018-05-21,-1.5192,-4.1011,-0.1422,5,Luxembourg
2018-05-22,-2.9179,-4.8126,-1.0829,5,Luxembourg
2018-05-23,-3.4984,-4.7322,-2.5548,5,Luxembourg
2018-05-24,-3.5822,-6.0058,-3.1283,5,Luxembourg
2018-05-25,-4.8776,-8.1046,-3.5211,5,Luxembourg
2018-05-26,-4.5300,-8.0491,-3.3302,5,Luxembourg
2018-05-27,-5.6318,-8.2164,-3.6288,5,Luxembourg
2018-05-28,-4.8871,-7.5070,-3.5277,5,Luxembourg
2018-05-29,-4.8963,-8.7364,-3.3505,5,Luxembourg
2018-05-30,-3.0519,-7.4777,-1.4241,4,Luxembourg
2018-05-31,-2.1898,-9.6858,-1.5231,5,Luxembourg
2018-06-01,-3.8456,-11.5550,-1.2654,5,Luxembourg
2018-06-02,-5.0737,-12.6421,-1.4815,5,Luxembourg
2018-06-03,-5.0286,-14.6699,-3.2069,3,Luxembourg
2018-06-04,-4.5840,-14.9465,-4.3845,5,Luxembourg
2018-06-05,-5.6901,-14.4781,-4.6651,5,Luxembourg
2018-06-06,-5.1582,-12.9369,-3.2777,5,Luxembourg
2018-06-07,-4.3043,-11.3130,-0.7134,5,Luxembourg
2018-06-08,-3.6691,-11.0551,0.4984,5,Luxembourg
2018-06-09,-3.6202,-11.0068,0.3981,5,Luxembourg
2018-06-10,-2.3090,-12.1506,1.6732,5,Luxembourg
2018-06-11,-2.8940,-13.2775,2.1212,5,Luxembourg
2018-06-12,-3.8072,-14.6043,1.4217,5,Luxembourg
2018-06-13,-3.9208,-15.9157,0.9848,5,Luxembourg
2018-06-14,-4.2346,-15.2414,1.1579,5,Luxembourg
2018-06-15,-4.7786,-15.9527,0.8266,4,Luxembourg
2018-06-16,-4.5272,-16.4923,0.8202,4,Luxembourg
2018-06-17,-7.3188,-18.7520,-2.2177,4,Luxembourg
2018-06-18,-7.5612,-19.9369,-2.3695,5,Luxembourg
2018-06-19,-9.2233,-20.8645,-2.6795,5,Luxembourg
