YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-1.2245,-10.7427,12.0254,8,Macedonia
2018-01-02,1.0613,-11.7622,15.8830,8,Macedonia
2018-01-03,3.5427,-10.4396,14.6373,8,Macedonia
2018-01-04,1.7552,-13.5266,6.8960,8,Macedonia
2018-01-05,-0.0463,-11.6259,6.2772,8,Macedonia
2018-01-06,1.3953,-8.0694,7.3437,8,Macedonia
2018-01-07,0.8430,-7.4094,6.5439,8,Macedonia
2018-01-08,0.9913,-8.3216,5.4997,8,Macedonia
2018-01-09,-0.0701,-9.8659,6.0951,8,Macedonia
2018-01-10,1.0612,-7.8671,7.2920,8,Macedonia
2018-01-11,0.3768,-8.3401,7.3556,8,Macedonia
2018-01-12,0.0202,-7.3297,5.7881,8,Macedonia
2018-01-13,-1.0983,-8.0208,5.2365,8,Macedonia
2018-01-14,-2.7096,-10.9165,2.5700,8,Macedonia
2018-01-15,-3.7803,-11.7558,0.6231,8,Macedonia
2018-01-16,-3.3953,-12.1694,-0.8524,8,Macedonia
2018-01-17,-3.4947,-13.4404,-0.9029,8,Macedonia
2018-01-18,-4.9129,-14.2337,-1.3477,8,Macedonia
2018-01-19,-4.2267,-14.2115,-1.5956,8,Macedonia
2018-01-20,-3.6869,-14.0797,-1.0017,8,Macedonia
2018-01-21,-3.9905,-15.3600,-1.3529,8,Macedonia
2018-01-22,-4.4731,-15.4670,-1.5173,8,Macedonia
2018-01-23,-4.2541,-16.1081,-1.8156,8,Macedonia
2018-01-24,-4.3832,-15.6031,-2.0909,8,Macedonia
2018-01-25,-4.4192,-16.2424,-2.3480,8,Macedonia
2018-01-26,-4.6668,-16.3264,-2.5610,8,Macedonia
2018-01-27,-4.0866,-15.3915,-1.9687,8,Macedonia
2018-01-28,-3.6185,-15.1260,-1.0168,8,Macedonia
2018-01-29,-2.9705,-14.7789,0.1280,8,Macedonia
2018-01-30,-2.3330,-16.0315,0.7300,8,Macedonia
2018-01-31,-2.4058,-16.1758,1.3091,8,Macedonia
2018-02-01,-0.1666,-16.5349,1.9546,8,Macedonia
2018-02-02,-0.0123,-16.9147,3.4798,8,Macedonia
2018-02-03,-0.9207,-16.2746,5.4877,8,Macedonia
2018-02-04,-0.3301,-15.5971,6.5123,0,Macedonia
2018-02-05,0.1817,-14.3576,6.4200,8,Macedonia
2018-02-06,-0.0893,-13.4256,7.1749,8,Macedonia
2018-02-07,-0.4229,-13.5295,8.3604,8,Macedonia
2018-02-08,-0.3654,-13.4029,8.0967,8,Macedonia
2018-02-09,-1.0180,-13.9584,8.8272,8,Macedonia
2018-02-10,-0.1840,-13.0065,9.9255,8,Macedonia
2018-02-11,1.3218,-13.4372,8.4780,8,Macedonia
2018-02-12,1.6510,-12.6872,8.9995,8,Macedonia
2018-02-13,2.8428,-11.7062,8.9154,8,Macedonia
