YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-11.7574,-11.7574,-11.7574,1,Malta
2018-01-02,-15.5723,-15.5723,-15.5723,1,Malta
2018-01-03,-7.8863,-7.8863,-7.8863,1,Malta
2018-01-04,8.8438,-5.5062,23.1938,2,Malta
2018-01-05,5.7528,-1.0738,12.5794,2,Malta
2018-01-06,9.9083,5.1793,14.6373,2,Malta
2018-01-07,10.0047,5.3625,14.6469,1,Malta
2018-01-08,10.9095,7.0817,14.7374,1,Malta
2018-01-09,10.9564,8.8368,13.0761,2,Malta
2018-01-10,10.4909,7.9524,13.0295,1,Malta
2018-01-11,10.1801,7.3618,12.9984,1,Malta
2018-01-12,10.3158,7.6197,13.0120,1,Malta
2018-01-13,10.3158,7.6197,13.0120,0,Malta
2018-01-14,10.3158,7.6197,13.0120,0,Malta
2018-01-15,10.3158,7.6197,13.0120,0,Malta
2018-01-16,10.3158,7.6197,13.0120,0,Malta
2018-01-17,11.3262,7.7207,14.9318,1,Malta
2018-01-18,12.4969,9.9450,15.0489,1,Malta
2018-01-19,12.5531,10.0517,15.0545,1,Malta
2018-01-20,12.2629,9.4512,15.0747,2,Malta
2018-01-21,11.2797,7.5831,14.9764,1,Malta
2018-01-22,11.6786,8.3410,15.0162,1,Malta
2018-01-23,10.7425,6.5623,14.9226,1,Malta
2018-01-24,7.6443,6.6234,8.6652,2,Malta
2018-01-25,6.9806,5.5755,8.3856,2,Malta
2018-01-26,4.6812,3.0555,6.3070,1,Malta
2018-01-27,4.8200,3.3191,6.3209,1,Malta
2018-01-28,3.8019,1.3847,6.2191,1,Malta
2018-01-29,2.9197,-0.0055,5.8450,1,Malta
2018-01-30,3.0734,0.2865,5.8603,1,Malta
2018-01-31,2.9779,0.1051,5.8508,1,Malta
2018-02-01,-0.1698,-1.1656,0.8260,2,Malta
2018-02-02,0.5993,-2.0961,3.2946,2,Malta
2018-02-03,3.2551,-1.3182,7.8285,2,Malta
2018-02-04,3.2551,-1.3182,7.8285,0,Malta
2018-02-05,3.2551,-1.3182,7.8285,0,Malta
2018-02-06,4.9256,-1.0367,10.8879,2,Malta
2018-02-07,3.4436,-3.8526,10.7397,1,Malta
2018-02-08,3.3403,-3.3234,10.0040,2,Malta
2018-02-09,1.2163,-4.7605,7.1932,2,Malta
2018-02-10,1.2415,-4.8754,7.3583,2,Malta
2018-02-11,1.9220,-3.5824,7.4264,1,Malta
2018-02-12,3.0864,-1.7026,7.8753,2,Malta
2018-02-13,3.5501,-3.1484,10.2487,1,Malta
2018-02-14,4.0944,-3.2986,11.4873,1,Malta
2018-02-15,3.3397,-3.5908,10.2702,2,Malta
2018-02-16,2.6077,-3.7185,8.9338,2,Malta
2018-02-17,2.9582,-3.0524,8.9689,1,Malta
2018-02-18,2.7344,-3.4776,8.9465,1,Malta
2018-02-19,2.5209,-3.9782,9.0200,2,Malta
2018-02-20,2.7292,-3.5824,9.0409,1,Malta
2018-02-21,4.5570,-2.7861,11.9002,1,Malta
2018-02-22,5.0031,-1.1267,11.1329,2,Malta
2018-02-23,3.2949,-1.8746,8.4643,1,Malta
2018-02-24,4.9149,-1.4317,11.2616,2,Malta
2018-02-25,4.3327,-2.3477,11.0131,2,Malta
2018-02-26,2.5234,-2.8337,7.8805,2,Malta
2018-02-27,2.7863,-2.0458,7.6183,2,Malta
2018-02-28,0.7000,-3.9864,5.3864,2,Malta
2018-03-01,0.4255,-3.9085,4.7595,2,Malta
2018-03-02,1.2322,-1.9846,4.4490,2,Malta
2018-03-03,2.1549,-2.3587,6.6685,2,Malta
