YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-30,64.4900,63.2613,65.7187,2,Mexico
2018-01-31,49.1728,47.2779,51.0677,2,Mexico
2018-02-01,26.1172,21.5955,30.6388,2,Mexico
2018-02-02,26.1172,21.5955,30.6388,0,Mexico
2018-02-03,19.4679,19.4176,19.5181,2,Mexico
2018-02-04,17.4486,16.9331,17.9642,2,Mexico
2018-02-05,12.4083,9.9524,14.8642,2,Mexico
2018-02-06,3.4600,3.0699,3.8501,2,Mexico
2018-02-07,4.5106,3.9715,5.0497,2,Mexico
2018-02-08,1.3186,-0.0329,2.6701,2,Mexico
2018-02-09,0.4297,-0.9567,1.8161,2,Mexico
2018-02-10,0.7357,-0.5718,2.0432,2,Mexico
2018-02-11,-0.1654,-0.9636,0.6327,2,Mexico
2018-02-12,-0.1654,-0.9636,0.6327,0,Mexico
2018-02-13,1.4796,0.3312,2.6279,2,Mexico
2018-02-14,1.1577,0.2004,2.1149,2,Mexico
2018-02-15,0.2575,-0.7246,1.2395,2,Mexico
2018-02-16,0.4847,-0.4731,1.4425,2,Mexico
2018-02-17,0.5235,-0.4336,1.4806,2,Mexico
2018-02-18,-0.3119,-1.2401,0.6164,2,Mexico
2018-02-19,-5.0468,-6.0638,-4.0297,2,Mexico
2018-02-20,-7.9402,-9.0981,-6.7822,2,Mexico
2018-02-21,-6.5064,-7.0660,-5.9467,2,Mexico
2018-02-22,-5.4342,-6.0687,-4.7998,2,Mexico
2018-02-23,-5.2497,-6.7037,-3.7956,2,Mexico
2018-02-24,-5.2362,-6.6862,-3.7862,2,Mexico
2018-02-25,-4.9161,-6.8134,-3.0188,2,Mexico
2018-02-26,-4.7762,-5.5526,-3.9999,2,Mexico
2018-02-27,-4.2388,-5.7377,-2.7398,2,Mexico
2018-02-28,-3.3822,-5.2013,-1.5631,2,Mexico
2018-03-01,-3.8462,-6.0372,-1.6552,2,Mexico
2018-03-02,-4.6124,-6.6601,-2.5648,2,Mexico
2018-03-03,-5.0819,-6.8149,-3.3489,2,Mexico
2018-03-04,-5.0819,-6.8149,-3.3489,0,Mexico
2018-03-05,-6.5431,-8.6696,-4.4165,0,Mexico
2018-03-06,-6.7499,-8.9117,-4.5881,0,Mexico
2018-03-07,-7.2863,-9.7971,-4.7756,2,Mexico
2018-03-08,-6.9537,-9.9060,-4.0015,2,Mexico
2018-03-09,-7.2196,-10.0345,-4.4047,2,Mexico
2018-03-10,-4.8702,-7.6206,-2.1197,2,Mexico
2018-03-11,-2.7609,-5.8271,0.3054,2,Mexico
2018-03-12,-2.6566,-6.2677,0.9544,2,Mexico
2018-03-13,-3.1803,-6.7549,0.3943,2,Mexico
2018-03-14,-3.9302,-7.1380,-0.7224,2,Mexico
2018-03-15,-3.6365,-6.6013,-0.6717,2,Mexico
