YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-37.9971,-50.1980,-12.7953,31,Netherlands
2018-01-02,-26.6586,-38.1831,-14.0348,31,Netherlands
2018-01-03,-19.8478,-30.2120,-9.1706,31,Netherlands
2018-01-04,-13.3712,-21.1843,-0.1425,32,Netherlands
2018-01-05,-7.9252,-14.6828,4.7708,32,Netherlands
2018-01-06,-5.0194,-12.7144,4.5215,32,Netherlands
2018-01-07,-6.6533,-13.6676,1.7512,30,Netherlands
2018-01-08,-6.1397,-12.2050,1.0856,31,Netherlands
2018-01-09,-5.2426,-9.8216,0.8509,32,Netherlands
2018-01-10,-4.1061,-8.5586,1.6127,32,Netherlands
2018-01-11,-3.5616,-8.3722,1.3268,32,Netherlands
2018-01-12,-3.3137,-7.9569,1.0399,32,Netherlands
2018-01-13,-2.9279,-7.2754,1.2104,32,Netherlands
2018-01-14,-4.0715,-8.2320,0.1230,32,Netherlands
2018-01-15,-4.2944,-8.2517,0.4595,32,Netherlands
2018-01-16,-3.7196,-7.4770,0.2971,31,Netherlands
2018-01-17,-2.8787,-7.9891,0.0825,31,Netherlands
2018-01-18,-2.3928,-7.9996,0.7396,31,Netherlands
2018-01-19,-1.9638,-8.0977,1.8753,31,Netherlands
2018-01-20,-1.3529,-6.6345,2.5328,31,Netherlands
2018-01-21,0.5457,-5.6570,4.5519,30,Netherlands
2018-01-22,1.4299,-5.1075,5.7779,31,Netherlands
2018-01-23,2.3459,-3.3384,7.3008,31,Netherlands
2018-01-24,1.1993,-4.5715,7.0382,31,Netherlands
2018-01-25,0.8610,-6.0226,6.2351,31,Netherlands
2018-01-26,0.8352,-4.9720,5.7305,31,Netherlands
2018-01-27,1.7877,-4.8550,6.8306,31,Netherlands
2018-01-28,1.8312,-5.5939,7.1970,31,Netherlands
2018-01-29,1.1313,-6.4879,6.5131,31,Netherlands
2018-01-30,1.4439,-7.5476,6.4556,31,Netherlands
2018-01-31,1.6199,-6.7006,7.1472,31,Netherlands
2018-02-01,1.8188,-6.0457,8.0194,31,Netherlands
2018-02-02,1.3495,-9.1529,7.6783,31,Netherlands
2018-02-03,2.9572,-5.4816,10.6837,31,Netherlands
2018-02-04,1.4089,-7.2180,8.4509,31,Netherlands
2018-02-05,0.9259,-7.8903,7.0139,31,Netherlands
2018-02-06,0.1859,-6.8922,6.5645,31,Netherlands
2018-02-07,2.0341,-5.9497,7.1914,31,Netherlands
2018-02-08,1.8292,-5.4915,7.5484,31,Netherlands
2018-02-09,1.2575,-8.8498,6.3834,32,Netherlands
2018-02-10,0.7788,-8.6848,5.9918,32,Netherlands
2018-02-11,-0.8649,-9.8812,4.8825,30,Netherlands
2018-02-12,-2.3269,-10.9883,3.8356,32,Netherlands
2018-02-13,-2.3573,-9.7476,3.5326,32,Netherlands
2018-02-14,-2.2711,-9.2147,2.5897,32,Netherlands
2018-02-15,-2.4649,-8.9862,3.0462,32,Netherlands
2018-02-16,-2.4431,-6.9463,2.9973,32,Netherlands
2018-02-17,-1.4032,-7.2035,3.4528,32,Netherlands
2018-02-18,-0.5894,-6.6682,4.2942,31,Netherlands
2018-02-19,-0.9625,-5.7942,3.9012,32,Netherlands
2018-02-20,-0.5940,-5.1614,4.0106,32,Netherlands
2018-02-21,-1.1252,-4.8586,3.8722,32,Netherlands
2018-02-22,-1.7108,-4.7169,3.2916,32,Netherlands
2018-02-23,-1.4951,-4.6623,4.0909,32,Netherlands
2018-02-24,-1.0467,-4.5503,5.0348,32,Netherlands
2018-02-25,-1.4980,-5.7701,4.1253,32,Netherlands
2018-02-26,-1.5689,-6.0764,3.7404,32,Netherlands
2018-02-27,-2.6954,-7.7268,2.9565,32,Netherlands
2018-02-28,-3.2116,-8.3407,1.6624,32,Netherlands
2018-03-01,-2.8391,-9.7988,1.1345,32,Netherlands
2018-03-02,-2.0311,-8.6378,2.0288,32,Netherlands
2018-03-03,-0.1967,-5.8040,2.9329,30,Netherlands
2018-03-04,-0.2174,-5.7095,3.4010,30,Netherlands
2018-03-05,-0.1217,-5.2940,4.3969,31,Netherlands
2018-03-06,0.8808,-5.1305,4.9943,31,Netherlands
2018-03-07,0.7323,-4.9804,4.8856,32,Netherlands
2018-03-08,-0.3792,-5.1908,3.3266,32,Netherlands
2018-03-09,-0.5470,-5.6470,3.3445,32,Netherlands
2018-03-10,-1.3040,-5.9888,2.8226,32,Netherlands
2018-03-11,-2.1028,-6.5841,2.6405,32,Netherlands
2018-03-12,-2.2721,-7.2682,2.0585,32,Netherlands
2018-03-13,-3.2094,-7.1419,0.9721,32,Netherlands
2018-03-14,-3.1825,-8.0985,1.0009,32,Netherlands
2018-03-15,-3.1239,-8.3678,0.8928,32,Netherlands
2018-03-16,-2.7138,-8.1603,0.9157,32,Netherlands
2018-03-17,-1.3497,-5.9659,1.9224,31,Netherlands
2018-03-18,-1.5675,-5.4365,2.0865,32,Netherlands
2018-03-19,-1.8898,-4.6262,2.2222,32,Netherlands
2018-03-20,-1.7772,-5.2040,2.2633,32,Netherlands
2018-03-21,-1.0331,-4.4880,3.3317,32,Netherlands
2018-03-22,-1.9548,-5.9116,2.4292,32,Netherlands
2018-03-23,-2.7188,-6.9591,1.8336,32,Netherlands
2018-03-24,-2.9310,-7.9642,1.0489,32,Netherlands
2018-03-25,-2.3365,-6.8904,3.9154,32,Netherlands
2018-03-26,-2.5912,-7.0326,3.6563,32,Netherlands
2018-03-27,-3.9970,-7.9916,1.4882,32,Netherlands
2018-03-28,-3.7089,-8.7878,1.0194,32,Netherlands
2018-03-29,-3.2229,-9.4257,1.5454,31,Netherlands
2018-03-30,-3.3984,-9.7232,0.7409,32,Netherlands
2018-03-31,-3.3384,-9.0206,2.2170,32,Netherlands
2018-04-01,-3.8340,-9.7982,2.5819,32,Netherlands
2018-04-02,-4.6057,-10.9235,1.3055,32,Netherlands
2018-04-03,-4.9845,-10.1247,1.9430,32,Netherlands
2018-04-04,-5.3311,-9.9188,2.1262,0,Netherlands
2018-04-05,-4.5179,-11.5593,2.4231,32,Netherlands
2018-04-06,-4.3358,-11.7579,1.8254,32,Netherlands
2018-04-07,-3.1198,-12.2740,1.8937,32,Netherlands
2018-04-08,-3.0256,-12.8965,2.6236,31,Netherlands
2018-04-09,-2.6299,-12.2392,3.1997,31,Netherlands
2018-04-10,-2.8352,-12.3458,2.2896,31,Netherlands
2018-04-11,-1.6374,-12.9747,3.0857,31,Netherlands
2018-04-12,-1.1169,-11.3187,4.0439,32,Netherlands
2018-04-13,0.5433,-10.8284,4.8710,31,Netherlands
2018-04-14,-0.4399,-11.0969,5.0417,32,Netherlands
2018-04-15,-2.0163,-12.2782,5.2121,32,Netherlands
2018-04-16,-1.9209,-11.6329,5.9558,32,Netherlands
2018-04-17,-2.0087,-11.0717,6.1007,31,Netherlands
2018-04-18,-1.4190,-10.5144,6.1268,31,Netherlands
2018-04-19,-0.9518,-9.1780,6.6472,31,Netherlands
2018-04-20,-0.9462,-9.1498,6.4302,32,Netherlands
2018-04-21,-0.4585,-9.1584,6.1262,32,Netherlands
2018-04-22,0.7646,-9.5199,5.8941,32,Netherlands
2018-04-23,0.3029,-8.7801,5.3783,32,Netherlands
2018-04-24,-0.1346,-8.7691,4.6808,32,Netherlands
2018-04-25,-0.6686,-8.9755,4.7072,32,Netherlands
2018-04-26,-0.9215,-8.5265,5.6201,32,Netherlands
2018-04-27,-2.6999,-9.3123,3.5031,31,Netherlands
2018-04-28,-0.7466,-7.9391,4.2635,31,Netherlands
2018-04-29,0.0630,-8.4081,5.7218,31,Netherlands
2018-04-30,0.3883,-8.8201,6.6899,32,Netherlands
2018-05-01,-1.1128,-9.2278,6.3743,32,Netherlands
2018-05-02,-2.4869,-9.3455,5.9064,32,Netherlands
2018-05-03,-0.7260,-8.3176,6.1973,32,Netherlands
2018-05-04,-0.2232,-9.4210,5.4685,32,Netherlands
2018-05-05,0.3029,-7.5416,6.6544,32,Netherlands
2018-05-06,0.3926,-7.5955,6.0765,32,Netherlands
2018-05-07,0.9803,-7.5850,6.4151,32,Netherlands
2018-05-08,0.6224,-7.2131,6.7697,31,Netherlands
2018-05-09,0.7069,-6.9247,6.1964,31,Netherlands
2018-05-10,-1.3877,-8.7151,3.9924,31,Netherlands
2018-05-11,-1.9167,-9.9927,3.5722,31,Netherlands
2018-05-12,-1.4864,-9.3658,4.2836,30,Netherlands
2018-05-13,-0.6883,-9.9369,3.7888,30,Netherlands
2018-05-14,1.3331,-8.0146,6.0068,30,Netherlands
2018-05-15,0.9034,-7.9412,8.0620,31,Netherlands
2018-05-16,-0.0224,-9.1529,8.7759,31,Netherlands
2018-05-17,-0.0967,-8.9895,10.4853,29,Netherlands
2018-05-18,-1.4638,-11.3489,9.6790,31,Netherlands
2018-05-19,-2.8667,-12.4047,8.7968,32,Netherlands
2018-05-20,-5.6390,-14.3662,8.4408,32,Netherlands
2018-05-21,-7.1421,-15.6661,7.8751,32,Netherlands
2018-05-22,-6.8349,-15.4509,7.3991,32,Netherlands
2018-05-23,-8.1948,-16.6069,6.8957,32,Netherlands
2018-05-24,-9.2714,-17.1388,7.3161,31,Netherlands
2018-05-25,-8.2111,-16.7108,8.8662,32,Netherlands
2018-05-26,-7.0917,-14.0798,10.5277,32,Netherlands
2018-05-27,-4.8365,-11.4511,12.9685,32,Netherlands
2018-05-28,-4.5141,-11.8283,12.9969,31,Netherlands
2018-05-29,-3.4907,-10.7573,14.3289,32,Netherlands
2018-05-30,-2.1264,-11.6298,14.6198,32,Netherlands
2018-05-31,-2.3952,-12.4264,14.7957,32,Netherlands
2018-06-01,-2.0679,-10.8793,17.3000,32,Netherlands
2018-06-02,-1.7978,-11.5277,17.0018,30,Netherlands
2018-06-03,-1.7731,-11.8218,14.0353,30,Netherlands
2018-06-04,-1.0376,-12.2564,13.1846,29,Netherlands
2018-06-05,-1.2641,-12.6037,12.2481,32,Netherlands
2018-06-06,-1.2425,-11.5517,12.3705,32,Netherlands
2018-06-07,0.8781,-10.0269,13.2506,32,Netherlands
2018-06-08,2.7695,-9.6044,13.9369,32,Netherlands
2018-06-09,3.3316,-8.2644,15.9822,30,Netherlands
2018-06-10,4.1865,-8.2767,17.8552,29,Netherlands
2018-06-11,3.0358,-10.7861,17.7412,29,Netherlands
2018-06-12,3.1576,-11.5237,18.0577,31,Netherlands
2018-06-13,-1.0559,-13.3136,18.2839,31,Netherlands
2018-06-14,-1.1819,-14.5214,15.7682,32,Netherlands
2018-06-15,-0.3023,-14.3036,15.4999,32,Netherlands
2018-06-16,-3.5549,-15.4351,12.6196,32,Netherlands
2018-06-17,-4.1535,-16.4514,12.2965,32,Netherlands
2018-06-18,-4.0259,-14.9366,11.2773,31,Netherlands
2018-06-19,-3.1223,-14.7815,10.6369,31,Netherlands
2018-06-20,-2.2300,-14.7633,13.0734,32,Netherlands
2018-06-21,-4.0474,-15.6388,11.9111,30,Netherlands
2018-06-22,-3.7601,-14.0625,10.6733,29,Netherlands
2018-06-23,-4.4276,-14.5062,11.7379,32,Netherlands
2018-06-24,-4.2416,-13.8560,13.2816,32,Netherlands
2018-06-25,-3.6141,-13.3941,13.1609,31,Netherlands
2018-06-26,-4.5281,-14.1323,12.3701,31,Netherlands
2018-06-27,-5.7686,-13.8147,9.5208,32,Netherlands
2018-06-28,-7.3287,-14.6263,9.7985,32,Netherlands
2018-06-29,-7.0721,-13.0931,8.9243,31,Netherlands
2018-06-30,-5.5238,-14.7584,8.5561,31,Netherlands
2018-07-01,-5.6651,-15.2544,8.2029,31,Netherlands
2018-07-02,-5.0054,-16.1002,7.0570,31,Netherlands
2018-07-03,-5.1082,-14.5559,6.0566,29,Netherlands
2018-07-04,-5.2623,-13.9887,6.3696,31,Netherlands
2018-07-05,-6.6140,-15.2985,3.9242,32,Netherlands
2018-07-06,-7.0714,-17.1006,3.3711,32,Netherlands
2018-07-07,-7.6126,-16.8212,4.3775,32,Netherlands
2018-07-08,-9.3795,-17.4403,2.5142,31,Netherlands
2018-07-09,-9.0258,-15.5504,5.3975,31,Netherlands
2018-07-10,-8.9082,-17.9644,2.7790,32,Netherlands
2018-07-11,-9.0923,-16.7310,4.8035,32,Netherlands
2018-07-12,-8.2352,-16.6863,4.7684,32,Netherlands
2018-07-13,-6.9399,-17.9452,3.0264,32,Netherlands
2018-07-14,-7.8065,-16.9048,3.8652,32,Netherlands
2018-07-15,-7.2159,-16.8172,4.5695,31,Netherlands
2018-07-16,-6.9209,-15.9024,7.6695,30,Netherlands
2018-07-17,-7.2921,-15.0307,7.5336,31,Netherlands
2018-07-18,-7.3185,-14.0236,8.3564,32,Netherlands
2018-07-19,-6.7935,-13.7348,8.3754,0,Netherlands
2018-07-20,-6.3798,-13.6369,7.4684,32,Netherlands
2018-07-21,-5.6615,-13.7872,7.1565,31,Netherlands
2018-07-22,-5.6563,-13.2575,7.9813,31,Netherlands
2018-07-23,-3.6676,-11.5608,11.5358,32,Netherlands
2018-07-24,-2.8022,-9.8296,13.7680,32,Netherlands
2018-07-25,-1.9616,-9.7249,14.7669,32,Netherlands
2018-07-26,-1.3102,-10.4418,16.3250,32,Netherlands
2018-07-27,-0.7072,-10.0047,17.0774,0,Netherlands
2018-07-28,0.9502,-8.2233,16.9667,0,Netherlands
