YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-1.2680,-24.4614,20.2195,24,Norway
2018-01-02,4.3411,-15.4281,16.0179,24,Norway
2018-01-03,-3.2048,-12.5663,33.3080,27,Norway
2018-01-04,-4.8964,-15.1680,11.1531,27,Norway
2018-01-05,-5.7293,-14.5631,10.7097,26,Norway
2018-01-06,-2.8472,-16.4952,11.5208,27,Norway
2018-01-07,-1.8704,-14.8019,9.2768,27,Norway
2018-01-08,1.4527,-12.0546,9.5783,27,Norway
2018-01-09,-0.1437,-10.3052,9.8189,28,Norway
2018-01-10,-0.1088,-9.0342,9.0734,28,Norway
2018-01-11,0.2791,-7.5725,9.7810,27,Norway
2018-01-12,0.3058,-8.7378,9.5410,28,Norway
2018-01-13,-0.2834,-7.7094,10.8759,27,Norway
2018-01-14,-2.2995,-8.0787,8.5312,26,Norway
2018-01-15,-3.5184,-9.0872,6.4656,28,Norway
2018-01-16,-2.4512,-8.5224,3.9893,28,Norway
2018-01-17,-2.0095,-7.1352,3.7797,28,Norway
2018-01-18,-2.2041,-7.6465,3.6707,28,Norway
2018-01-19,-2.0596,-6.9885,4.0312,28,Norway
2018-01-20,-1.4646,-6.1626,4.6797,28,Norway
2018-01-21,-0.5591,-6.4034,4.8253,28,Norway
2018-01-22,-1.5473,-7.4381,3.2775,28,Norway
2018-01-23,-1.1594,-6.7347,3.3804,28,Norway
2018-01-24,-0.6027,-2.9874,5.6870,28,Norway
2018-01-25,-0.0651,-2.9040,7.1177,27,Norway
2018-01-26,0.2204,-4.2992,5.8760,28,Norway
2018-01-27,0.8381,-4.2321,7.2260,28,Norway
2018-01-28,0.7425,-7.0946,7.1921,28,Norway
2018-01-29,1.2496,-6.5698,7.3081,28,Norway
2018-01-30,1.3217,-6.1066,6.9390,28,Norway
2018-01-31,1.6546,-7.4473,7.0477,28,Norway
2018-02-01,1.1057,-7.9916,7.4251,28,Norway
2018-02-02,1.7818,-6.9113,8.0945,27,Norway
2018-02-03,3.0701,-5.4994,7.6863,27,Norway
2018-02-04,3.6863,-4.4985,7.6744,27,Norway
2018-02-05,3.0602,-4.4179,7.1549,28,Norway
2018-02-06,3.3387,-4.8181,7.2175,27,Norway
2018-02-07,3.7521,-4.3256,7.9444,27,Norway
2018-02-08,4.6952,-5.2144,9.1256,27,Norway
2018-02-09,4.3399,-5.2655,9.2227,27,Norway
2018-02-10,3.6884,-2.9287,9.3274,27,Norway
2018-02-11,3.1909,-3.9878,9.3115,27,Norway
2018-02-12,1.2953,-5.0735,8.2781,27,Norway
2018-02-13,2.3707,-5.4975,8.4724,28,Norway
2018-02-14,2.4318,-6.2133,9.1419,28,Norway
2018-02-15,0.4359,-7.2101,6.8723,28,Norway
2018-02-16,-0.3014,-8.2249,7.4168,28,Norway
2018-02-17,-0.5348,-8.5114,6.3002,27,Norway
2018-02-18,-0.6317,-8.4857,6.0981,27,Norway
2018-02-19,-1.0766,-9.3093,5.5397,28,Norway
