YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,2.4861,-12.9604,27.6453,7,Palestine
2018-01-02,-3.8246,-18.4664,14.8785,7,Palestine
2018-01-03,-2.2837,-10.0110,12.1527,7,Palestine
2018-01-04,2.3266,-4.0683,15.2349,7,Palestine
2018-01-05,-0.2962,-2.6938,9.4173,7,Palestine
2018-01-06,6.0605,-3.4144,7.3222,7,Palestine
2018-01-07,5.7964,-1.0409,8.3138,7,Palestine
2018-01-08,5.7964,-1.0409,8.3138,0,Palestine
2018-01-09,5.7964,-1.0409,8.3138,0,Palestine
2018-01-10,5.7964,-1.0409,8.3138,0,Palestine
2018-01-11,5.7964,-1.0409,8.3138,0,Palestine
2018-01-12,5.7964,-1.0409,8.3138,0,Palestine
2018-01-13,5.7964,-1.0409,8.3138,0,Palestine
2018-01-14,5.7964,-1.0409,8.3138,0,Palestine
2018-01-15,5.7964,-1.0409,8.3138,0,Palestine
2018-01-16,5.7964,-1.0409,8.3138,0,Palestine
2018-01-17,5.7964,-1.0409,8.3138,0,Palestine
2018-01-18,5.7964,-1.0409,8.3138,0,Palestine
2018-01-19,5.7964,-1.0409,8.3138,0,Palestine
2018-01-20,5.7964,-1.0409,8.3138,0,Palestine
2018-01-21,4.4127,-1.2642,9.2709,0,Palestine
2018-01-22,5.6715,-0.0458,15.1743,0,Palestine
2018-01-23,5.1569,0.2398,18.0910,0,Palestine
2018-01-24,3.2556,-1.0655,9.2682,0,Palestine
2018-01-25,8.2560,-13.1073,31.5170,7,Palestine
2018-01-26,1.6482,-15.4960,23.1279,7,Palestine
2018-01-27,-3.4724,-29.8692,17.1393,7,Palestine
2018-01-28,2.0588,-19.8099,13.6566,7,Palestine
2018-01-29,6.0809,-16.4017,11.1451,7,Palestine
2018-01-30,0.1025,-14.0494,8.1943,7,Palestine
2018-01-31,-2.9975,-9.4268,7.3070,7,Palestine
2018-02-01,-2.2015,-7.0805,7.8850,7,Palestine
2018-02-02,0.1404,-6.2151,8.9613,7,Palestine
2018-02-03,-0.7988,-6.7474,8.4745,7,Palestine
2018-02-04,-3.7231,-9.9719,9.1823,7,Palestine
2018-02-05,-1.5594,-9.6501,7.8675,7,Palestine
2018-02-06,-1.8885,-6.5229,8.0081,7,Palestine
2018-02-07,-0.9182,-5.4370,9.6314,7,Palestine
2018-02-08,-0.9737,-4.8609,9.3199,7,Palestine
2018-02-09,-1.3950,-5.4452,9.0848,7,Palestine
2018-02-10,-0.7188,-5.9296,7.9218,7,Palestine
2018-02-11,1.8668,-4.9887,8.2157,7,Palestine
2018-02-12,0.7562,-3.5428,7.7467,7,Palestine
2018-02-13,1.5189,-4.4203,5.6795,7,Palestine
2018-02-14,0.6892,-5.4243,4.0859,7,Palestine
2018-02-15,0.4039,-4.3462,3.3013,7,Palestine
2018-02-16,-0.1155,-5.1895,2.7985,7,Palestine
2018-02-17,-2.6317,-8.5751,0.0726,7,Palestine
2018-02-18,-3.7858,-11.9904,0.8340,7,Palestine
2018-02-19,-3.8968,-11.3296,-0.2301,7,Palestine
2018-02-20,-3.9355,-10.2587,0.1304,7,Palestine
2018-02-21,-4.1269,-10.3927,0.4650,7,Palestine
2018-02-22,-4.5626,-10.2415,0.3058,7,Palestine
2018-02-23,-3.1848,-10.0545,-0.0045,7,Palestine
2018-02-24,-4.7921,-9.8629,-0.3307,7,Palestine
2018-02-25,-4.5484,-10.2574,1.5185,7,Palestine
2018-02-26,-3.8711,-10.1131,-0.4429,7,Palestine
2018-02-27,-7.0170,-11.2389,-0.9283,5,Palestine
2018-02-28,-6.6466,-10.2302,-2.9097,7,Palestine
2018-03-01,-5.2117,-9.5719,-1.5135,7,Palestine
2018-03-02,-4.4135,-8.5656,-0.2796,7,Palestine
2018-03-03,-5.8879,-8.6668,-0.3172,7,Palestine
2018-03-04,-5.1854,-8.5003,-0.7938,0,Palestine
2018-03-05,-4.9354,-6.4726,0.6031,7,Palestine
2018-03-06,-3.3706,-5.4412,1.4559,7,Palestine
2018-03-07,-3.4035,-5.4120,1.7361,7,Palestine
2018-03-08,-1.0536,-3.9277,2.4494,7,Palestine
2018-03-09,-0.3675,-3.2842,3.2844,7,Palestine
2018-03-10,1.3199,-4.8459,3.8947,7,Palestine
2018-03-11,2.7643,-3.2264,4.2648,7,Palestine
2018-03-12,2.3768,-2.7048,5.1112,7,Palestine
2018-03-13,1.5720,-2.4193,5.4856,7,Palestine
2018-03-14,0.8449,-3.4280,6.0416,7,Palestine
2018-03-15,1.7745,-3.2056,6.1871,7,Palestine
2018-03-16,1.6845,-3.5019,8.1251,7,Palestine
2018-03-17,0.0941,-4.1440,7.9698,7,Palestine
2018-03-18,1.8621,-2.9583,9.6095,7,Palestine
2018-03-19,2.5750,-1.6615,8.6373,7,Palestine
2018-03-20,1.3636,-2.4328,5.8208,7,Palestine
2018-03-21,0.1677,-2.8212,5.4447,7,Palestine
2018-03-22,0.7751,-2.8048,3.3513,7,Palestine
2018-03-23,1.4196,-2.2344,3.6839,7,Palestine
2018-03-24,0.0453,-3.9131,2.4947,7,Palestine
2018-03-25,1.0678,-4.0954,1.9378,7,Palestine
2018-03-26,0.3937,-3.8076,1.7196,7,Palestine
2018-03-27,0.6105,-2.0565,2.3289,7,Palestine
2018-03-28,0.6627,-1.8881,2.2332,7,Palestine
2018-03-29,1.0989,-1.7343,3.0133,7,Palestine
2018-03-30,0.8369,-2.6957,2.4819,7,Palestine
2018-03-31,-0.6344,-5.6952,0.4440,7,Palestine
2018-04-01,-0.1399,-4.1864,0.8708,7,Palestine
2018-04-02,-2.3634,-5.2878,-0.0136,7,Palestine
2018-04-03,-3.0564,-5.4002,-0.1058,7,Palestine
2018-04-04,-2.8338,-6.2412,-0.3101,0,Palestine
2018-04-05,-3.0558,-7.0280,-2.0142,7,Palestine
2018-04-06,-5.0632,-8.9906,-3.5836,7,Palestine
2018-04-07,-6.6360,-11.3163,-5.4011,7,Palestine
2018-04-08,-6.3374,-11.3337,-4.4691,7,Palestine
2018-04-09,-5.0250,-10.1140,-4.0090,7,Palestine
2018-04-10,-6.1416,-10.4447,-3.4337,7,Palestine
2018-04-11,-6.5954,-10.4723,-2.4536,7,Palestine
2018-04-12,-6.7824,-12.4407,-3.9488,7,Palestine
2018-04-13,-5.2242,-8.4798,-3.4456,7,Palestine
2018-04-14,-6.6911,-9.3218,-2.3033,7,Palestine
2018-04-15,-8.2942,-10.6739,-3.8768,7,Palestine
2018-04-16,-9.2559,-11.4155,-5.3795,7,Palestine
2018-04-17,-8.5932,-10.6021,-5.1465,7,Palestine
2018-04-18,-5.4312,-10.8722,-2.7718,7,Palestine
2018-04-19,-7.7271,-10.5473,-3.8020,7,Palestine
2018-04-20,-8.2903,-10.7134,-3.5148,7,Palestine
2018-04-21,-10.3561,-13.3103,-6.6774,7,Palestine
2018-04-22,-8.4577,-13.3050,-4.4857,7,Palestine
2018-04-23,-9.5436,-12.4866,-2.8302,7,Palestine
2018-04-24,-7.5003,-11.3155,-1.6552,7,Palestine
2018-04-25,-4.6042,-10.2216,-1.4215,7,Palestine
2018-04-26,-2.3198,-7.1756,0.9494,7,Palestine
2018-04-27,-2.0005,-5.5499,1.6932,7,Palestine
2018-04-28,-3.0675,-5.9205,1.2428,7,Palestine
2018-04-29,-1.8290,-4.7367,2.8662,7,Palestine
2018-04-30,-2.1662,-4.7212,2.1461,7,Palestine
2018-05-01,-2.2166,-7.4979,3.8880,7,Palestine
2018-05-02,-4.7339,-6.2294,6.6242,7,Palestine
2018-05-03,-3.5933,-5.2127,4.2896,7,Palestine
2018-05-04,-1.2411,-6.6761,6.4875,7,Palestine
2018-05-05,-1.6339,-7.6561,4.9375,7,Palestine
2018-05-06,0.1636,-6.6069,6.2690,7,Palestine
2018-05-07,-0.8910,-7.9706,6.7345,7,Palestine
2018-05-08,-2.0453,-8.4549,5.7908,7,Palestine
2018-05-09,2.1947,-6.8193,8.3827,7,Palestine
2018-05-10,2.9819,-4.6196,12.1354,7,Palestine
2018-05-11,3.9848,-4.4702,12.2957,7,Palestine
2018-05-12,2.1609,-5.0964,11.2460,7,Palestine
2018-05-13,1.8506,-4.4388,10.4966,7,Palestine
2018-05-14,1.6282,-4.8287,8.6680,7,Palestine
2018-05-15,1.9837,-4.1747,6.7696,7,Palestine
2018-05-16,1.1923,-4.0019,6.4530,7,Palestine
2018-05-17,1.5587,-2.5427,6.8356,7,Palestine
2018-05-18,2.1688,-1.5882,7.7023,7,Palestine
2018-05-19,-0.2100,-3.1896,6.7185,7,Palestine
2018-05-20,-1.6393,-4.7887,4.8834,7,Palestine
2018-05-21,0.6641,-2.9204,7.0335,7,Palestine
2018-05-22,1.6375,-1.1748,9.3064,7,Palestine
2018-05-23,-0.0085,-1.0669,8.1857,7,Palestine
2018-05-24,1.1805,-2.6244,5.5702,7,Palestine
2018-05-25,2.1565,-0.6666,5.3567,7,Palestine
2018-05-26,-0.3969,-1.1288,4.2288,7,Palestine
2018-05-27,0.7793,-1.8358,2.6018,7,Palestine
2018-05-28,0.2037,-2.5283,2.2248,7,Palestine
2018-05-29,0.1345,-3.1402,1.7248,7,Palestine
2018-05-30,-1.4536,-4.3570,2.7248,7,Palestine
2018-05-31,-1.9785,-3.8023,3.0144,7,Palestine
2018-06-01,-0.9242,-3.6811,5.2903,7,Palestine
2018-06-02,-4.2454,-4.8718,3.4998,7,Palestine
2018-06-03,-4.6106,-6.5975,2.6719,7,Palestine
2018-06-04,-5.5052,-7.3579,1.2079,7,Palestine
2018-06-05,-5.3002,-8.5864,2.1728,7,Palestine
2018-06-06,-4.2213,-8.3367,1.2975,7,Palestine
2018-06-07,-2.7604,-7.4951,1.3715,7,Palestine
2018-06-08,-1.1973,-6.2709,1.8305,7,Palestine
2018-06-09,-1.1780,-5.0272,1.6406,7,Palestine
2018-06-10,-1.4465,-6.7897,2.2596,7,Palestine
2018-06-11,-3.2585,-4.8123,0.5634,7,Palestine
2018-06-12,-3.4867,-4.3591,2.4450,7,Palestine
2018-06-13,-3.6746,-5.7723,1.7890,7,Palestine
2018-06-14,-5.2064,-7.2446,2.9582,7,Palestine
2018-06-15,-4.2909,-5.9607,3.4835,7,Palestine
2018-06-16,-5.5042,-7.6294,4.4563,7,Palestine
2018-06-17,-3.8591,-7.1735,7.3685,7,Palestine
2018-06-18,-3.3617,-7.5380,6.3964,7,Palestine
2018-06-19,-4.2141,-7.3347,5.9012,7,Palestine
