YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-04-25,-42.4358,-45.4823,-39.3894,2,Poland
2018-04-26,-8.6030,-9.3088,-7.8973,2,Poland
2018-04-27,-6.4073,-11.7489,-1.0658,2,Poland
2018-04-28,-1.1275,-5.0257,2.7707,2,Poland
2018-04-29,-2.7254,-4.5681,-0.8827,2,Poland
2018-04-30,-3.9423,-5.4123,-2.4723,2,Poland
2018-05-01,-7.5494,-7.9778,-7.1210,2,Poland
2018-05-02,-8.0211,-9.3380,-6.7042,2,Poland
2018-05-03,-8.2934,-10.3023,-6.2845,2,Poland
2018-05-04,-10.0429,-11.6828,-8.4031,2,Poland
2018-05-05,-10.3319,-11.8521,-8.8118,2,Poland
2018-05-06,-9.3165,-11.0739,-7.5591,2,Poland
2018-05-07,-7.5588,-9.1871,-5.9304,2,Poland
2018-05-08,-6.3256,-7.3588,-5.2923,2,Poland
2018-05-09,-5.5810,-6.4656,-4.6965,2,Poland
2018-05-10,-4.8647,-6.7572,-2.9722,2,Poland
2018-05-11,-3.2783,-5.4878,-1.0687,2,Poland
2018-05-12,-1.6934,-3.6118,0.2249,2,Poland
2018-05-13,-0.4205,-1.0961,0.2550,2,Poland
2018-05-14,-0.6527,-0.9028,-0.4025,2,Poland
2018-05-15,1.8552,1.4988,2.2116,2,Poland
2018-05-16,0.5728,0.5092,0.6363,2,Poland
2018-05-17,-0.0813,-1.1346,0.9719,2,Poland
2018-05-18,-1.5236,-2.3897,-0.6576,2,Poland
2018-05-19,-1.4779,-1.7688,-1.1870,2,Poland
2018-05-20,-0.9077,-1.1525,-0.6629,2,Poland
2018-05-21,0.4753,-0.1371,1.0877,2,Poland
2018-05-22,2.7512,2.3391,3.1633,2,Poland
2018-05-23,3.5000,2.9368,4.0632,2,Poland
2018-05-24,4.4438,4.4168,4.4708,2,Poland
2018-05-25,5.3880,4.8360,5.9401,2,Poland
2018-05-26,6.0669,4.8328,7.3009,2,Poland
2018-05-27,5.4161,4.8525,5.9797,2,Poland
2018-05-28,4.5960,4.3932,4.7987,2,Poland
2018-05-29,4.8217,4.0709,5.5724,2,Poland
2018-05-30,5.0758,2.3504,7.8012,2,Poland
2018-05-31,3.5548,0.2408,6.8689,2,Poland
2018-06-01,3.2276,-0.0278,6.4831,2,Poland
2018-06-02,2.5225,0.2850,4.7601,2,Poland
2018-06-03,2.3483,0.5510,4.1457,2,Poland
