YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-2.4070,-35.8901,29.6581,18,Portugal
2018-01-02,-0.3163,-33.1791,23.1352,22,Portugal
2018-01-03,2.6319,-33.7355,23.2544,27,Portugal
2018-01-04,0.6338,-36.6294,12.9505,23,Portugal
2018-01-05,-0.4474,-42.0688,9.8273,23,Portugal
2018-01-06,-0.4474,-42.0688,9.8273,1,Portugal
2018-01-07,-4.4892,-38.6722,6.0393,24,Portugal
2018-01-08,-4.5621,-36.0781,5.4080,27,Portugal
2018-01-09,-3.2577,-35.9539,13.5833,28,Portugal
2018-01-10,-1.0100,-23.6923,12.3416,29,Portugal
2018-01-11,2.1020,-31.5464,13.3832,30,Portugal
2018-01-12,1.4394,-31.5464,11.4268,25,Portugal
2018-01-13,1.4394,-31.5464,11.4268,0,Portugal
2018-01-14,4.1216,-24.6752,12.0593,27,Portugal
2018-01-15,3.3345,-21.8879,11.2904,29,Portugal
2018-01-16,3.2664,-17.0399,11.0934,28,Portugal
2018-01-17,1.7408,-15.8854,9.1491,27,Portugal
2018-01-18,1.9098,-18.8580,9.2087,31,Portugal
2018-01-19,-0.4604,-19.9775,6.3923,26,Portugal
2018-01-20,-0.4604,-19.9775,6.3923,0,Portugal
2018-01-21,-1.1826,-22.6844,6.2135,29,Portugal
2018-01-22,-1.8828,-18.3712,6.8092,31,Portugal
2018-01-23,-2.7491,-26.2205,8.7571,32,Portugal
2018-01-24,-3.5316,-27.1514,7.5276,31,Portugal
2018-01-25,-1.2919,-27.6273,5.8497,30,Portugal
2018-01-26,-1.6286,-14.8339,8.6257,31,Portugal
2018-01-27,-0.8634,-14.8339,8.6257,0,Portugal
2018-01-28,-2.0405,-13.2887,7.9642,30,Portugal
2018-01-29,-2.8816,-15.3017,7.3364,33,Portugal
2018-01-30,-4.7511,-16.1101,5.4061,33,Portugal
2018-01-31,-4.7880,-15.7208,5.8740,34,Portugal
2018-02-01,-5.5331,-16.3696,8.1581,23,Portugal
2018-02-02,-5.5331,-16.3696,7.2911,8,Portugal
2018-02-03,-7.2203,-17.6665,7.4894,0,Portugal
2018-02-04,-7.5332,-18.6046,7.0207,0,Portugal
2018-02-05,-8.3935,-21.1571,4.0876,6,Portugal
2018-02-06,-7.5698,-21.7511,3.6798,34,Portugal
2018-02-07,-8.3112,-21.1173,4.3723,34,Portugal
2018-02-08,-5.8290,-17.4028,12.0976,35,Portugal
2018-02-09,-5.6828,-17.8215,11.2224,29,Portugal
2018-02-10,-5.5745,-17.4423,10.6964,0,Portugal
2018-02-11,-5.0318,-17.4062,10.8723,20,Portugal
2018-02-12,-7.7538,-18.3341,15.1038,21,Portugal
2018-02-13,-5.9023,-18.3974,12.8646,11,Portugal
2018-02-14,-8.8687,-18.2634,8.5533,31,Portugal
2018-02-15,-10.4506,-20.0172,7.2148,32,Portugal
2018-02-16,-10.4506,-20.7190,7.2119,29,Portugal
2018-02-17,-10.5694,-20.2269,9.1748,0,Portugal
2018-02-18,-10.1765,-19.7644,10.7031,21,Portugal
2018-02-19,-8.6878,-19.2246,10.5076,34,Portugal
2018-02-20,-8.1147,-19.0447,10.6895,33,Portugal
2018-02-21,-8.3493,-18.4656,7.4684,33,Portugal
2018-02-22,-8.3407,-20.1735,9.2455,34,Portugal
2018-02-23,-9.3137,-20.5111,7.1725,30,Portugal
2018-02-24,-9.3137,-20.5111,7.1725,1,Portugal
2018-02-25,-7.5780,-19.6068,8.2268,22,Portugal
2018-02-26,-5.9246,-17.6187,5.5693,34,Portugal
2018-02-27,-5.9916,-16.3179,7.3231,30,Portugal
2018-02-28,-6.5221,-17.5914,2.2365,1,Portugal
2018-03-01,-6.6832,-19.3173,3.2323,31,Portugal
2018-03-02,-6.7546,-20.2561,4.2911,20,Portugal
2018-03-03,-7.0691,-21.2073,4.2911,3,Portugal
2018-03-04,-5.6998,-19.8030,5.6381,0,Portugal
2018-03-05,-5.5965,-19.1528,9.3399,29,Portugal
2018-03-06,-4.2989,-15.3642,12.0844,32,Portugal
2018-03-07,-2.0941,-13.7109,19.0618,34,Portugal
2018-03-08,-0.9875,-13.4096,11.4758,33,Portugal
2018-03-09,-2.6789,-12.6468,11.4758,29,Portugal
2018-03-10,-2.4047,-12.7347,11.4758,4,Portugal
2018-03-11,-4.1244,-14.2324,17.4746,23,Portugal
2018-03-12,-4.3440,-15.0395,11.7647,33,Portugal
2018-03-13,-6.5924,-16.6195,11.4044,33,Portugal
2018-03-14,-6.8710,-15.5268,14.0693,26,Portugal
2018-03-15,-5.2087,-14.2951,12.1026,32,Portugal
2018-03-16,-4.6910,-13.4378,11.9258,32,Portugal
2018-03-17,-6.3713,-13.4698,12.2949,1,Portugal
2018-03-18,-5.2211,-15.1595,13.7885,29,Portugal
2018-03-19,-5.7598,-13.8511,13.5205,27,Portugal
2018-03-20,-7.0284,-14.8768,11.1717,32,Portugal
2018-03-21,-5.8404,-14.8865,13.4454,1,Portugal
2018-03-22,-4.9372,-15.5556,9.8445,32,Portugal
2018-03-23,-5.7196,-17.0658,7.8834,24,Portugal
2018-03-24,-5.1312,-14.0428,7.8834,11,Portugal
2018-03-25,-5.6795,-15.0777,6.9168,14,Portugal
2018-03-26,-8.4536,-17.1205,5.6453,32,Portugal
2018-03-27,-12.3937,-20.3665,5.6680,32,Portugal
2018-03-28,-13.9039,-22.3896,4.0298,34,Portugal
