YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-07-06,-12.1471,-12.1471,-12.1471,1,RepublicofSerbia
2018-07-07,-12.1471,-12.1471,-12.1471,0,RepublicofSerbia
2018-07-08,-12.1471,-12.1471,-12.1471,0,RepublicofSerbia
2018-07-09,-12.1471,-12.1471,-12.1471,0,RepublicofSerbia
2018-07-10,8.0034,8.0034,8.0034,1,RepublicofSerbia
2018-07-11,5.1578,5.1578,5.1578,1,RepublicofSerbia
2018-07-12,-3.8893,-3.8893,-3.8893,1,RepublicofSerbia
2018-07-13,-7.2640,-7.2640,-7.2640,1,RepublicofSerbia
2018-07-14,-8.5536,-8.5536,-8.5536,1,RepublicofSerbia
2018-07-15,-9.7212,-9.7212,-9.7212,1,RepublicofSerbia
2018-07-16,-9.6594,-9.6594,-9.6594,1,RepublicofSerbia
2018-07-17,-5.5414,-5.5414,-5.5414,1,RepublicofSerbia
2018-07-18,-2.4354,-2.4354,-2.4354,1,RepublicofSerbia
2018-07-19,-2.4354,-2.4354,-2.4354,0,RepublicofSerbia
2018-07-20,-1.9941,-1.9941,-1.9941,1,RepublicofSerbia
2018-07-21,0.2559,0.2559,0.2559,1,RepublicofSerbia
2018-07-22,-0.6087,-0.6087,-0.6087,1,RepublicofSerbia
2018-07-23,-2.5549,-2.5549,-2.5549,1,RepublicofSerbia
2018-07-24,-2.0602,-2.0602,-2.0602,1,RepublicofSerbia
2018-07-25,-2.0602,-2.0602,-2.0602,0,RepublicofSerbia
2018-07-26,-2.2484,-2.2484,-2.2484,1,RepublicofSerbia
2018-07-27,-2.2484,-2.2484,-2.2484,0,RepublicofSerbia
2018-07-28,-2.2484,-2.2484,-2.2484,0,RepublicofSerbia
2018-07-29,-3.8913,-3.8913,-3.8913,1,RepublicofSerbia
2018-07-30,-6.4153,-6.4153,-6.4153,1,RepublicofSerbia
2018-07-31,-8.0756,-8.0756,-8.0756,1,RepublicofSerbia
2018-08-01,-6.3007,-6.3007,-6.3007,1,RepublicofSerbia
2018-08-02,-6.2314,-6.2314,-6.2314,1,RepublicofSerbia
2018-08-03,-7.1264,-7.1264,-7.1264,1,RepublicofSerbia
2018-08-04,-6.1445,-6.1445,-6.1445,1,RepublicofSerbia
2018-08-05,-5.4625,-5.4625,-5.4625,1,RepublicofSerbia
2018-08-06,-7.1311,-7.1311,-7.1311,1,RepublicofSerbia
2018-08-07,-8.7006,-8.7006,-8.7006,1,RepublicofSerbia
2018-08-08,-7.1629,-7.1629,-7.1629,1,RepublicofSerbia
2018-08-09,-7.9375,-7.9375,-7.9375,1,RepublicofSerbia
2018-08-10,-9.7908,-9.7908,-9.7908,1,RepublicofSerbia
2018-08-11,-9.4808,-9.4808,-9.4808,1,RepublicofSerbia
2018-08-12,-8.4893,-8.4893,-8.4893,1,RepublicofSerbia
2018-08-13,-8.6364,-8.6364,-8.6364,1,RepublicofSerbia
2018-08-14,-8.5507,-8.5507,-8.5507,1,RepublicofSerbia
2018-08-15,-7.7867,-7.7867,-7.7867,1,RepublicofSerbia
2018-08-16,-6.4569,-6.4569,-6.4569,1,RepublicofSerbia
2018-08-17,-5.7053,-5.7053,-5.7053,1,RepublicofSerbia
2018-08-18,-3.3488,-3.3488,-3.3488,1,RepublicofSerbia
2018-08-19,-2.8882,-2.8882,-2.8882,1,RepublicofSerbia
2018-08-20,-1.2729,-1.2729,-1.2729,1,RepublicofSerbia
2018-08-21,-0.2660,-0.2660,-0.2660,1,RepublicofSerbia
2018-08-22,1.5314,1.5314,1.5314,1,RepublicofSerbia
2018-08-23,2.2148,2.2148,2.2148,1,RepublicofSerbia
2018-08-24,3.4843,3.4843,3.4843,1,RepublicofSerbia
2018-08-25,2.9101,2.9101,2.9101,1,RepublicofSerbia
2018-08-26,1.2487,1.2487,1.2487,1,RepublicofSerbia
2018-08-27,0.9435,0.9435,0.9435,1,RepublicofSerbia
2018-08-28,-0.0145,-0.0145,-0.0145,1,RepublicofSerbia
2018-08-29,1.3761,1.3761,1.3761,1,RepublicofSerbia
2018-08-30,2.4248,2.4248,2.4248,1,RepublicofSerbia
2018-08-31,2.7921,2.7921,2.7921,1,RepublicofSerbia
2018-09-01,5.7228,5.7228,5.7228,1,RepublicofSerbia
2018-09-02,6.0799,6.0799,6.0799,1,RepublicofSerbia
2018-09-03,6.7395,6.7395,6.7395,1,RepublicofSerbia
2018-09-04,6.5692,6.5692,6.5692,1,RepublicofSerbia
2018-09-05,5.0460,5.0460,5.0460,1,RepublicofSerbia
2018-09-06,5.2656,5.2656,5.2656,1,RepublicofSerbia
2018-09-07,5.3338,5.3338,5.3338,1,RepublicofSerbia
2018-09-08,6.7410,6.7410,6.7410,1,RepublicofSerbia
2018-09-09,6.3421,6.3421,6.3421,1,RepublicofSerbia
2018-09-10,5.4767,5.4767,5.4767,1,RepublicofSerbia
2018-09-11,5.3063,5.3063,5.3063,1,RepublicofSerbia
2018-09-12,7.2006,7.2006,7.2006,1,RepublicofSerbia
2018-09-13,7.8673,7.8673,7.8673,1,RepublicofSerbia
2018-09-14,8.9821,8.9821,8.9821,1,RepublicofSerbia
2018-09-15,10.6825,10.6825,10.6825,1,RepublicofSerbia
2018-09-16,11.1054,11.1054,11.1054,1,RepublicofSerbia
2018-09-17,10.2251,10.2251,10.2251,1,RepublicofSerbia
2018-09-18,8.9838,8.9838,8.9838,1,RepublicofSerbia
2018-09-19,7.8698,7.8698,7.8698,1,RepublicofSerbia
2018-09-20,8.2213,8.2213,8.2213,1,RepublicofSerbia
2018-09-21,5.0576,5.0576,5.0576,1,RepublicofSerbia
2018-09-22,4.8234,4.8234,4.8234,0,RepublicofSerbia
2018-09-23,4.7526,4.7526,4.7526,0,RepublicofSerbia
2018-09-24,3.9093,3.9093,3.9093,1,RepublicofSerbia
2018-09-25,4.1866,4.1866,4.1866,1,RepublicofSerbia
2018-09-26,2.8269,2.8269,2.8269,1,RepublicofSerbia
2018-09-27,2.2483,2.2483,2.2483,1,RepublicofSerbia
2018-09-28,1.6755,1.6755,1.6755,1,RepublicofSerbia
2018-09-29,1.9370,1.9370,1.9370,0,RepublicofSerbia
2018-09-30,2.0458,2.0458,2.0458,0,RepublicofSerbia
2018-10-01,0.8208,0.8208,0.8208,1,RepublicofSerbia
2018-10-02,-1.6367,-1.6367,-1.6367,1,RepublicofSerbia
2018-10-03,-4.0919,-4.0919,-4.0919,1,RepublicofSerbia
2018-10-04,-4.5930,-4.5930,-4.5930,1,RepublicofSerbia
2018-10-05,-4.7301,-4.7301,-4.7301,1,RepublicofSerbia
2018-10-06,-5.6080,-5.6080,-5.6080,1,RepublicofSerbia
