YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-10-17,-27.4234,-27.4234,-27.4234,1,Russia
2018-10-18,-3.1497,-3.1497,-3.1497,1,Russia
2018-10-19,5.9449,5.9449,5.9449,1,Russia
2018-10-20,3.4840,3.4840,3.4840,1,Russia
2018-10-21,2.2967,2.2967,2.2967,1,Russia
2018-10-22,2.2906,2.2906,2.2906,1,Russia
2018-10-23,0.2874,0.2874,0.2874,1,Russia
2018-10-24,-2.0109,-2.0109,-2.0109,1,Russia
2018-10-25,-1.1749,-1.1749,-1.1749,1,Russia
2018-10-26,-4.9342,-4.9342,-4.9342,1,Russia
2018-10-27,-6.1979,-6.1979,-6.1979,1,Russia
2018-10-28,-6.1979,-6.1979,-6.1979,0,Russia
2018-10-29,-8.4594,-8.4594,-8.4594,1,Russia
2018-10-30,-9.4999,-9.4999,-9.4999,1,Russia
2018-10-31,-7.5857,-7.5857,-7.5857,1,Russia
2018-11-01,-6.4570,-6.4570,-6.4570,1,Russia
2018-11-02,-6.9545,-6.9545,-6.9545,1,Russia
2018-11-03,-6.8241,-6.8241,-6.8241,1,Russia
2018-11-04,-6.8241,-6.8241,-6.8241,0,Russia
2018-11-05,-6.8241,-6.8241,-6.8241,0,Russia
2018-11-06,-5.5367,-5.5367,-5.5367,0,Russia
2018-11-07,-7.7892,-7.7892,-7.7892,1,Russia
2018-11-08,-9.0767,-9.0767,-9.0767,1,Russia
2018-11-09,-10.1976,-10.1976,-10.1976,1,Russia
2018-11-10,-12.0870,-12.0870,-12.0870,1,Russia
2018-11-11,-13.5849,-13.5849,-13.5849,1,Russia
2018-11-12,-13.7448,-13.7448,-13.7448,1,Russia
2018-11-13,-13.0929,-13.0929,-13.0929,1,Russia
2018-11-14,-13.5766,-13.5766,-13.5766,1,Russia
2018-11-15,-11.0664,-11.0664,-11.0664,1,Russia
2018-11-16,-10.7190,-10.7190,-10.7190,1,Russia
2018-11-17,-9.4074,-9.4074,-9.4074,1,Russia
2018-11-18,-6.8773,-6.8773,-6.8773,1,Russia
2018-11-19,-6.6020,-6.6020,-6.6020,1,Russia
2018-11-20,-5.1698,-5.1698,-5.1698,1,Russia
2018-11-21,-3.4117,-3.4117,-3.4117,1,Russia
2018-11-22,-2.7240,-2.7240,-2.7240,0,Russia
2018-11-23,-1.5328,-1.5328,-1.5328,1,Russia
2018-11-24,2.0848,2.0848,2.0848,1,Russia
2018-11-25,2.0848,2.0848,2.0848,0,Russia
2018-11-26,2.0848,2.0848,2.0848,0,Russia
2018-11-27,3.6448,3.6448,3.6448,1,Russia
2018-11-28,4.9416,4.9416,4.9416,1,Russia
2018-11-29,5.5437,5.5437,5.5437,1,Russia
2018-11-30,7.9328,7.9328,7.9328,0,Russia
2018-12-01,9.9088,9.9088,9.9088,0,Russia
2018-12-02,11.6372,11.6372,11.6372,0,Russia
2018-12-03,13.1223,13.1223,13.1223,0,Russia
2018-12-04,13.3929,13.3929,13.3929,1,Russia
2018-12-05,15.7951,15.7951,15.7951,1,Russia
2018-12-06,17.9673,17.9673,17.9673,1,Russia
2018-12-07,15.2909,15.2909,15.2909,1,Russia
2018-12-08,13.7055,13.7055,13.7055,1,Russia
2018-12-09,14.3425,14.3425,14.3425,1,Russia
2018-12-10,12.0340,12.0340,12.0340,1,Russia
2018-12-11,9.5848,9.5848,9.5848,1,Russia
2018-12-12,7.6454,7.6454,7.6454,1,Russia
2018-12-13,8.4536,8.4536,8.4536,1,Russia
2018-12-14,6.7165,6.7165,6.7165,1,Russia
2018-12-15,7.6145,7.6145,7.6145,1,Russia
2018-12-16,7.1996,7.1996,7.1996,1,Russia
2018-12-17,7.0784,7.0784,7.0784,1,Russia
2018-12-18,5.2765,5.2765,5.2765,1,Russia
2018-12-19,6.3884,6.3884,6.3884,1,Russia
2018-12-20,6.9967,6.9967,6.9967,1,Russia
2018-12-21,8.1440,8.1440,8.1440,1,Russia
2018-12-22,8.4952,8.4952,8.4952,1,Russia
2018-12-23,7.4956,7.4956,7.4956,1,Russia
2018-12-24,9.1185,9.1185,9.1185,1,Russia
2018-12-25,7.5078,7.5078,7.5078,1,Russia
2018-12-26,7.7959,7.7959,7.7959,1,Russia
2018-12-27,7.8179,7.8179,7.8179,1,Russia
2018-12-28,7.3971,7.3971,7.3971,1,Russia
2018-12-29,6.8671,6.8671,6.8671,1,Russia
2018-12-30,4.8692,4.8692,4.8692,1,Russia
2018-12-31,5.2052,5.2052,5.2052,1,Russia
2019-01-01,6.4038,6.4038,6.4038,0,Russia
2019-01-02,3.2643,3.2643,3.2643,1,Russia
2019-01-03,1.7109,1.7109,1.7109,1,Russia
2019-01-04,0.5489,0.5489,0.5489,1,Russia
2019-01-05,2.2614,2.2614,2.2614,1,Russia
2019-01-06,3.1548,3.1548,3.1548,1,Russia
2019-01-07,4.0120,4.0120,4.0120,1,Russia
2019-01-08,3.4480,3.4480,3.4480,1,Russia
2019-01-09,2.3957,2.3957,2.3957,1,Russia
2019-01-10,2.1347,2.1347,2.1347,1,Russia
2019-01-11,1.4149,1.4149,1.4149,1,Russia
2019-01-12,1.9925,1.9925,1.9925,1,Russia
2019-01-13,-0.5775,-0.5775,-0.5775,1,Russia
2019-01-14,3.8169,3.8169,3.8169,1,Russia
2019-01-15,1.5124,1.5124,1.5124,1,Russia
2019-01-16,2.1700,2.1700,2.1700,1,Russia
2019-01-17,3.8061,3.8061,3.8061,1,Russia
2019-01-18,5.1294,5.1294,5.1294,1,Russia
2019-01-19,7.4505,7.4505,7.4505,1,Russia
2019-01-20,8.4325,8.4325,8.4325,1,Russia
2019-01-21,7.8857,7.8857,7.8857,1,Russia
2019-01-22,10.1990,10.1990,10.1990,1,Russia
2019-01-23,9.3669,9.3669,9.3669,1,Russia
2019-01-24,7.9463,7.9463,7.9463,1,Russia
2019-01-25,5.2162,5.2162,5.2162,1,Russia
2019-01-26,6.6108,6.6108,6.6108,1,Russia
2019-01-27,6.0209,6.0209,6.0209,1,Russia
2019-01-28,5.3432,5.3432,5.3432,1,Russia
2019-01-29,7.1262,7.1262,7.1262,1,Russia
2019-01-30,5.3364,5.3364,5.3364,1,Russia
2019-01-31,4.0098,4.0098,4.0098,1,Russia
2019-02-01,3.1357,3.1357,3.1357,1,Russia
2019-02-02,3.0647,3.0647,3.0647,1,Russia
2019-02-03,-0.4152,-0.4152,-0.4152,1,Russia
2019-02-04,-0.0890,-0.0890,-0.0890,1,Russia
2019-02-05,-1.3292,-1.3292,-1.3292,1,Russia
2019-02-06,-3.3657,-3.3657,-3.3657,1,Russia
2019-02-07,-3.2617,-3.2617,-3.2617,1,Russia
2019-02-08,-1.4755,-1.4755,-1.4755,1,Russia
2019-02-09,-3.2319,-3.2319,-3.2319,1,Russia
2019-02-10,-2.8261,-2.8261,-2.8261,1,Russia
2019-02-11,-2.9211,-2.9211,-2.9211,1,Russia
2019-02-12,-0.8560,-0.8560,-0.8560,1,Russia
2019-02-13,0.2007,0.2007,0.2007,1,Russia
2019-02-14,0.9287,0.9287,0.9287,1,Russia
2019-02-15,-2.8788,-2.8788,-2.8788,1,Russia
2019-02-16,-6.2126,-6.2126,-6.2126,1,Russia
2019-02-17,-7.2590,-7.2590,-7.2590,1,Russia
2019-02-18,-9.2962,-9.2962,-9.2962,1,Russia
2019-02-19,-10.9660,-10.9660,-10.9660,1,Russia
2019-02-20,-11.7820,-11.7820,-11.7820,1,Russia
2019-02-21,-11.8499,-11.8499,-11.8499,1,Russia
2019-02-22,-12.1800,-12.1800,-12.1800,1,Russia
2019-02-23,-11.6172,-11.6172,-11.6172,1,Russia
2019-02-24,-12.8871,-12.8871,-12.8871,1,Russia
2019-02-25,-12.3597,-12.3597,-12.3597,1,Russia
2019-02-26,-11.6192,-11.6192,-11.6192,1,Russia
2019-02-27,-11.9528,-11.9528,-11.9528,1,Russia
2019-02-28,-13.7077,-13.7077,-13.7077,1,Russia
2019-03-01,-13.4895,-13.4895,-13.4895,1,Russia
2019-03-02,-13.8263,-13.8263,-13.8263,1,Russia
2019-03-03,-9.4925,-9.4925,-9.4925,1,Russia
2019-03-04,-10.3184,-10.3184,-10.3184,1,Russia
2019-03-05,-10.8681,-10.8681,-10.8681,1,Russia
2019-03-06,-10.2140,-10.2140,-10.2140,1,Russia
2019-03-07,-9.7731,-9.7731,-9.7731,1,Russia
2019-03-08,-7.9078,-7.9078,-7.9078,1,Russia
2019-03-09,-5.5204,-5.5204,-5.5204,1,Russia
2019-03-10,-3.7697,-3.7697,-3.7697,1,Russia
2019-03-11,-0.9974,-0.9974,-0.9974,1,Russia
2019-03-12,-0.7732,-0.7732,-0.7732,1,Russia
2019-03-13,-1.5530,-1.5530,-1.5530,1,Russia
2019-03-14,-1.8617,-1.8617,-1.8617,1,Russia
2019-03-15,-3.1421,-3.1421,-3.1421,1,Russia
2019-03-16,-1.3922,-1.3922,-1.3922,1,Russia
2019-03-17,0.3976,0.3976,0.3976,1,Russia
2019-03-18,1.8967,1.8967,1.8967,1,Russia
2019-03-19,2.8877,2.8877,2.8877,1,Russia
2019-03-20,1.4029,1.4029,1.4029,1,Russia
2019-03-21,0.4980,0.4980,0.4980,1,Russia
2019-03-22,2.9962,2.9962,2.9962,1,Russia
2019-03-23,-2.3063,-2.3063,-2.3063,1,Russia
2019-03-24,-2.4925,-2.4925,-2.4925,1,Russia
2019-03-25,-0.7894,-0.7894,-0.7894,1,Russia
2019-03-26,-2.0053,-2.0053,-2.0053,1,Russia
2019-03-27,-1.9417,-1.9417,-1.9417,1,Russia
2019-03-28,-1.3594,-1.3594,-1.3594,1,Russia
2019-03-29,-2.2040,-2.2040,-2.2040,1,Russia
2019-03-30,-2.9190,-2.9190,-2.9190,1,Russia
2019-03-31,-3.9579,-3.9579,-3.9579,1,Russia
2019-04-01,-3.0940,-3.0940,-3.0940,1,Russia
2019-04-02,-0.3720,-0.3720,-0.3720,1,Russia
2019-04-03,0.2990,0.2990,0.2990,1,Russia
2019-04-04,1.3724,1.3724,1.3724,1,Russia
2019-04-05,-0.0048,-0.0048,-0.0048,1,Russia
2019-04-06,-1.4162,-1.4162,-1.4162,1,Russia
2019-04-07,-1.5495,-1.5495,-1.5495,1,Russia
2019-04-08,-3.1583,-3.1583,-3.1583,1,Russia
2019-04-09,-3.7762,-3.7762,-3.7762,1,Russia
2019-04-10,-4.1977,-4.1977,-4.1977,1,Russia
2019-04-11,-6.9015,-6.9015,-6.9015,1,Russia
2019-04-12,-7.3495,-7.3495,-7.3495,1,Russia
2019-04-13,-8.8978,-8.8978,-8.8978,1,Russia
2019-04-14,-10.4764,-10.4764,-10.4764,1,Russia
2019-04-15,-10.0890,-10.0890,-10.0890,1,Russia
2019-04-16,-10.3208,-10.3208,-10.3208,1,Russia
2019-04-17,-7.0837,-7.0837,-7.0837,1,Russia
2019-04-18,-7.0277,-7.0277,-7.0277,0,Russia
2019-04-19,-8.8587,-8.8587,-8.8587,1,Russia
2019-04-20,-8.2332,-8.2332,-8.2332,1,Russia
2019-04-21,-7.4842,-7.4842,-7.4842,1,Russia
2019-04-22,-7.8415,-7.8415,-7.8415,1,Russia
2019-04-23,-5.4936,-5.4936,-5.4936,1,Russia
2019-04-24,-6.1530,-6.1530,-6.1530,1,Russia
2019-04-25,-5.7306,-5.7306,-5.7306,1,Russia
2019-04-26,-4.6934,-4.6934,-4.6934,1,Russia
2019-04-27,-3.8955,-3.8955,-3.8955,1,Russia
2019-04-28,-2.8683,-2.8683,-2.8683,1,Russia
2019-04-29,-1.7316,-1.7316,-1.7316,1,Russia
2019-04-30,0.4225,0.4225,0.4225,1,Russia
2019-05-01,0.6915,0.6915,0.6915,1,Russia
2019-05-02,2.3271,2.3271,2.3271,1,Russia
2019-05-03,2.3858,2.3858,2.3858,1,Russia
2019-05-04,2.2689,2.2689,2.2689,1,Russia
2019-05-05,0.9581,0.9581,0.9581,1,Russia
2019-05-06,3.0469,3.0469,3.0469,1,Russia
2019-05-07,-0.0810,-0.0810,-0.0810,1,Russia
2019-05-08,-0.7348,-0.7348,-0.7348,1,Russia
2019-05-09,-1.0677,-1.0677,-1.0677,1,Russia
2019-05-10,-3.0240,-3.0240,-3.0240,1,Russia
2019-05-11,-2.9677,-2.9677,-2.9677,1,Russia
2019-05-12,-3.5857,-3.5857,-3.5857,1,Russia
2019-05-13,-4.8928,-4.8928,-4.8928,1,Russia
2019-05-14,-6.1578,-6.1578,-6.1578,1,Russia
2019-05-15,-5.7285,-5.7285,-5.7285,1,Russia
2019-05-16,-5.6916,-5.6916,-5.6916,1,Russia
2019-05-17,-8.5928,-8.5928,-8.5928,1,Russia
2019-05-18,-9.4855,-9.4855,-9.4855,1,Russia
2019-05-19,-8.9583,-8.9583,-8.9583,1,Russia
2019-05-20,-9.9469,-9.9469,-9.9469,1,Russia
2019-05-21,-10.4761,-10.4761,-10.4761,1,Russia
2019-05-22,-11.4739,-11.4739,-11.4739,1,Russia
2019-05-23,-10.3648,-10.3648,-10.3648,1,Russia
2019-05-24,-9.9937,-9.9937,-9.9937,1,Russia
2019-05-25,-8.3567,-8.3567,-8.3567,1,Russia
2019-05-26,-8.1667,-8.1667,-8.1667,1,Russia
2019-05-27,-6.8633,-6.8633,-6.8633,1,Russia
2019-05-28,-6.3776,-6.3776,-6.3776,1,Russia
2019-05-29,-3.3268,-3.3268,-3.3268,1,Russia
2019-05-30,-2.1440,-2.1440,-2.1440,1,Russia
2019-05-31,-2.8501,-2.8501,-2.8501,1,Russia
2019-06-01,-4.7773,-4.7773,-4.7773,1,Russia
2019-06-02,-3.9534,-3.9534,-3.9534,1,Russia
2019-06-03,-3.8396,-3.8396,-3.8396,1,Russia
2019-06-04,-2.8894,-2.8894,-2.8894,1,Russia
2019-06-05,-4.7929,-4.7929,-4.7929,1,Russia
2019-06-06,-4.1393,-4.1393,-4.1393,1,Russia
2019-06-07,-4.3392,-4.3392,-4.3392,1,Russia
2019-06-08,-3.9913,-3.9913,-3.9913,1,Russia
2019-06-09,-3.1109,-3.1109,-3.1109,1,Russia
2019-06-10,-3.0453,-3.0453,-3.0453,1,Russia
2019-06-11,-3.1876,-3.1876,-3.1876,1,Russia
2019-06-12,-1.9789,-1.9789,-1.9789,1,Russia
