YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,64.6382,64.6382,64.6382,1,SanMarino
2018-01-02,5.0279,5.0279,5.0279,1,SanMarino
2018-01-03,2.2274,2.2274,2.2274,1,SanMarino
2018-01-04,2.2274,2.2274,2.2274,0,SanMarino
2018-01-05,2.2274,2.2274,2.2274,0,SanMarino
2018-01-06,2.2274,2.2274,2.2274,0,SanMarino
2018-01-07,4.0951,4.0951,4.0951,1,SanMarino
2018-01-08,3.2883,3.2883,3.2883,1,SanMarino
2018-01-09,3.2883,3.2883,3.2883,0,SanMarino
2018-01-10,-3.6094,-3.6094,-3.6094,1,SanMarino
2018-01-11,1.6576,1.6576,1.6576,1,SanMarino
2018-01-12,1.6576,1.6576,1.6576,0,SanMarino
2018-01-13,1.6576,1.6576,1.6576,0,SanMarino
2018-01-14,3.5570,3.5570,3.5570,1,SanMarino
2018-01-15,8.9824,8.9824,8.9824,1,SanMarino
2018-01-16,8.9824,8.9824,8.9824,0,SanMarino
2018-01-17,11.7713,11.7713,11.7713,1,SanMarino
2018-01-18,11.7713,11.7713,11.7713,0,SanMarino
2018-01-19,11.7713,11.7713,11.7713,0,SanMarino
2018-01-20,11.7713,11.7713,11.7713,0,SanMarino
2018-01-21,6.6883,6.6883,6.6883,1,SanMarino
2018-01-22,15.9081,15.9081,15.9081,1,SanMarino
2018-01-23,11.8822,11.8822,11.8822,1,SanMarino
2018-01-24,11.8822,11.8822,11.8822,0,SanMarino
2018-01-25,11.8822,11.8822,11.8822,0,SanMarino
2018-01-26,11.8822,11.8822,11.8822,0,SanMarino
2018-01-27,12.1249,12.1249,12.1249,0,SanMarino
2018-01-28,7.9946,7.9946,7.9946,1,SanMarino
2018-01-29,9.6014,9.6014,9.6014,1,SanMarino
2018-01-30,21.7012,21.7012,21.7012,1,SanMarino
2018-01-31,13.8368,13.8368,13.8368,1,SanMarino
2018-02-01,13.8368,13.8368,13.8368,0,SanMarino
2018-02-02,13.8368,13.8368,13.8368,0,SanMarino
2018-02-03,13.5016,13.5016,13.5016,0,SanMarino
2018-02-04,8.6411,8.6411,8.6411,0,SanMarino
2018-02-05,8.6411,8.6411,8.6411,0,SanMarino
2018-02-06,6.4668,6.4668,6.4668,1,SanMarino
2018-02-07,0.6946,0.6946,0.6946,1,SanMarino
2018-02-08,-2.7032,-2.7032,-2.7032,1,SanMarino
2018-02-09,-2.7032,-2.7032,-2.7032,0,SanMarino
2018-02-10,-4.5379,-4.5379,-4.5379,0,SanMarino
2018-02-11,-11.2315,-11.2315,-11.2315,1,SanMarino
2018-02-12,-0.5362,-0.5362,-0.5362,1,SanMarino
2018-02-13,1.1988,1.1988,1.1988,1,SanMarino
2018-02-14,-1.2132,-1.2132,-1.2132,1,SanMarino
2018-02-15,-1.0640,-1.0640,-1.0640,1,SanMarino
2018-02-16,-1.0640,-1.0640,-1.0640,0,SanMarino
2018-02-17,2.2131,2.2131,2.2131,0,SanMarino
2018-02-18,0.6711,0.6711,0.6711,1,SanMarino
2018-02-19,-7.8658,-7.8658,-7.8658,1,SanMarino
2018-02-20,-5.0995,-5.0995,-5.0995,1,SanMarino
2018-02-21,-3.1711,-3.1711,-3.1711,1,SanMarino
2018-02-22,-4.2652,-4.2652,-4.2652,1,SanMarino
2018-02-23,-4.2652,-4.2652,-4.2652,0,SanMarino
2018-02-24,-4.2652,-4.2652,-4.2652,0,SanMarino
2018-02-25,-4.2652,-4.2652,-4.2652,0,SanMarino
2018-02-26,-6.2437,-6.2437,-6.2437,0,SanMarino
2018-02-27,-2.6765,-2.6765,-2.6765,0,SanMarino
2018-02-28,0.3842,0.3842,0.3842,0,SanMarino
2018-03-01,1.7394,1.7394,1.7394,1,SanMarino
2018-03-02,1.7394,1.7394,1.7394,0,SanMarino
2018-03-03,4.1759,4.1759,4.1759,0,SanMarino
2018-03-04,-1.2072,-1.2072,-1.2072,0,SanMarino
2018-03-05,-4.1888,-4.1888,-4.1888,1,SanMarino
2018-03-06,-7.1641,-7.1641,-7.1641,1,SanMarino
2018-03-07,-8.1317,-8.1317,-8.1317,0,SanMarino
2018-03-08,-9.2637,-9.2637,-9.2637,1,SanMarino
2018-03-09,-9.2637,-9.2637,-9.2637,0,SanMarino
2018-03-10,-11.3093,-11.3093,-11.3093,0,SanMarino
2018-03-11,-11.3527,-11.3527,-11.3527,0,SanMarino
2018-03-12,-10.7523,-10.7523,-10.7523,0,SanMarino
2018-03-13,-16.5109,-16.5109,-16.5109,0,SanMarino
2018-03-14,-7.7972,-7.7972,-7.7972,1,SanMarino
2018-03-15,-7.7972,-7.7972,-7.7972,0,SanMarino
2018-03-16,-7.7972,-7.7972,-7.7972,0,SanMarino
2018-03-17,-7.7972,-7.7972,-7.7972,0,SanMarino
2018-03-18,-7.7972,-7.7972,-7.7972,0,SanMarino
2018-03-19,-7.7972,-7.7972,-7.7972,0,SanMarino
2018-03-20,-7.7972,-7.7972,-7.7972,0,SanMarino
2018-03-21,-14.2370,-14.2370,-14.2370,1,SanMarino
2018-03-22,-10.8098,-10.8098,-10.8098,1,SanMarino
2018-03-23,-10.8098,-10.8098,-10.8098,0,SanMarino
2018-03-24,-10.8098,-10.8098,-10.8098,0,SanMarino
2018-03-25,-13.4426,-13.4426,-13.4426,1,SanMarino
2018-03-26,-12.5270,-12.5270,-12.5270,1,SanMarino
2018-03-27,-12.5270,-12.5270,-12.5270,0,SanMarino
2018-03-28,-2.0909,-2.0909,-2.0909,1,SanMarino
2018-03-29,-2.0909,-2.0909,-2.0909,0,SanMarino
2018-03-30,-2.0909,-2.0909,-2.0909,0,SanMarino
2018-03-31,-2.0909,-2.0909,-2.0909,0,SanMarino
2018-04-01,-2.0909,-2.0909,-2.0909,0,SanMarino
2018-04-02,-2.0909,-2.0909,-2.0909,0,SanMarino
2018-04-03,-7.7439,-7.7439,-7.7439,0,SanMarino
2018-04-04,-7.7439,-7.7439,-7.7439,0,SanMarino
2018-04-05,-7.7439,-7.7439,-7.7439,0,SanMarino
2018-04-06,-7.7439,-7.7439,-7.7439,0,SanMarino
2018-04-07,-7.7439,-7.7439,-7.7439,0,SanMarino
2018-04-08,-10.2102,-10.2102,-10.2102,1,SanMarino
2018-04-09,-12.0803,-12.0803,-12.0803,1,SanMarino
2018-04-10,-11.2757,-11.2757,-11.2757,0,SanMarino
2018-04-11,-19.0806,-19.0806,-19.0806,1,SanMarino
2018-04-12,-19.0806,-19.0806,-19.0806,0,SanMarino
2018-04-13,-19.0806,-19.0806,-19.0806,0,SanMarino
2018-04-14,-17.7333,-17.7333,-17.7333,0,SanMarino
2018-04-15,-10.5124,-10.5124,-10.5124,0,SanMarino
2018-04-16,-10.5124,-10.5124,-10.5124,0,SanMarino
2018-04-17,-28.7822,-28.7822,-28.7822,0,SanMarino
2018-04-18,-28.7822,-28.7822,-28.7822,0,SanMarino
2018-04-19,-31.4323,-31.4323,-31.4323,1,SanMarino
2018-04-20,-31.4323,-31.4323,-31.4323,0,SanMarino
2018-04-21,-31.4323,-31.4323,-31.4323,0,SanMarino
2018-04-22,-30.3515,-30.3515,-30.3515,1,SanMarino
2018-04-23,-30.3515,-30.3515,-30.3515,0,SanMarino
2018-04-24,-30.3515,-30.3515,-30.3515,0,SanMarino
2018-04-25,-25.4277,-25.4277,-25.4277,1,SanMarino
2018-04-26,-25.7027,-25.7027,-25.7027,1,SanMarino
2018-04-27,-25.7027,-25.7027,-25.7027,0,SanMarino
2018-04-28,-26.2295,-26.2295,-26.2295,0,SanMarino
2018-04-29,-26.8152,-26.8152,-26.8152,0,SanMarino
2018-04-30,-26.8152,-26.8152,-26.8152,0,SanMarino
2018-05-01,-23.3931,-23.3931,-23.3931,0,SanMarino
2018-05-02,-23.3931,-23.3931,-23.3931,0,SanMarino
2018-05-03,-21.8760,-21.8760,-21.8760,1,SanMarino
2018-05-04,-21.8760,-21.8760,-21.8760,0,SanMarino
2018-05-05,-21.8760,-21.8760,-21.8760,0,SanMarino
2018-05-06,-21.8760,-21.8760,-21.8760,0,SanMarino
2018-05-07,-21.0936,-21.0936,-21.0936,1,SanMarino
2018-05-08,-18.7473,-18.7473,-18.7473,1,SanMarino
2018-05-09,-16.0215,-16.0215,-16.0215,1,SanMarino
2018-05-10,-18.5688,-18.5688,-18.5688,1,SanMarino
2018-05-11,-18.5688,-18.5688,-18.5688,0,SanMarino
2018-05-12,-17.5031,-17.5031,-17.5031,0,SanMarino
2018-05-13,-17.5031,-17.5031,-17.5031,0,SanMarino
2018-05-14,-17.5031,-17.5031,-17.5031,0,SanMarino
2018-05-15,-20.2855,-20.2855,-20.2855,0,SanMarino
2018-05-16,-18.8720,-18.8720,-18.8720,0,SanMarino
2018-05-17,-18.8720,-18.8720,-18.8720,0,SanMarino
2018-05-18,-18.8720,-18.8720,-18.8720,0,SanMarino
2018-05-19,-18.8720,-18.8720,-18.8720,0,SanMarino
2018-05-20,-18.8720,-18.8720,-18.8720,0,SanMarino
2018-05-21,-18.8720,-18.8720,-18.8720,0,SanMarino
2018-05-22,-18.8720,-18.8720,-18.8720,0,SanMarino
2018-05-23,-19.6382,-19.6382,-19.6382,0,SanMarino
2018-05-24,-19.6382,-19.6382,-19.6382,0,SanMarino
2018-05-25,-19.6382,-19.6382,-19.6382,0,SanMarino
2018-05-26,-19.6382,-19.6382,-19.6382,0,SanMarino
2018-05-27,-16.3663,-16.3663,-16.3663,1,SanMarino
2018-05-28,-18.1348,-18.1348,-18.1348,1,SanMarino
2018-05-29,-8.2955,-8.2955,-8.2955,1,SanMarino
2018-05-30,-8.3417,-8.3417,-8.3417,1,SanMarino
2018-05-31,-7.9292,-7.9292,-7.9292,1,SanMarino
2018-06-01,-7.9292,-7.9292,-7.9292,0,SanMarino
2018-06-02,-7.9292,-7.9292,-7.9292,0,SanMarino
2018-06-03,-7.9292,-7.9292,-7.9292,0,SanMarino
2018-06-04,1.2192,1.2192,1.2192,1,SanMarino
2018-06-05,12.7790,12.7790,12.7790,1,SanMarino
2018-06-06,16.1869,16.1869,16.1869,1,SanMarino
2018-06-07,16.1869,16.1869,16.1869,0,SanMarino
2018-06-08,16.1869,16.1869,16.1869,0,SanMarino
2018-06-09,16.1869,16.1869,16.1869,0,SanMarino
2018-06-10,13.5355,13.5355,13.5355,1,SanMarino
2018-06-11,10.0669,10.0669,10.0669,1,SanMarino
2018-06-12,7.8521,7.8521,7.8521,1,SanMarino
2018-06-13,2.9278,2.9278,2.9278,1,SanMarino
2018-06-14,2.9278,2.9278,2.9278,0,SanMarino
2018-06-15,2.9278,2.9278,2.9278,0,SanMarino
2018-06-16,3.5661,3.5661,3.5661,0,SanMarino
2018-06-17,5.0971,5.0971,5.0971,0,SanMarino
2018-06-18,3.5461,3.5461,3.5461,0,SanMarino
2018-06-19,6.1581,6.1581,6.1581,1,SanMarino
2018-06-20,7.7127,7.7127,7.7127,0,SanMarino
2018-06-21,5.0191,5.0191,5.0191,1,SanMarino
2018-06-22,5.0191,5.0191,5.0191,0,SanMarino
2018-06-23,5.0191,5.0191,5.0191,0,SanMarino
2018-06-24,-0.2237,-0.2237,-0.2237,0,SanMarino
2018-06-25,-11.9896,-11.9896,-11.9896,0,SanMarino
2018-06-26,-23.3130,-23.3130,-23.3130,1,SanMarino
