YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-21.8157,-31.7957,-6.4473,15,Slovakia
2018-01-02,-14.6317,-28.3781,-2.8590,15,Slovakia
2018-01-03,-15.0709,-22.5474,0.8887,15,Slovakia
2018-01-04,-15.9689,-24.3426,3.9684,2,Slovakia
2018-01-05,-11.2657,-23.0042,1.0535,15,Slovakia
2018-01-06,-9.6957,-22.9170,-2.0247,15,Slovakia
2018-01-07,-8.4241,-20.3983,-4.3618,15,Slovakia
2018-01-08,-7.9540,-20.8599,-6.2987,15,Slovakia
2018-01-09,-8.2781,-18.6674,-4.6092,15,Slovakia
2018-01-10,-7.3889,-19.9652,-3.6580,15,Slovakia
2018-01-11,-6.8093,-15.2968,-3.8944,15,Slovakia
2018-01-12,-6.8893,-14.1790,-3.5302,15,Slovakia
2018-01-13,-7.2927,-16.3646,-3.7637,14,Slovakia
2018-01-14,-8.7671,-15.8132,-5.6761,14,Slovakia
2018-01-15,-9.1142,-13.7341,-5.5262,15,Slovakia
2018-01-16,-9.2390,-13.9004,-5.5606,15,Slovakia
2018-01-17,-7.7221,-12.2382,-3.8387,15,Slovakia
2018-01-18,-6.8921,-10.9056,-3.6160,15,Slovakia
2018-01-19,-5.8828,-10.1958,-2.7826,15,Slovakia
2018-01-20,-4.7935,-8.2578,-1.9349,15,Slovakia
2018-01-21,-2.9181,-7.9281,-1.2130,15,Slovakia
2018-01-22,-2.0380,-7.9866,0.9942,15,Slovakia
2018-01-23,-1.1991,-6.0108,2.5684,15,Slovakia
2018-01-24,0.1809,-6.7728,2.5684,1,Slovakia
2018-01-25,0.0653,-5.1758,1.7581,2,Slovakia
2018-01-26,0.7412,-5.4462,2.6267,14,Slovakia
2018-01-27,1.7170,-4.8813,4.1368,14,Slovakia
2018-01-28,1.8706,-3.7340,5.4036,14,Slovakia
2018-01-29,2.7861,-2.5572,6.1828,14,Slovakia
2018-01-30,3.9963,-2.8925,7.2411,14,Slovakia
2018-01-31,4.6644,-1.9875,6.8990,14,Slovakia
2018-02-01,4.4093,-2.4440,8.9537,14,Slovakia
2018-02-02,4.7440,-1.9140,9.5783,14,Slovakia
2018-02-03,7.0356,1.2725,11.3756,4,Slovakia
2018-02-04,7.8227,1.3881,12.7452,0,Slovakia
2018-02-05,7.9491,1.3818,13.9601,3,Slovakia
2018-02-06,6.3445,-0.6510,15.2201,15,Slovakia
2018-02-07,5.9988,-1.0187,14.6365,15,Slovakia
2018-02-08,5.8363,-0.1238,15.7251,15,Slovakia
2018-02-09,6.2212,-0.6321,13.0380,15,Slovakia
2018-02-10,5.6234,-0.3818,13.7650,15,Slovakia
2018-02-11,5.3943,-0.2025,12.0172,15,Slovakia
2018-02-12,5.5163,0.2245,10.8030,15,Slovakia
2018-02-13,5.1749,-0.2756,10.1895,15,Slovakia
2018-02-14,4.1684,-0.0459,10.0316,15,Slovakia
2018-02-15,4.8637,-0.5369,10.9458,15,Slovakia
2018-02-16,2.5786,-0.1314,9.1404,14,Slovakia
2018-02-17,2.8551,-0.8959,8.3962,14,Slovakia
2018-02-18,3.0402,-1.9776,8.5152,14,Slovakia
2018-02-19,1.5062,-3.1740,8.6265,14,Slovakia
2018-02-20,2.9777,-4.0253,9.2493,14,Slovakia
2018-02-21,3.4234,-3.7495,8.7911,14,Slovakia
2018-02-22,3.3421,-5.1398,8.9012,14,Slovakia
2018-02-23,1.0629,-4.7235,7.9104,14,Slovakia
2018-02-24,-0.1447,-5.6635,7.6487,14,Slovakia
2018-02-25,0.7441,-5.5230,8.0671,14,Slovakia
2018-02-26,1.6767,-4.8073,6.0215,14,Slovakia
2018-02-27,0.4539,-5.7306,6.1966,14,Slovakia
2018-02-28,-1.3029,-6.6755,5.7830,15,Slovakia
2018-03-01,-1.7272,-8.3486,5.4370,15,Slovakia
2018-03-02,-1.2733,-9.2753,4.8071,15,Slovakia
2018-03-03,-0.6348,-10.5938,6.3997,15,Slovakia
2018-03-04,-0.0755,-12.0433,6.6981,15,Slovakia
2018-03-05,0.0566,-10.1913,6.8088,15,Slovakia
2018-03-06,1.5217,-8.3846,6.3210,15,Slovakia
2018-03-07,0.0681,-8.3517,7.2320,15,Slovakia
2018-03-08,1.2948,-7.4381,6.6454,14,Slovakia
2018-03-09,1.2473,-6.3879,7.4865,15,Slovakia
2018-03-10,2.1944,-4.3797,8.5671,15,Slovakia
2018-03-11,1.6246,-5.9279,7.9146,15,Slovakia
2018-03-12,1.3095,-6.9154,8.2892,15,Slovakia
2018-03-13,0.2469,-5.9780,8.7502,14,Slovakia
2018-03-14,0.5368,-4.9295,9.5925,14,Slovakia
2018-03-15,1.4161,-4.8017,8.8214,14,Slovakia
2018-03-16,1.8011,-4.3584,10.2072,15,Slovakia
2018-03-17,1.6121,-2.9902,9.8601,14,Slovakia
2018-03-18,0.9117,-4.3423,8.6211,14,Slovakia
2018-03-19,0.4284,-6.8578,8.4373,14,Slovakia
2018-03-20,1.5960,-4.9441,8.1523,14,Slovakia
2018-03-21,1.7428,-3.3305,10.3000,14,Slovakia
2018-03-22,1.5355,-3.3293,11.0374,15,Slovakia
2018-03-23,1.8489,-3.0380,10.6025,14,Slovakia
2018-03-24,3.2490,-3.1459,10.5888,14,Slovakia
2018-03-25,2.0463,-4.4967,10.7119,14,Slovakia
2018-03-26,2.2243,-4.4209,13.2366,14,Slovakia
2018-03-27,2.5043,-5.4795,13.6058,15,Slovakia
2018-03-28,2.1640,-5.7030,13.2371,14,Slovakia
2018-03-29,2.5191,-5.0737,12.8321,15,Slovakia
2018-03-30,0.9888,-7.2821,11.8987,15,Slovakia
2018-03-31,2.0373,-7.8847,11.3060,14,Slovakia
2018-04-01,2.1557,-7.7482,11.2941,15,Slovakia
2018-04-02,0.5179,-10.0391,10.6153,14,Slovakia
2018-04-03,0.7726,-9.7396,9.5802,14,Slovakia
2018-04-04,0.8281,-10.0607,9.3641,0,Slovakia
2018-04-05,0.7921,-11.3526,11.2266,14,Slovakia
2018-04-06,1.4177,-11.6775,12.1101,14,Slovakia
2018-04-07,2.2527,-8.4589,16.4509,15,Slovakia
2018-04-08,2.9214,-7.1528,16.4751,13,Slovakia
2018-04-09,1.8451,-8.2540,14.5425,14,Slovakia
2018-04-10,-0.2135,-7.8851,11.2983,14,Slovakia
2018-04-11,0.3779,-8.5824,10.1411,14,Slovakia
2018-04-12,0.2436,-9.1631,10.5317,14,Slovakia
2018-04-13,-0.0738,-8.6760,10.8593,14,Slovakia
2018-04-14,1.5357,-7.9563,9.1129,13,Slovakia
2018-04-15,-0.0317,-7.7469,8.5018,13,Slovakia
2018-04-16,-1.5773,-7.6643,7.7113,14,Slovakia
2018-04-17,-2.6775,-8.7076,7.3345,14,Slovakia
2018-04-18,-2.8231,-10.0480,7.9731,14,Slovakia
2018-04-19,-1.8736,-9.1029,9.5024,13,Slovakia
2018-04-20,-1.4316,-8.9153,9.1704,13,Slovakia
2018-04-21,-0.9117,-9.0708,7.9053,13,Slovakia
2018-04-22,2.2770,-6.4879,11.2431,14,Slovakia
2018-04-23,4.2691,-6.4487,18.6226,15,Slovakia
2018-04-24,4.0645,-7.5403,15.3984,15,Slovakia
2018-04-25,2.6346,-7.4610,14.6129,14,Slovakia
2018-04-26,2.9479,-7.1304,13.9629,13,Slovakia
2018-04-27,0.8559,-8.2088,11.4797,14,Slovakia
2018-04-28,1.7544,-8.5820,11.5638,14,Slovakia
2018-04-29,1.7544,-9.0705,13.2395,13,Slovakia
2018-04-30,1.7544,-10.3043,13.7450,13,Slovakia
