YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-37.7154,-55.3090,3.3960,15,Switzerland
2018-01-02,-36.1123,-46.1104,11.1880,16,Switzerland
2018-01-03,-26.7881,-35.5698,7.3039,16,Switzerland
2018-01-04,-14.4511,-34.3722,2.3666,17,Switzerland
2018-01-05,-16.7059,-32.4628,3.2098,18,Switzerland
2018-01-06,-14.6570,-31.9069,0.5678,18,Switzerland
2018-01-07,-13.4802,-26.7394,1.1633,18,Switzerland
2018-01-08,-14.1903,-23.8168,1.6857,17,Switzerland
2018-01-09,-12.0310,-20.4757,2.0741,18,Switzerland
2018-01-10,-10.2276,-17.6565,1.3050,18,Switzerland
2018-01-11,-8.1105,-14.3861,0.0789,18,Switzerland
2018-01-12,-5.4250,-12.1775,0.7442,18,Switzerland
2018-01-13,-4.7265,-11.1085,4.1339,18,Switzerland
2018-01-14,-4.2486,-9.8420,5.1360,18,Switzerland
2018-01-15,-4.3318,-9.6068,1.0396,18,Switzerland
2018-01-16,-4.7010,-9.1470,0.9311,18,Switzerland
2018-01-17,-3.7809,-8.7792,1.0173,16,Switzerland
2018-01-18,-3.9066,-9.0076,2.2060,17,Switzerland
2018-01-19,-3.9307,-7.3213,1.4383,18,Switzerland
2018-01-20,-4.3608,-8.1512,1.1941,18,Switzerland
2018-01-21,-4.4592,-7.1011,2.7502,18,Switzerland
2018-01-22,-3.0570,-6.0882,3.3712,17,Switzerland
2018-01-23,-2.0479,-6.2888,4.6506,18,Switzerland
2018-01-24,-0.7856,-6.8520,5.8631,17,Switzerland
2018-01-25,0.4459,-6.1255,7.0823,19,Switzerland
2018-01-26,2.1345,-8.2870,8.9434,19,Switzerland
2018-01-27,2.6858,-6.7203,9.3700,18,Switzerland
2018-01-28,2.3946,-4.3769,9.3097,19,Switzerland
2018-01-29,2.8147,-6.6187,9.5668,18,Switzerland
2018-01-30,3.3273,-6.2555,9.8578,19,Switzerland
2018-01-31,3.3300,-5.3030,8.6640,19,Switzerland
2018-02-01,3.3517,-8.2014,7.9167,19,Switzerland
2018-02-02,2.2137,-9.4695,8.0486,19,Switzerland
2018-02-03,2.4890,-10.1280,8.6091,19,Switzerland
2018-02-04,3.3779,-10.7068,9.1631,0,Switzerland
2018-02-05,2.7907,-8.1904,8.0899,19,Switzerland
2018-02-06,1.9715,-9.2590,7.9341,19,Switzerland
2018-02-07,2.4394,-8.6395,6.7547,19,Switzerland
2018-02-08,2.1610,-7.9182,7.9138,19,Switzerland
2018-02-09,3.1409,-7.6005,9.3710,19,Switzerland
2018-02-10,3.8017,-6.8132,6.8404,19,Switzerland
2018-02-11,2.3818,-5.9614,6.6311,19,Switzerland
2018-02-12,2.6940,-5.4682,5.7354,19,Switzerland
2018-02-13,2.2952,-5.8816,4.2219,19,Switzerland
2018-02-14,2.5846,-6.4711,4.4318,18,Switzerland
2018-02-15,1.8223,-6.1805,4.7150,18,Switzerland
2018-02-16,2.1266,-4.8246,5.2651,18,Switzerland
2018-02-17,1.2548,-3.9357,5.8218,18,Switzerland
2018-02-18,1.5297,-3.1317,4.0911,18,Switzerland
2018-02-19,-0.1367,-3.9354,3.4879,18,Switzerland
2018-02-20,-0.0410,-4.4536,3.8791,18,Switzerland
2018-02-21,0.1243,-4.2553,3.9134,18,Switzerland
2018-02-22,0.2785,-4.8976,3.9044,18,Switzerland
2018-02-23,0.1637,-5.7483,3.8663,18,Switzerland
2018-02-24,-0.3123,-5.7988,4.0545,18,Switzerland
2018-02-25,-0.5719,-4.8357,4.4442,18,Switzerland
2018-02-26,-1.0431,-6.4712,3.6472,19,Switzerland
2018-02-27,-0.5452,-7.3307,3.8698,19,Switzerland
2018-02-28,-1.4554,-7.4649,4.1810,19,Switzerland
2018-03-01,-1.0618,-8.3082,3.9536,19,Switzerland
2018-03-02,0.3907,-6.2980,5.1350,19,Switzerland
2018-03-03,2.4211,-4.1439,7.3694,19,Switzerland
2018-03-04,3.4594,-2.1706,7.2709,19,Switzerland
2018-03-05,4.4110,-1.6016,8.6066,19,Switzerland
2018-03-06,3.9538,-0.9248,7.7411,19,Switzerland
2018-03-07,3.0513,-0.1709,6.1988,19,Switzerland
2018-03-08,2.7750,-1.3891,6.0930,19,Switzerland
2018-03-09,2.5330,-1.2532,6.2198,19,Switzerland
2018-03-10,4.4364,0.0918,7.2484,19,Switzerland
2018-03-11,3.9077,0.0510,7.5704,19,Switzerland
