YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-8.5358,-22.5733,13.4413,72,Taiwan
2018-01-02,-2.7528,-14.5725,7.4480,72,Taiwan
2018-01-03,-2.0576,-9.8963,9.8974,72,Taiwan
2018-01-04,-2.3436,-10.6651,7.2425,72,Taiwan
2018-01-05,-1.4813,-10.5369,4.8218,72,Taiwan
2018-01-06,-0.3143,-8.5438,4.4960,71,Taiwan
2018-01-07,-0.6897,-8.3387,4.0187,71,Taiwan
2018-01-08,-0.3333,-6.4249,5.1527,72,Taiwan
2018-01-09,0.0364,-6.2943,5.4557,72,Taiwan
2018-01-10,-0.0882,-5.7461,5.4893,72,Taiwan
2018-01-11,-0.3557,-5.5107,5.0828,72,Taiwan
2018-01-12,-0.3342,-5.4064,4.6915,72,Taiwan
2018-01-13,0.7759,-6.1479,7.0570,71,Taiwan
2018-01-14,0.7759,-6.1479,7.0570,0,Taiwan
2018-01-15,1.3459,-5.2174,6.9955,72,Taiwan
2018-01-16,2.1462,-3.8641,8.3835,72,Taiwan
2018-01-17,2.5013,-3.8867,8.1847,72,Taiwan
2018-01-18,2.7119,-2.9998,6.9770,71,Taiwan
2018-01-19,2.9377,-2.0796,6.9648,71,Taiwan
2018-01-20,2.9477,-1.7241,7.4235,71,Taiwan
2018-01-21,3.4258,-1.9147,7.3413,72,Taiwan
2018-01-22,3.3945,-1.6255,7.4528,72,Taiwan
2018-01-23,3.3959,-2.2483,7.4461,71,Taiwan
2018-01-24,3.4481,-1.5439,7.6936,71,Taiwan
2018-01-25,3.3091,-2.0448,7.7144,71,Taiwan
2018-01-26,2.6947,-3.2721,6.9109,71,Taiwan
2018-01-27,2.9422,-3.2756,8.2139,72,Taiwan
2018-01-28,2.2984,-3.9544,7.1786,72,Taiwan
2018-01-29,1.7768,-4.0296,7.1388,72,Taiwan
2018-01-30,2.3121,-2.8314,7.3856,71,Taiwan
2018-01-31,2.2575,-3.3726,7.7619,72,Taiwan
