YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-21.7759,-55.9987,15.8839,31,Thailand
2018-01-02,-20.9883,-45.3716,5.0580,31,Thailand
2018-01-03,-16.8989,-30.5475,2.2995,31,Thailand
2018-01-04,-11.1984,-24.1125,11.6975,31,Thailand
2018-01-05,-8.4545,-22.0380,13.0085,31,Thailand
2018-01-06,-6.6918,-20.1895,9.1529,31,Thailand
2018-01-07,-6.6072,-21.2383,5.6147,31,Thailand
2018-01-08,-6.9419,-20.8943,7.3439,31,Thailand
2018-01-09,-6.6750,-23.5591,5.8606,31,Thailand
2018-01-10,-7.9128,-23.3539,6.4700,31,Thailand
2018-01-11,-8.2847,-23.2777,6.2998,31,Thailand
2018-01-12,-6.7572,-23.5646,6.9120,31,Thailand
2018-01-13,-6.4130,-21.8443,10.2569,31,Thailand
2018-01-14,-5.5198,-23.2314,10.0516,11,Thailand
2018-01-15,-4.2720,-22.7753,11.6761,30,Thailand
2018-01-16,-3.3664,-21.4043,12.2157,29,Thailand
2018-01-17,-2.7084,-20.0297,12.0665,30,Thailand
2018-01-18,-2.5604,-20.0345,12.5496,31,Thailand
2018-01-19,-1.6626,-18.7953,11.7794,31,Thailand
2018-01-20,-1.0951,-17.9321,11.6228,31,Thailand
2018-01-21,1.1223,-13.8375,12.6134,29,Thailand
2018-01-22,2.1742,-13.2787,13.2167,30,Thailand
2018-01-23,3.4297,-13.0154,12.7478,30,Thailand
2018-01-24,3.5708,-13.6375,12.9266,30,Thailand
2018-01-25,1.5122,-20.7221,11.5417,31,Thailand
2018-01-26,1.9954,-20.4331,10.6465,32,Thailand
2018-01-27,3.0175,-16.2079,11.8545,32,Thailand
2018-01-28,2.4662,-17.7492,9.2368,32,Thailand
2018-01-29,2.0298,-18.0817,9.0601,32,Thailand
2018-01-30,1.7733,-18.7725,7.9444,32,Thailand
2018-01-31,0.8970,-21.7103,7.0849,32,Thailand
2018-02-01,0.2813,-23.8711,7.4517,32,Thailand
2018-02-02,0.2946,-22.3878,8.1585,33,Thailand
2018-02-03,-0.5350,-19.9275,7.6955,33,Thailand
2018-02-04,-0.3964,-19.2126,7.2174,33,Thailand
2018-02-05,-1.2652,-17.3346,8.7636,33,Thailand
2018-02-06,-2.4908,-17.6135,9.3167,33,Thailand
2018-02-07,-1.3274,-15.3471,8.9902,33,Thailand
2018-02-08,-1.7963,-15.1623,7.4251,33,Thailand
2018-02-09,-1.7441,-13.6045,9.6956,33,Thailand
2018-02-10,-3.2695,-14.7301,10.0686,33,Thailand
2018-02-11,-3.8864,-15.7224,8.7444,33,Thailand
2018-02-12,-4.0335,-17.0941,6.3161,33,Thailand
2018-02-13,-3.7531,-15.0721,6.6613,33,Thailand
2018-02-14,-2.3563,-14.9119,7.4850,33,Thailand
2018-02-15,-2.7395,-12.7618,8.3067,33,Thailand
2018-02-16,-2.5981,-12.9169,8.0022,33,Thailand
2018-02-17,-0.1529,-12.2676,8.5396,33,Thailand
2018-02-18,1.3263,-12.2991,9.6786,33,Thailand
2018-02-19,2.7287,-9.3531,9.5772,32,Thailand
2018-02-20,2.7441,-9.5785,8.0098,32,Thailand
2018-02-21,2.6353,-8.2840,8.8104,33,Thailand
2018-02-22,2.5529,-7.9308,160.4393,35,Thailand
2018-02-23,2.5778,-7.0577,161.0340,33,Thailand
2018-02-24,3.5345,-7.5503,161.3029,33,Thailand
2018-02-25,3.7516,-8.1797,161.6023,33,Thailand
2018-02-26,3.7977,-6.5101,161.7692,33,Thailand
2018-02-27,4.0307,-6.6443,161.5865,33,Thailand
2018-02-28,4.2432,-7.2134,161.0845,33,Thailand
2018-03-01,2.4243,-7.1774,159.3602,33,Thailand
2018-03-02,2.3638,-6.9266,159.4707,33,Thailand
2018-03-03,2.1478,-6.1218,160.0874,33,Thailand
2018-03-04,2.5888,-9.1138,159.1339,32,Thailand
2018-03-05,1.9290,-8.3481,158.7238,32,Thailand
2018-03-06,1.8101,-10.1115,158.6245,33,Thailand
2018-03-07,2.0022,-9.6875,158.4627,33,Thailand
2018-03-08,1.1733,-9.1076,158.9414,33,Thailand
2018-03-09,1.0801,-8.8851,158.5610,33,Thailand
2018-03-10,2.1428,-8.6035,158.8902,33,Thailand
2018-03-11,3.1884,-9.6264,159.2662,33,Thailand
2018-03-12,3.9744,-8.0515,159.7758,33,Thailand
2018-03-13,4.1893,-7.5807,161.0224,32,Thailand
2018-03-14,3.6121,-8.0498,11.8200,32,Thailand
2018-03-15,2.7386,-8.2240,11.4248,33,Thailand
2018-03-16,2.4456,-8.8484,11.3986,33,Thailand
2018-03-17,2.5185,-10.2648,10.4535,33,Thailand
2018-03-18,2.6253,-11.0028,9.0936,32,Thailand
2018-03-19,1.3911,-11.8610,7.8808,33,Thailand
2018-03-20,1.0647,-13.1129,8.7465,32,Thailand
2018-03-21,1.8089,-12.0844,10.5515,33,Thailand
2018-03-22,1.3106,-12.6807,10.2220,33,Thailand
2018-03-23,1.4799,-10.3186,11.2197,33,Thailand
2018-03-24,2.0714,-10.5848,11.0108,33,Thailand
2018-03-25,0.6603,-9.8982,9.9399,32,Thailand
2018-03-26,1.0528,-10.2375,8.5616,33,Thailand
2018-03-27,1.5466,-10.2158,8.3561,33,Thailand
2018-03-28,1.9952,-10.2869,8.3178,33,Thailand
2018-03-29,2.4428,-9.4239,7.8882,33,Thailand
2018-03-30,1.1556,-10.5824,8.8799,33,Thailand
2018-03-31,0.5865,-9.7790,7.6507,32,Thailand
2018-04-01,0.8262,-9.6064,7.7440,33,Thailand
2018-04-02,0.7374,-10.1959,7.5043,33,Thailand
2018-04-03,2.0554,-8.6583,9.0782,33,Thailand
2018-04-04,1.4974,-7.8835,9.5358,0,Thailand
2018-04-05,2.4457,-3.9443,10.2207,33,Thailand
2018-04-06,2.3660,-3.4304,14.0218,33,Thailand
2018-04-07,2.6577,-4.9559,12.7926,33,Thailand
2018-04-08,3.8879,-7.6667,13.9083,33,Thailand
2018-04-09,4.8909,-9.1078,13.7937,33,Thailand
2018-04-10,4.4999,-7.8867,13.8829,33,Thailand
2018-04-11,3.4927,-7.9333,13.1984,33,Thailand
2018-04-12,3.2435,-7.7044,12.0271,32,Thailand
2018-04-13,1.4382,-8.4714,11.3461,32,Thailand
2018-04-14,-0.1064,-9.3265,13.0195,32,Thailand
2018-04-15,0.2711,-8.6738,12.2760,32,Thailand
2018-04-16,-1.9213,-10.6758,9.0273,32,Thailand
2018-04-17,-3.2071,-12.9919,9.8808,32,Thailand
2018-04-18,-3.3092,-12.0607,9.4310,32,Thailand
2018-04-19,-4.3723,-12.9640,8.7963,33,Thailand
2018-04-20,-4.3306,-13.6453,7.8233,33,Thailand
2018-04-21,-3.5897,-14.0150,6.5518,33,Thailand
2018-04-22,-4.3530,-13.8944,6.7852,33,Thailand
2018-04-23,-5.0479,-14.8778,6.3326,33,Thailand
2018-04-24,-4.5702,-14.1412,5.8659,32,Thailand
2018-04-25,-7.0899,-16.9664,6.0840,32,Thailand
2018-04-26,-6.6246,-16.2248,3.0724,32,Thailand
2018-04-27,-5.0754,-16.1202,5.0118,33,Thailand
2018-04-28,-4.6493,-15.0397,3.2763,32,Thailand
2018-04-29,-6.5389,-16.9423,3.7834,31,Thailand
2018-04-30,-7.0047,-18.8535,3.4571,32,Thailand
2018-05-01,-8.1006,-20.4500,4.0982,32,Thailand
2018-05-02,-6.7554,-19.7579,4.2058,32,Thailand
2018-05-03,-4.3236,-18.3704,5.2212,31,Thailand
2018-05-04,-3.6669,-18.4154,6.8733,31,Thailand
2018-05-05,-3.0233,-18.0243,7.5494,31,Thailand
2018-05-06,-1.5897,-16.4990,8.6578,31,Thailand
2018-05-07,-0.1713,-16.0478,8.8096,32,Thailand
2018-05-08,0.2320,-16.5508,7.9328,32,Thailand
2018-05-09,1.1113,-16.3983,9.4066,30,Thailand
2018-05-10,1.6271,-17.1945,9.2856,29,Thailand
2018-05-11,3.7569,-16.0412,10.2940,31,Thailand
2018-05-12,4.5219,-16.4256,12.2670,31,Thailand
2018-05-13,4.5530,-17.1242,12.8770,31,Thailand
2018-05-14,4.1601,-17.6370,15.3458,31,Thailand
2018-05-15,2.7237,-16.5868,15.8008,31,Thailand
2018-05-16,2.1017,-16.9427,14.5233,30,Thailand
2018-05-17,3.3370,-15.9371,12.5798,31,Thailand
2018-05-18,3.1744,-15.1863,12.9036,31,Thailand
2018-05-19,3.8118,-13.8085,13.2959,31,Thailand
2018-05-20,4.6745,-10.9557,14.1668,31,Thailand
