YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-29.0176,-48.9504,7.1740,110,UnitedKingdom
2018-01-02,-12.9775,-35.5928,16.5340,111,UnitedKingdom
2018-01-03,-10.7855,-28.3889,17.1152,106,UnitedKingdom
2018-01-04,-8.6391,-28.9691,15.3612,111,UnitedKingdom
2018-01-05,-5.1721,-23.6100,14.4060,111,UnitedKingdom
2018-01-06,-2.1432,-24.2484,11.8343,109,UnitedKingdom
2018-01-07,-1.9406,-25.1296,10.1449,110,UnitedKingdom
2018-01-08,-1.9547,-22.3648,12.1391,113,UnitedKingdom
2018-01-09,-1.8355,-19.6516,11.2715,112,UnitedKingdom
2018-01-10,-0.2843,-14.6170,10.9824,114,UnitedKingdom
2018-01-11,0.8480,-13.1417,10.2757,115,UnitedKingdom
2018-01-12,1.1157,-11.4109,10.1002,115,UnitedKingdom
2018-01-13,0.8662,-12.0832,9.4413,115,UnitedKingdom
2018-01-14,-0.0726,-11.0907,8.8757,115,UnitedKingdom
2018-01-15,0.7911,-10.1974,9.9609,115,UnitedKingdom
2018-01-16,1.3197,-10.4667,11.7522,112,UnitedKingdom
2018-01-17,1.4153,-9.7571,12.7161,112,UnitedKingdom
2018-01-18,2.8984,-9.7188,12.3025,114,UnitedKingdom
2018-01-19,3.5886,-7.1884,12.9004,114,UnitedKingdom
2018-01-20,4.3481,-6.1743,13.2443,114,UnitedKingdom
2018-01-21,5.6497,-5.0458,15.5417,113,UnitedKingdom
2018-01-22,5.9714,-5.5239,15.7647,115,UnitedKingdom
2018-01-23,6.4660,-5.9989,16.5913,112,UnitedKingdom
2018-01-24,6.5371,-5.4555,16.5392,110,UnitedKingdom
2018-01-25,5.5564,-6.5985,17.2600,113,UnitedKingdom
2018-01-26,5.4906,-5.4506,16.6857,114,UnitedKingdom
2018-01-27,6.2237,-5.2807,17.4127,109,UnitedKingdom
2018-01-28,5.8612,-5.1844,17.5205,106,UnitedKingdom
2018-01-29,6.0265,-4.8817,18.7695,113,UnitedKingdom
2018-01-30,5.0379,-6.1665,19.0471,113,UnitedKingdom
2018-01-31,5.5171,-6.0830,18.6525,113,UnitedKingdom
2018-02-01,5.1057,-6.1035,17.8698,114,UnitedKingdom
2018-02-02,5.3629,-5.3823,18.0251,114,UnitedKingdom
2018-02-03,6.7409,-3.6062,19.0104,112,UnitedKingdom
2018-02-04,5.8948,-5.8361,17.2911,111,UnitedKingdom
2018-02-05,5.1379,-6.6777,17.1733,110,UnitedKingdom
2018-02-06,5.1598,-7.0883,16.6452,115,UnitedKingdom
2018-02-07,4.6379,-7.9495,16.6250,115,UnitedKingdom
2018-02-08,3.6048,-8.3686,17.9459,114,UnitedKingdom
2018-02-09,2.8252,-8.9530,16.3180,114,UnitedKingdom
2018-02-10,3.0042,-8.2428,16.4373,112,UnitedKingdom
