YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-18.3708,-49.3195,28.8160,167,UnitedStatesofAmerica
2018-01-02,-8.8506,-38.7792,31.3245,173,UnitedStatesofAmerica
2018-01-03,-0.7034,-28.6601,26.5420,172,UnitedStatesofAmerica
2018-01-04,3.7134,-22.3272,24.0015,173,UnitedStatesofAmerica
2018-01-05,6.3028,-21.6253,22.0531,177,UnitedStatesofAmerica
2018-01-06,6.7512,-18.0556,22.6999,177,UnitedStatesofAmerica
2018-01-07,6.2547,-17.7672,19.7744,162,UnitedStatesofAmerica
2018-01-08,6.7455,-15.2850,22.5154,159,UnitedStatesofAmerica
2018-01-09,7.4792,-15.7230,22.0328,148,UnitedStatesofAmerica
2018-01-10,6.0470,-12.9337,21.8767,175,UnitedStatesofAmerica
2018-01-11,4.4998,-14.5769,21.2993,175,UnitedStatesofAmerica
2018-01-12,3.4684,-18.2713,21.1189,181,UnitedStatesofAmerica
2018-01-13,1.3962,-18.7317,17.0016,178,UnitedStatesofAmerica
2018-01-14,1.4936,-19.1002,17.2065,180,UnitedStatesofAmerica
2018-01-15,1.1249,-19.3525,16.0408,180,UnitedStatesofAmerica
2018-01-16,1.0348,-17.7427,15.5704,176,UnitedStatesofAmerica
2018-01-17,0.8474,-15.4700,15.9551,181,UnitedStatesofAmerica
2018-01-18,1.0615,-14.5614,14.8359,174,UnitedStatesofAmerica
2018-01-19,2.2543,-13.7310,14.2796,179,UnitedStatesofAmerica
2018-01-20,1.4744,-15.2129,12.7862,179,UnitedStatesofAmerica
2018-01-21,1.5634,-15.1783,13.5253,175,UnitedStatesofAmerica
2018-01-22,1.7566,-13.4744,13.8646,177,UnitedStatesofAmerica
2018-01-23,0.6079,-15.5101,13.6247,157,UnitedStatesofAmerica
2018-01-24,-0.0773,-16.1232,14.3055,179,UnitedStatesofAmerica
2018-01-25,-0.2978,-17.4162,15.3367,0,UnitedStatesofAmerica
2018-01-26,-1.2677,-17.9069,14.9969,180,UnitedStatesofAmerica
2018-01-27,-0.9302,-17.4044,16.4022,173,UnitedStatesofAmerica
2018-01-28,-2.9854,-18.0458,12.7752,166,UnitedStatesofAmerica
2018-01-29,-4.4498,-18.8480,11.6498,175,UnitedStatesofAmerica
2018-01-30,-3.7766,-20.2593,11.1462,177,UnitedStatesofAmerica
2018-01-31,-2.8584,-19.1668,11.3194,168,UnitedStatesofAmerica
2018-02-01,-1.4927,-16.8697,12.7657,174,UnitedStatesofAmerica
2018-02-02,-0.7162,-16.3595,14.0933,0,UnitedStatesofAmerica
2018-02-03,-1.6986,-17.9994,14.0779,178,UnitedStatesofAmerica
2018-02-04,-2.3299,-17.0956,13.1721,177,UnitedStatesofAmerica
2018-02-05,-2.0858,-16.9643,12.6712,175,UnitedStatesofAmerica
2018-02-06,-2.9670,-18.3618,14.4626,168,UnitedStatesofAmerica
2018-02-07,-1.1985,-18.6262,18.4792,176,UnitedStatesofAmerica
2018-02-08,-3.7487,-21.8560,15.6349,176,UnitedStatesofAmerica
2018-02-09,-0.8339,-19.5777,18.5119,185,UnitedStatesofAmerica
2018-02-10,-1.5070,-20.3206,17.9827,179,UnitedStatesofAmerica
2018-02-11,-1.4451,-21.9430,19.3435,147,UnitedStatesofAmerica
2018-02-12,-1.0929,-20.4253,21.0514,0,UnitedStatesofAmerica
2018-02-13,-2.8778,-20.0908,18.6293,183,UnitedStatesofAmerica
2018-02-14,-2.2495,-19.2824,17.1260,180,UnitedStatesofAmerica
2018-02-15,-2.7160,-20.6006,17.2895,186,UnitedStatesofAmerica
2018-02-16,-3.0609,-21.4426,16.9330,183,UnitedStatesofAmerica
2018-02-17,-1.3310,-19.8260,16.9184,178,UnitedStatesofAmerica
2018-02-18,0.4009,-18.6832,16.9936,175,UnitedStatesofAmerica
