YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-16.8596,-52.5320,17.1886,15,unknown
2018-01-02,-11.4587,-31.4248,18.2887,16,unknown
2018-01-03,-8.6341,-27.8079,13.1594,17,unknown
2018-01-04,-3.5738,-24.0897,11.2435,16,unknown
2018-01-05,-3.1575,-27.9090,8.8892,21,unknown
2018-01-06,-0.3787,-27.8888,10.5822,18,unknown
2018-01-07,-2.6859,-26.4911,9.4674,19,unknown
2018-01-08,-4.2085,-25.0208,11.8817,20,unknown
2018-01-09,-4.0767,-21.8320,11.0303,21,unknown
2018-01-10,-2.6731,-19.4513,10.7828,21,unknown
2018-01-11,-3.5558,-14.5139,12.4442,21,unknown
2018-01-12,-1.4627,-14.2932,8.5999,18,unknown
2018-01-13,-0.8941,-14.2900,9.4339,16,unknown
2018-01-14,-2.3838,-19.0489,7.3587,18,unknown
2018-01-15,-2.0608,-18.2074,5.1211,21,unknown
2018-01-16,-3.2082,-17.3936,5.0187,22,unknown
2018-01-17,-4.7065,-14.3058,4.9129,22,unknown
2018-01-18,-4.0941,-13.6204,4.7722,20,unknown
2018-01-19,-2.8017,-13.4071,5.6106,20,unknown
2018-01-20,-1.9638,-13.2518,5.5038,18,unknown
2018-01-21,-0.5077,-11.5208,7.2587,20,unknown
2018-01-22,-0.4370,-12.2769,11.2716,22,unknown
2018-01-23,-0.7694,-10.6318,10.9922,22,unknown
2018-01-24,-2.0911,-11.8339,8.8540,22,unknown
2018-01-25,-1.6740,-12.3656,10.7383,20,unknown
2018-01-26,-1.7333,-12.4987,12.3615,22,unknown
2018-01-27,-0.3219,-12.4344,11.5476,20,unknown
2018-01-28,1.0157,-12.7335,10.1366,22,unknown
2018-01-29,0.7202,-11.4678,10.2429,21,unknown
2018-01-30,-0.3646,-12.2819,9.6907,22,unknown
2018-01-31,-0.7555,-14.2443,11.6616,21,unknown
2018-02-01,-1.8590,-15.2034,10.6801,22,unknown
2018-02-02,-2.1147,-15.2077,11.0229,18,unknown
2018-02-03,-1.3833,-15.9305,13.5516,20,unknown
2018-02-04,-1.5814,-17.0132,12.6262,10,unknown
2018-02-05,-1.4022,-18.5935,12.6828,17,unknown
2018-02-06,-0.9270,-17.0986,15.1105,22,unknown
2018-02-07,-0.3984,-20.3125,13.0521,22,unknown
2018-02-08,-1.1335,-19.3991,11.9410,22,unknown
2018-02-09,0.2339,-18.8315,12.1683,22,unknown
2018-02-10,1.0408,-16.8217,11.7407,20,unknown
2018-02-11,0.0296,-15.0030,10.5360,20,unknown
2018-02-12,0.3007,-14.6073,10.2511,20,unknown
2018-02-13,1.5057,-13.9176,8.4661,22,unknown
2018-02-14,0.5960,-14.1065,7.3428,17,unknown
2018-02-15,0.2555,-14.1486,8.1078,17,unknown
2018-02-16,-0.3815,-18.2786,7.2624,17,unknown
2018-02-17,-0.2298,-16.7563,8.1171,14,unknown
2018-02-18,-0.2530,-17.5498,8.6719,17,unknown
2018-02-19,-0.0765,-17.3605,8.2674,17,unknown
2018-02-20,-0.5453,-15.6271,8.7688,17,unknown
2018-02-21,-1.0701,-15.3625,9.1383,17,unknown
2018-02-22,-0.9666,-15.1625,9.8830,16,unknown
2018-02-23,-0.1988,-13.5395,11.7803,15,unknown
2018-02-24,-1.4470,-13.4978,11.7915,14,unknown
2018-02-25,-0.1119,-12.6670,11.3223,19,unknown
2018-02-26,-0.0902,-14.4995,8.7033,20,unknown
2018-02-27,-1.2976,-18.3692,9.0896,19,unknown
2018-02-28,-0.7641,-18.4199,7.4059,18,unknown
2018-03-01,-0.8719,-17.6350,6.0622,20,unknown
2018-03-02,-0.5913,-14.6507,5.7330,20,unknown
2018-03-03,-0.0978,-15.4161,7.9271,19,unknown
2018-03-04,1.5105,-14.6394,10.7083,16,unknown
2018-03-05,3.0571,-14.9391,8.4776,19,unknown
2018-03-06,2.8707,-14.3766,8.2626,20,unknown
2018-03-07,1.8775,-14.2999,10.1449,20,unknown
2018-03-08,0.7295,-12.7823,9.9849,20,unknown
2018-03-09,1.0482,-10.7740,10.9238,20,unknown
2018-03-10,0.1432,-10.4413,10.3071,18,unknown
2018-03-11,1.9648,-11.4477,10.2550,20,unknown
2018-03-12,2.0321,-11.0331,11.8914,20,unknown
2018-03-13,1.5943,-15.0337,12.2897,20,unknown
2018-03-14,1.4490,-10.2817,12.3639,20,unknown
2018-03-15,1.8536,-8.6272,12.1817,19,unknown
2018-03-16,2.1762,-6.4794,12.1509,20,unknown
2018-03-17,2.1636,-7.0337,13.2281,18,unknown
2018-03-18,1.8144,-6.9395,11.8995,20,unknown
2018-03-19,1.2254,-5.6612,14.4323,20,unknown
2018-03-20,2.0378,-7.0993,14.0640,19,unknown
2018-03-21,3.7548,-7.4127,12.7083,16,unknown
2018-03-22,2.6885,-6.6136,11.8089,19,unknown
2018-03-23,0.6408,-6.0584,10.5705,17,unknown
2018-03-24,0.1319,-7.6593,10.8825,17,unknown
2018-03-25,-0.0594,-6.7956,9.1674,17,unknown
2018-03-26,-0.9001,-8.4223,7.6662,20,unknown
2018-03-27,-0.7128,-9.1471,7.9151,18,unknown
2018-03-28,-1.0098,-11.8004,8.1364,20,unknown
2018-03-29,-0.3049,-8.1685,8.4602,20,unknown
2018-03-30,-0.1046,-8.3572,10.2770,19,unknown
2018-03-31,-0.4360,-8.4216,10.2548,19,unknown
2018-04-01,-0.7543,-9.9091,9.2840,19,unknown
2018-04-02,-0.9685,-13.1899,8.1303,18,unknown
2018-04-03,-1.9356,-12.7862,8.1724,20,unknown
2018-04-04,-3.6616,-13.2114,9.2409,0,unknown
2018-04-05,-4.7334,-10.9602,9.5274,20,unknown
2018-04-06,-4.7221,-9.6615,9.6602,19,unknown
2018-04-07,-4.1051,-8.6961,9.9095,18,unknown
2018-04-08,-5.4005,-8.4480,12.3526,19,unknown
2018-04-09,-4.0754,-7.7444,13.8952,19,unknown
2018-04-10,-3.7470,-8.5635,13.8511,19,unknown
2018-04-11,-2.4886,-9.2033,14.8255,19,unknown
2018-04-12,-2.3268,-8.2387,16.9643,20,unknown
2018-04-13,-1.9005,-5.7213,14.7816,20,unknown
2018-04-14,-1.6999,-3.5696,15.9552,18,unknown
2018-04-15,-1.0992,-4.3919,15.1317,18,unknown
2018-04-16,0.1904,-6.8240,13.0307,18,unknown
2018-04-17,0.7534,-6.6365,13.2201,20,unknown
2018-04-18,1.7939,-8.3778,13.7164,18,unknown
2018-04-19,2.9910,-7.2829,14.5438,19,unknown
2018-04-20,4.3833,-5.9905,15.1147,19,unknown
2018-04-21,4.3010,-5.4439,13.2008,17,unknown
2018-04-22,4.2101,-4.2633,14.8027,18,unknown
2018-04-23,4.5831,-4.3675,15.0776,18,unknown
2018-04-24,4.8023,-5.5969,13.8666,19,unknown
2018-04-25,4.4942,-5.8461,12.7169,18,unknown
2018-04-26,4.6960,-6.4021,11.7998,19,unknown
2018-04-27,3.6189,-7.0244,11.8809,19,unknown
2018-04-28,2.6684,-7.6431,12.9091,19,unknown
2018-04-29,1.7110,-7.1540,14.0382,19,unknown
2018-04-30,1.6412,-6.3401,14.9895,19,unknown
2018-05-01,1.3069,-9.5431,14.7299,19,unknown
2018-05-02,1.2871,-9.8673,16.6404,19,unknown
2018-05-03,1.6029,-12.1786,16.2532,21,unknown
2018-05-04,1.3728,-10.3986,14.6326,21,unknown
2018-05-05,1.6862,-7.7093,15.0363,21,unknown
2018-05-06,1.2004,-7.9084,13.9706,21,unknown
2018-05-07,1.2999,-7.7890,10.0320,22,unknown
2018-05-08,0.6056,-9.4764,9.8013,21,unknown
2018-05-09,0.6113,-9.4273,9.9911,21,unknown
2018-05-10,-1.6356,-9.9391,9.4841,21,unknown
2018-05-11,-2.1360,-11.2974,11.3187,21,unknown
2018-05-12,-0.5667,-12.0992,11.3228,22,unknown
2018-05-13,0.3104,-13.9200,11.1937,21,unknown
2018-05-14,-0.4250,-14.1152,11.2586,21,unknown
2018-05-15,0.0135,-11.5000,10.2690,21,unknown
2018-05-16,-0.1705,-11.3224,10.0237,21,unknown
2018-05-17,-0.6973,-11.3147,9.6176,21,unknown
2018-05-18,-0.6225,-12.0596,8.0765,21,unknown
2018-05-19,0.2253,-12.0745,7.0998,21,unknown
2018-05-20,-0.0258,-12.7179,6.2843,20,unknown
2018-05-21,-1.1059,-12.4954,6.7535,21,unknown
2018-05-22,-2.1679,-13.0151,7.4656,19,unknown
2018-05-23,-1.8745,-12.2128,6.6175,21,unknown
2018-05-24,-2.2330,-14.0416,6.2000,21,unknown
2018-05-25,-2.1561,-15.1247,6.6835,20,unknown
2018-05-26,-2.8036,-13.3293,7.8151,19,unknown
2018-05-27,-3.4484,-15.4286,7.2909,21,unknown
2018-05-28,-2.3952,-15.4263,8.6342,21,unknown
2018-05-29,-3.7130,-16.4480,8.6757,21,unknown
2018-05-30,-2.1861,-13.3874,6.2807,21,unknown
2018-05-31,-3.6269,-15.0753,6.6521,21,unknown
2018-06-01,-2.8939,-13.3459,8.5595,20,unknown
2018-06-02,-2.9839,-12.6208,6.9228,20,unknown
2018-06-03,-3.7220,-15.3844,7.7065,20,unknown
2018-06-04,-3.2848,-15.2085,9.2314,21,unknown
2018-06-05,-0.8579,-17.4918,9.3398,20,unknown
2018-06-06,0.5467,-17.5890,8.5465,20,unknown
2018-06-07,0.4420,-17.5870,10.6676,21,unknown
2018-06-08,0.5545,-19.6268,12.1553,20,unknown
2018-06-09,-0.2566,-16.9089,11.1240,21,unknown
2018-06-10,2.9022,-13.1173,10.8392,21,unknown
2018-06-11,1.1893,-12.2034,11.2630,21,unknown
2018-06-12,0.9663,-11.3443,11.5360,21,unknown
2018-06-13,0.0071,-12.1134,10.6657,21,unknown
2018-06-14,0.7822,-12.2593,10.8022,21,unknown
2018-06-15,-0.0340,-11.0702,10.2151,19,unknown
2018-06-16,-0.8082,-11.9710,6.9904,18,unknown
2018-06-17,-2.8840,-11.4331,6.5929,18,unknown
2018-06-18,-3.6607,-10.4115,5.1771,21,unknown
2018-06-19,-3.6724,-11.0293,5.9889,20,unknown
2018-06-20,-1.7425,-14.1297,5.8951,19,unknown
2018-06-21,-1.1186,-12.1699,5.3338,20,unknown
2018-06-22,-1.7402,-8.8038,4.3375,18,unknown
2018-06-23,-1.7046,-10.5228,6.4314,20,unknown
2018-06-24,-2.7262,-13.0791,4.9760,20,unknown
2018-06-25,-2.3720,-13.5090,6.4822,20,unknown
2018-06-26,-2.9982,-11.7816,5.9402,20,unknown
2018-06-27,-3.8705,-11.3532,4.6377,19,unknown
2018-06-28,-3.2685,-9.7829,5.8260,19,unknown
2018-06-29,-2.6490,-9.8829,6.1561,18,unknown
2018-06-30,-4.5910,-11.5613,5.1971,18,unknown
2018-07-01,-5.5970,-10.5380,5.7779,18,unknown
2018-07-02,-5.4567,-9.1545,6.0478,19,unknown
2018-07-03,-4.0582,-9.7364,6.4394,19,unknown
2018-07-04,-2.8821,-9.8156,7.1963,19,unknown
2018-07-05,-2.8515,-8.8967,8.1277,18,unknown
2018-07-06,-1.3178,-10.3930,9.1680,19,unknown
2018-07-07,-1.2208,-9.5782,8.9604,7,unknown
2018-07-08,-3.0439,-10.8180,6.5709,7,unknown
