,Type,ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BEN,BOL,BIH,BWA,BRA,BRN,BGR,KHM,CMR,CAN,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CUW,CYP,CZE,PRK,COD,DNK,DOM,ECU,EGY,SLV,ERI,EST,ETH,FIN,FRA,GAB,GEO,DEU,GHA,GIB,GRC,GTM,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,RKS,KWT,KGZ,LVA,LBN,LBY,LTU,LUX,MYS,MLT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SRB,SGP,SVK,SVN,ZAF,SSD,ESP,LKA,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,AIR,SEA
0,Name,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tapei,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,USA,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,IntlAIR,IntlSEA
1,Units,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,KtperdayCO,KtperdayCO
2,Base_em,0.07630398122968907,0.6412233250300902,2.4193792223871613,7.440143035462387,0.06362153937713139,2.8200336023313843,0.6824101910747014,0.1775758402788365,0.20001610550401203,3.556616711975928,0.5287634887893682,0.40299581056600503,1.0815104833510534,0.95649683668004,0.44235059644533586,0.29118110100300915,29.12029278532711,0.09867138219157473,0.29195431413080253,2.3225008720862594,1.3255795837713138,5.257757322186777,2.0559761157255765,130.07432848788375,3.3442019827001004,0.4524398473472417,0.4539596839766299,1.9390304235812437,0.28992658605871924,0.6458786111303912,,0.022758760254774323,0.8464484747561705,0.8465698740220663,5.8301507721163475,0.31563588953347677,0.5870718419428285,1.6159011918666002,1.511487631464393,0.42813912527582754,0.19927597139418254,0.10795278643195386,11.786705856389167,0.5981128565533039,2.685595849387532,0.48576415888665997,0.14912193567301907,3.5558690307943857,1.7289880476128385,0.0017235291785356072,0.4317741945564444,2.0557658324593784,1.5053586818455367,1.4201198079909727,0.17797183353961887,0.6029520842495384,0.11081113979335006,73.41479319525784,32.00629813015446,10.170742514392272,2.450461157550652,0.12319137046762528,0.12628685553928484,2.2303402362766347,0.6871744353560681,5.86936132547784,0.07792592515947844,1.659396508457081,4.6069626243630895,4.023042519793185,,0.16600967241123374,0.12573798638615846,0.17397373189177529,0.1928580726663992,1.8952910393801405,0.2026522186196971,0.021019094449560682,3.575215445235706,0.006798301405883651,0.06070032843029087,10.002181531727482,0.11533460401223672,0.4871749697903711,,0.3346090988495486,2.1950960689458374,4.822242158185556,0.1627611971003009,2.2507192186559686,0.5408077951457142,0.28196207594984957,0.749849659767302,0.7182116809127382,25.20941655897693,0.06835102106792959,0.3728300084846329,0.26589960938816454,11.785685309237712,0.5881005547542627,1.3617254195633903,1.6923929498864434,5.243017515095286,2.1093028168332717,0.283766820655633,0.16231869010230693,0.9790024446070212,8.915005027135004,1.8624121169608827,0.6346519107121362,,0.1914355368224675,0.2839856806861765,0.13390312078197095,6.620849745151183,,1.4554451529653443,1.847708895697091,2.63958960439318,0.044470814464393174,0.5677441616295947,0.2352277714327081,0.1290972535707121,3.161138056613053,0.1707766459107322,4.942364301825477,10.822389668858577,0.7803280433290873,0.1680559180956871,0.3658594383807422,3.522627025020505,0.29309992976930793,2.128735139049699,0.8606896009027082,1.4261073552402517,51.03781478659973,0.7320550948044136,0.3810948576690071,6.470839292457371,9.118928807088265,0.14694968372818454,1.9037208267532595,1.6681946815305913,0.24691651867134268,0.8323208432067845
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,-0.20089545872949016,-1.3107443140064536,0.0,-0.6583894643305078,-0.176154972478139,0.0,-0.043897987742207656,0.2127554716518062,-0.08289222902531082,-0.12186557753822125,-0.07830221636856366,-0.1554709346381091,-0.04414940291361084,0.00016927134996156399,-3.774848741849838,0.0,-0.05445019427604205,-0.32491857493257514,0.11720156423561363,-2.6323946176470585,-0.6542256412164388,0.0,-0.8717046129689617,0.0,-0.1684895583817478,0.01738804310544797,-0.06238352724238601,0.0,,0.0,-0.224139761482487,0.0,0.0,-0.07427372012685059,-0.1475358177762412,-0.33832607015258903,-0.02482678112952776,-0.03381433508689562,0.0,-0.02336828943843953,0.0,-0.16174979879291237,-0.6530583527321465,-0.05931228048738034,-0.025427036307564353,-1.1808346886596304,-0.004090865120687764,0.0,-0.12186739622132516,-0.04665845494820448,-0.08648392289908899,-0.3296293929577074,-0.04325126958633779,-0.0899068096285828,0.0,-5.7715460838681,-4.623522930009601,0.0,0.1905681231465863,-0.030049180059645655,-0.04320075695244774,-0.4957872251080048,-0.1191856753357243,-2.720839750489465,-0.021350749470229326,-0.24953962027563104,0.07096516533365477,-1.0648690936504641,,-0.022064075580318532,-0.014144565096552928,-0.041836979689150094,-0.032740606274996226,-0.03082711116328542,-0.03930732599800285,-0.00855537831004551,-0.9996761693182126,-0.001380721739312583,-0.012119985192179024,-2.878817502473139,-0.016768480669555472,-0.16568252491037042,,-0.024229765371851654,-0.48040336687605056,-1.1564299745705038,-0.03675979807657861,-0.1257374600815127,-0.22175437061955944,-0.08411536665210358,-0.0692183661143366,0.04328943309003525,0.758328715629055,-0.013196273320006157,-0.1596949803702087,-0.05967031274188808,1.7466285372176549,-0.32976521654480956,-0.09488787122854281,-0.4475022135291801,-1.218369537689692,-0.3835350153292427,-0.07063564870534303,-0.002118863767550027,-0.16579078885134202,-1.7718770495179088,-0.6141393756131057,-0.036128947594328345,,-0.049470953149034526,-0.12223436422988246,-0.042240067976702315,-1.1954323315830424,,-0.35538599647308844,-0.32895199707390654,0.0,0.0,-0.20117268280615933,-0.0537748593796712,0.0,-0.3380744778377109,-0.03869697294914478,0.062311368110849474,-2.9225843144154937,0.02747672746522096,-0.06198233385181657,0.0,-0.7625429319999032,0.0,-0.40577336166773986,-0.17756529790429665,-0.49630821135161113,-15.147939901701827,-0.17894202391919883,0.0,-1.0907019899309212,-0.22121054015142752,0.020095095082683583,-0.04506166865126875,0.06881525846002057,0.0,0.0
5,3,0.0,0.0,-0.22717285163412243,-1.3502369576083049,0.0,-0.6207079559341655,-0.17117868707481565,0.0,-0.048070650031387295,0.2184939056870128,-0.09234421241382232,-0.11320023465371032,-0.08340554646081699,-0.17586529326495465,-0.04799627857546803,0.0016829905971312256,-3.729712095801726,0.0,-0.05654794636647494,-0.31999635906472057,0.11856540547305269,-2.564662326838191,-0.7119159533001984,0.0,-0.8818939936037192,0.0,-0.16705531139469137,0.007482520780271049,-0.06419281187962148,0.0,,0.0,-0.21822944581652098,0.0,0.0,-0.07662478942528889,-0.1652596956647412,-0.3416347998284325,-0.025367624372030655,-0.039282541647992594,0.0,-0.024995938525781858,0.0,-0.1574434168523983,-0.6511576872835066,-0.057013346314381645,-0.02825886661104517,-1.125597195298407,-0.0101501632841286,0.0,-0.1253731336345438,-0.05499486135163017,-0.09502614212752489,-0.3616335073434691,-0.0424205735544042,-0.09230695551258386,0.0,-5.381519400184841,-4.53622471736592,0.0,0.1484951527621983,-0.031391175639756574,-0.04289009637944519,-0.5308159774619255,-0.11858530711948537,-2.647855304887537,-0.020788440057151265,-0.28347636844845786,0.09902215033101507,-1.1265693442649312,,-0.02290033253040727,-0.016227429897005912,-0.043436831128674434,-0.03395686235485681,-0.028022258260939112,-0.04054065401523485,-0.008125146587367365,-0.9987849843586952,-0.0014077204039472668,-0.01270906220337207,-2.691064485455804,-0.018966133803615916,-0.1703671338794842,,-0.026732573128824266,-0.5222570901518998,-1.1659443827546754,-0.0359227693729274,-0.11923849324339554,-0.2070879035737112,-0.07761866879054909,-0.08621298663330684,0.0435350382922315,0.6590073428864768,-0.014156714301743503,-0.14993616639347204,-0.058439200158908015,1.7308892516183987,-0.36472058483625736,-0.09678160675942116,-0.4577784584968738,-1.2649817991381016,-0.3939939529966242,-0.07673672756765651,-0.0015544354124063216,-0.16788231224551323,-1.9092083160868698,-0.6107171350057691,-0.034880917049781864,,-0.04791090652551421,-0.11450504343919751,-0.04323703128448819,-1.1146478447032244,,-0.3512495397511737,-0.2999800423671879,0.0,0.0,-0.1932557138850999,-0.057387763329254375,0.0,-0.3495784057645672,-0.040169844838581326,0.06396511361944021,-2.9439672076582393,0.024893551332898875,-0.06396892744023959,0.0,-0.8553107248611483,0.0,-0.40081227251154267,-0.1720881826290212,-0.4830383795764367,-14.745644279999084,-0.18232692764040145,0.0,-1.1848672232588913,-0.22690339971072088,0.020355112131494428,-0.05958119244232875,0.0629135784667888,-0.0030099666965859783,-0.0015721003950642902
6,4,0.0,0.0,-0.25537733478231145,-1.404549628342453,0.0,-0.5858962199294243,-0.16689010536279741,0.0,-0.05224331232056693,0.22104523451315866,-0.10668189808357523,-0.10479703708622139,-0.09325026976000911,-0.20484030678065396,-0.051407466248489124,0.003290394914040118,-3.7574697716052903,0.0,-0.05895912671039362,-0.31969109209700797,0.11839204676555352,-2.502935361421511,-0.7758925979125717,0.0,-0.8953783514378398,0.0,-0.16767250838951178,-0.010302181253970095,-0.06759046443086329,0.0,,0.0,-0.21266691810004598,0.0,0.0,-0.08124702936845243,-0.18355149791229347,-0.3490128137819028,-0.02475570137742456,-0.0481467661655301,0.0,-0.02721690318172014,0.0,-0.15522438078687226,-0.6475707131891891,-0.05572892019285292,-0.031125676017874748,-1.076399048221568,-0.019417355639987005,0.0,-0.12938147169799133,-0.06628546123160828,-0.10598462900865512,-0.4053926008285823,-0.042057332183819345,-0.09411896112410384,0.0,-5.173762336425191,-4.54949735454662,0.0,0.11583036042624126,-0.03295340658112719,-0.04287489323770108,-0.5696142600511311,-0.125844419325747,-2.4811386024721807,-0.020175203310752517,-0.3155296017444001,0.1210469672117689,-1.165712094765324,,-0.023314353330494614,-0.018931210874837394,-0.0462771722404347,-0.03638138895155449,-0.03056557349225845,-0.04237194127681139,-0.00775099530775413,-1.0028346506586245,-0.0014697538195080424,-0.01352923407409077,-2.5495795895966187,-0.021684628837270847,-0.18384719599343588,,-0.029189000716156474,-0.5609466976119151,-1.1953683496279024,-0.035377036947467355,-0.11035778410958977,-0.19400730132911906,-0.07114332548318257,-0.10893176575238973,0.041514981538505455,0.5384919839673394,-0.015457729691126536,-0.14058016988338565,-0.05780179079395096,1.7411404888954853,-0.40627025648232484,-0.10078462493996276,-0.47584845402226755,-1.3027864250748815,-0.40915200010849967,-0.08375100075827044,-0.0007377783810109013,-0.17006443916977557,-2.0275879168393005,-0.6097724201503881,-0.034984563957727685,,-0.046819853562439694,-0.10645094048764596,-0.04484993528506996,-1.041751678083968,,-0.3493239927166586,-0.31809721709696276,0.0,0.0,-0.18575002925774986,-0.06085117795333974,0.0,-0.36276891146682255,-0.042239724662803374,0.05898103840247779,-2.9477831089849333,0.02155013330800454,-0.06925871027377192,0.0,-0.9490048910233299,0.0,-0.3952405088693693,-0.16924561829428184,-0.47191032030231783,-14.445560003445575,-0.18899270626999498,0.0,-1.3762819530358645,-0.2333486293247445,0.020903502850796618,-0.07196441618941088,0.053353159244910846,-0.0030099666965859783,-0.0015721003950642902
7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013285366098294887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030099666965859783,-0.0015721003950642902
8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013285366098294887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030099666965859783,-0.0015721003950642902
9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013285366098294887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030099666965859783,-0.0015721003950642902
