,Type,ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BEN,BOL,BIH,BWA,BRA,BRN,BGR,KHM,CMR,CAN,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CUW,CYP,CZE,PRK,COD,DNK,DOM,ECU,EGY,SLV,ERI,EST,ETH,FIN,FRA,GAB,GEO,DEU,GHA,GIB,GRC,GTM,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,RKS,KWT,KGZ,LVA,LBN,LBY,LTU,LUX,MYS,MLT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SRB,SGP,SVK,SVN,ZAF,SSD,ESP,LKA,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,AIR,SEA
0,Name,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tapei,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,USA,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,IntlAIR,IntlSEA
1,Units,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,KtperdayNMVOC,KtperdayNMVOC
2,Base_em,0.03045588995485183,0.715626511889398,0.9869063250029696,0.9961291011584457,0.03268315273749529,0.9460400604318955,0.14045036342955408,0.17863606551977762,0.04512716056757172,1.008705969902656,0.23290828903022068,0.20997830741129286,0.26206736666300806,0.19675646440029185,0.08510260042064555,0.0625080440459639,5.316159340460712,0.04980788447727584,0.17123150777394183,0.415917636330913,0.3260446945099399,1.3785273346287115,0.4078280229212285,30.96081825315631,0.90235128340668,0.1691947792136018,0.11623192021459378,0.6603450843113389,0.06626886294242722,0.1660953438196138,,0.010851771515070918,0.17583499543421566,0.2629673775845938,1.6032768172334193,0.10698911928449858,0.1757323669837583,0.39157053387027907,0.7561026043346941,0.09748752505741223,0.058723388454559676,0.0977860457572368,2.8052730700710136,0.15209640556906456,0.8860405282978634,0.15890686136469742,0.06078108437522367,1.4379305273640468,0.500319500400973,0.0004529473881043129,0.13217986199952367,0.368637791714654,0.38441291724701065,0.26512832094297295,0.09346462011698392,0.15333328126030257,0.0029561913615867605,13.495579751697061,5.631493452084765,3.417633858843019,1.0995062725848044,0.07725376150459617,0.13202938617354765,0.8877188016428125,0.1396327132529188,1.9069272232083179,0.0994550896295988,0.5894850595525896,1.2966887478821767,0.8599775574076378,,0.49680158429416255,0.14117829863941192,0.0463838174020006,0.10410909475038115,0.4791307861156067,0.0890894721374251,0.008395422074639234,1.0895390735955417,0.004101194689176925,0.018076305843499497,2.531600678293581,0.048321973544281846,0.11275407549991974,,0.19889847975034705,0.5216567667508326,0.7749776396294303,0.05235817909129389,0.4095075252763239,0.3081431283891114,0.11028009433926378,0.14072782553207625,0.16673664946195624,5.428684757170573,0.022859806656361368,0.22810854500879932,0.2793936105636004,2.079349583040722,0.11065065466550551,0.21186457650854762,0.39676877268800387,1.249903063604002,0.9567030663572439,0.12138578396097302,0.4691911014448532,0.2101876777400692,4.47533978156036,1.8193705964487759,0.1986524846280321,,0.11863263913670008,0.07379455760724574,0.04063817054142127,1.8480816084631722,,0.579753025007348,0.2849195953647803,0.8109774643581246,0.012961620511088736,0.1819740759597989,0.13641664897624978,0.12561720685672847,0.5557640943792018,0.06202832957513518,1.147575507527651,2.2386097205322164,0.2266958698640562,0.07905189450727883,0.17038065559947385,0.8410307736848067,0.13455645463471616,0.7154521611990741,0.9694830945309648,0.7031738956003447,11.005185567774607,0.10709706495680081,0.22790015894812332,1.6737540871501904,1.6478605390085255,0.1238727197359047,0.49500818078748243,0.3024411210544694,0.0804948003249499,4.982371603118147
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,-0.08970831504951343,-0.1920238906076383,0.0,-0.16438409919105873,-0.018900499341333546,0.0,-0.005523257101982844,0.03499478918547506,-0.024103333495962016,-0.031064778400017867,-0.02210681309832202,-0.027513196287709245,-0.006786245881856644,-0.0005735692400514491,-0.8210987307989778,0.0,-0.011591807756251018,-0.04956898934788019,0.01698689686965571,-0.3705184155557226,-0.09243584483891838,0.0,-0.16823391844264043,0.0,-0.037999887332777926,-0.010398959816178706,-0.01149409542512226,0.0,,0.0,-0.03170877336506072,0.0,0.0,-0.01177240423431547,-0.033520578891758704,-0.05740095685184302,-0.011686018767353416,-0.0074121124117532316,0.0,-0.0030989127674621118,0.0,-0.026642805999201748,-0.1021005377208487,-0.021538932150639102,-0.007558198531172546,-0.2313863875180221,-0.015195641509209212,0.0,-0.021553684147669155,-0.014776822048330123,-0.033185516010655156,-0.05675671282815303,-0.013791264908177722,-0.01476560525128788,0.0,-0.8832609674733817,-0.5925455232397202,0.0,0.03576224776649325,-0.005838763682370289,-0.01981649651629035,-0.09615431402865982,-0.02270123407797329,-0.406962957926093,-0.01710134137303449,-0.052620095589014614,-0.020441889649147383,-0.14086421257930293,,-0.07408976552445287,-0.006323568883556476,-0.006528534050562563,-0.01513135693958091,-0.004102674609225253,-0.029925405832775847,-0.001538104519742838,-0.20151060146984806,-0.00022172533100123487,-0.0028757328895700606,-0.5419354012822696,-0.004980143638149558,-0.024439147466677198,,-0.00889607818784498,-0.09701236287291454,-0.1600542389467103,-0.012601988197792933,-0.02278487584459618,-0.04562100738480257,-0.014105971103263126,-0.012236839341202446,0.006607738451929923,-0.054025548881639324,-0.0021121363586916594,-0.055996332337346216,-0.04881439926448303,0.21648898183887783,-0.05503100611524906,-0.015533820721951558,-0.06977534994127285,-0.2038783754931689,-0.10319694534350995,-0.015500247808732832,-0.01546830778960951,-0.022093486983049887,-0.7098302446445217,-0.3114921039034171,-0.012063775049810575,,-0.014325970326416325,-0.011597126325202236,-0.008347308814026077,-0.30851216590534103,,-0.055380452573644594,-0.039852238646207905,0.0,0.0,-0.0320350956371403,-0.008500794907241972,0.0,-0.039595822494637674,-0.006391875596556366,-0.02517975561933891,-0.4864148547833387,-0.0007046038591945313,-0.018479399522354483,0.0,-0.11161275668460065,0.0,-0.07660247337445764,-0.15071933001250226,-0.07966433863693753,-2.0487439155730405,-0.026968026907514445,0.0,-0.24359648194017275,-0.04863859178095014,0.011045468394006082,-0.023514264329997314,0.010583291745684374,0.0,0.0
5,3,0.0,0.0,-0.09333095271471037,-0.19720740863968747,0.0,-0.15162237215071858,-0.018411188175584778,0.0,-0.006000238356603139,0.035917618954214886,-0.026585471579203452,-0.027874635711497918,-0.023049998745372398,-0.0307434699369156,-0.007274144879727419,-0.0001174295705454098,-0.7995117462985518,0.0,-0.011555152252565912,-0.04857359015527905,0.017384041715127193,-0.3579759105681467,-0.09972673862062294,0.0,-0.16808643581574537,0.0,-0.03759478963021947,-0.01188719462986576,-0.011409586928902479,0.0,,0.0,-0.03075740052610619,0.0,0.0,-0.011491181327129486,-0.037578887650375904,-0.05704692427011648,-0.0121247046094423,-0.008465154131020978,0.0,-0.0031836074313061824,0.0,-0.024936793282425228,-0.09918435478596568,-0.02051869563227123,-0.008391112535160736,-0.2138256585391099,-0.014995398357340109,0.0,-0.021831537661230034,-0.015968001320337693,-0.034464254838353726,-0.06213334703299058,-0.013492880721636758,-0.014542140889949927,0.0,-0.817846388561411,-0.571438837254691,0.0,0.023404256603761858,-0.005845098620237536,-0.01967601366624342,-0.10000685522221801,-0.022190524403176114,-0.39748556581222094,-0.01665714798400686,-0.06573434012240287,-0.008872979989512707,-0.1495832060950983,,-0.08182866632572525,-0.007407991631098197,-0.006563034885496803,-0.016102965530527577,-0.0032966917051674024,-0.02798851115002646,-0.001430699533473055,-0.20061405579522484,-0.0002261153299876131,-0.003012681173682985,-0.5041112251269914,-0.005569375871378162,-0.02479784432690279,,-0.009766663840821938,-0.10475466924188463,-0.16152800779427334,-0.012326668571942537,-0.02188080516284358,-0.04188532492419726,-0.013103510471314625,-0.015119804413211212,0.006775840370948692,-0.04891064379025531,-0.002227983241851446,-0.05093011570774948,-0.047900182176726425,0.21523171654336232,-0.06082398014176998,-0.015753003840994404,-0.07067352708384084,-0.20713069527662029,-0.10345938541309316,-0.015788055455205008,-0.012907048887509735,-0.02213243073567905,-0.7695593459288884,-0.31229826166458796,-0.011619389822776554,,-0.012399480208278066,-0.01109020953433914,-0.008222388833582341,-0.2853492491261598,,-0.0534249509528075,-0.03552823506804403,0.0,0.0,-0.029220370152794016,-0.008719266804356347,0.0,-0.041256897897739814,-0.006579537418967332,-0.02319392853624494,-0.48353426891778767,-0.001287437345412444,-0.0181496131707245,0.0,-0.12601365855019633,0.0,-0.07810261899058227,-0.1463475900606519,-0.07663647878675647,-1.9685910559660171,-0.02728736426678279,0.0,-0.2464959546249182,-0.05597645191811069,0.011194494712604667,-0.025247768313370153,0.00991987752345316,-0.0009812493288427258,-0.00941078002497306
6,4,0.0,0.0,-0.09784663709736101,-0.20461273303896202,0.0,-0.13973440774043022,-0.01798813570692144,0.0,-0.006477219611223439,0.036283348544635524,-0.0304098451168624,-0.024787157859968257,-0.02493532624496272,-0.035252058939632805,-0.007678928516429326,0.00035648047886916974,-0.7911647295288013,0.0,-0.011563044393963554,-0.04832822482592407,0.017464898088185278,-0.34637363066016663,-0.10786305790997903,0.0,-0.16807211009935127,0.0,-0.0376522566008658,-0.015237286571751243,-0.011483209385012507,0.0,,0.0,-0.029851581031580494,0.0,0.0,-0.011457046094947073,-0.04176307698208598,-0.05731746523215975,-0.0122311296862907,-0.010209755945120729,0.0,-0.00332369114160918,0.0,-0.023488078907058247,-0.09640086900702544,-0.019749515001350058,-0.00926593402944098,-0.19721662650933183,-0.015752165524350232,0.0,-0.022194060855492737,-0.01777872942568283,-0.0360369089710495,-0.06951713001403273,-0.013390374013905687,-0.014234384538063206,0.0,-0.7802157191133754,-0.560159943996778,0.0,0.013212460615124206,-0.005894869902608759,-0.01966964646128322,-0.10449316693349055,-0.022991695599301223,-0.37387923580115334,-0.01615201669875918,-0.07850109816720811,0.0010235766059309148,-0.15501976908702228,,-0.0897639390062447,-0.008841610174068386,-0.006730965630188417,-0.017754379277611386,-0.00366294176498323,-0.026210434788147285,-0.0013305760080832552,-0.20074579442988372,-0.00023612162047153645,-0.0032043787900566927,-0.47472655122919044,-0.006322983402332056,-0.02653499217573456,,-0.010613132284991476,-0.11165266199322633,-0.16540822465361163,-0.012146192092508154,-0.020601266578515316,-0.03848407891616611,-0.012099679512138299,-0.018980170600043294,0.006503467939636398,-0.04775036067098773,-0.0023962965081950043,-0.04598640844584232,-0.0474864841970619,0.21617597828933416,-0.06770734228195056,-0.01623956041927209,-0.07276675247456109,-0.20767449304806163,-0.10471366475149918,-0.01621367567279659,-0.010595987609756123,-0.022170551497822714,-0.8216833335272856,-0.3148271050624351,-0.011500611606378674,,-0.010581938766596022,-0.010553216152844342,-0.008174950859552756,-0.2636590715185314,,-0.05182762588794131,-0.03721198347733273,0.0,0.0,-0.02644425866608402,-0.008922839007258763,0.0,-0.04306690409796997,-0.0069071732459216615,-0.022926138103636265,-0.47387908312552285,-0.0020589789934410286,-0.018532132954943208,0.0,-0.1405108945881328,0.0,-0.08037482584359443,-0.14420330189254282,-0.07402114688088006,-1.9015460878908346,-0.028060739978171066,0.0,-0.26169254120506513,-0.06343507140408045,0.01149902053322695,-0.026667090658599336,0.00865392495743027,-0.0009812493288427258,-0.00941078002497306
7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.158736208625875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009812493288427258,-0.00941078002497306
8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.158736208625875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009812493288427258,-0.00941078002497306
9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.158736208625875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009812493288427258,-0.00941078002497306
