,Type,ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BEN,BOL,BIH,BWA,BRA,BRN,BGR,KHM,CMR,CAN,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CUW,CYP,CZE,PRK,COD,DNK,DOM,ECU,EGY,SLV,ERI,EST,ETH,FIN,FRA,GAB,GEO,DEU,GHA,GIB,GRC,GTM,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,RKS,KWT,KGZ,LVA,LBN,LBY,LTU,LUX,MYS,MLT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SRB,SGP,SVK,SVN,ZAF,SSD,ESP,LKA,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,AIR,SEA
0,Name,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tapei,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,USA,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,IntlAIR,IntlSEA
1,Units,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,ktperdayNOx,KtperdayNOx,KtperdayNOx
2,Base_em,0.0738720898539726,1.231230625430937,0.47737623324630146,2.3724466616,0.053073541250136996,3.778085825287671,0.4452768948216723,0.22492907629821912,0.16420045350947945,1.4218809140046575,0.49185379144383573,0.5988577000942688,0.17315891381734796,0.3330861781589041,0.19679276403868495,0.13532186465572607,11.215416660947948,0.041215945763506845,0.2781096150594521,0.2721655480383562,0.1850241821463014,4.5942756433087455,1.226439676648493,72.23389078758217,1.2617148758876713,0.08175796394989039,0.12905978831013698,0.19489037922821917,0.14342926068103562,0.38636436868493135,,0.04795108090810961,0.6581463984623561,0.25499275300273977,0.308199548289863,0.2919085707900504,0.46132107330654243,0.807890069470685,1.8398408394955073,0.1580779158610959,0.032080460568219185,0.08031143554732055,0.6243030605774522,0.47063100227363297,2.0522722678261425,0.1273679225969863,0.10732939797178084,3.006054180546329,0.3338982626449863,0.012856566161643834,0.6163667985019573,0.324499619644411,0.15466301583561642,0.4456268998347946,0.5481141228311753,0.3320783329806833,0.014780354478597256,28.547353850867946,6.5720458660712335,6.59738263817452,2.3780265109070413,0.21494154385816247,0.6289495104131508,2.170008345543068,0.1758330412168767,6.057999532253036,0.28630261184945205,1.9745271980219186,0.4882202595495891,4.401841340847325,,0.5270412315116438,0.1017390031891781,0.08768454489786302,0.39089116932543005,0.8064627546173698,0.12321198033118086,0.07004074112990108,1.9146010581093424,0.01871640034899726,0.09022043605112604,5.895143044635479,0.08667363897964384,0.23690376815632874,,0.6203061114106302,0.1958442926575343,0.49452768239178085,0.05173419880473973,0.2389474644931507,0.7351957226891729,0.3253711047512329,0.18453018003178084,0.10873672430246577,1.8165330823835621,0.059555543817123684,0.38294127128127947,0.4624533097793699,3.1932400340889315,0.19662607931690407,0.22272997804273972,0.7811414517697259,1.8217346676041097,1.724409083201233,0.4246446877283234,0.5083404182363561,0.6186996591010685,10.574854239082192,6.111658475810959,0.18076424756967124,,0.3572624251702191,0.20196580635780828,0.08372487510940549,4.907097292256714,,2.0257533519332047,0.48818496937013695,0.5765854597068492,0.06767580828306245,0.517163204789994,0.2217815110716082,0.24312226377665747,2.2594739237928767,0.0701324659329041,0.5193547265835617,2.7863610504660548,0.06126056669863014,0.13514217573589038,0.23785090484042196,2.6050937048451104,0.3757563758383562,1.8172024973315068,1.458745133179452,2.3731993605262054,37.97305535228498,0.2070937554668493,0.4907734098876712,1.82982025199863,2.7576249912849313,0.1531735320887671,0.1549101771769863,0.2283423955183562,6.321390183770492,42.52969517696858
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01098226301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07705913736213309,-0.08033074160689377
6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01098226301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07705913736213309,-0.08033074160689377
7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01098226301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07705913736213309,-0.08033074160689377
8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01098226301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07705913736213309,-0.08033074160689377
9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01098226301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07705913736213309,-0.08033074160689377
