,Type,ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BEN,BOL,BIH,BWA,BRA,BRN,BGR,KHM,CMR,CAN,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DOM,ECU,EGY,SLV,ERI,EST,ETH,FIN,FRA,GAB,GEO,DEU,GHA,GIB,GRC,GTM,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,KWT,KGZ,LVA,LBN,LBY,LTU,LUX,MYS,MLT,MUS,MEX,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SGP,SVK,SVN,ZAF,ESP,LKA,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,AIR,SEA
0,Name,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Senegal,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tapei,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,USA,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,IntlAIR,IntlSEA
1,Units,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,ktperdayN2O,KtperdayN2O,KtperdayN2O
2,Base_em,0.010182551516065575,0.05979394554753279,0.04592090190819671,0.44996388538816945,0.004586858562997268,0.4394816514661831,0.03724270492577869,0.021411170444019134,0.0019884738987174864,0.18386879905892076,0.23334734918827868,0.08433758332783717,0.01673036021279235,0.06174756503778963,0.010040812581887978,0.010823920783688523,1.6106123535769394,0.0013573643497076502,0.033344361913928956,0.028301408053278684,0.04505721695464481,0.3075870077728277,0.06836728159524591,3.7252464467350137,0.16873704474270493,0.004995502221213114,0.014036094558469946,0.02224882256719946,0.023338454276609286,0.05562393339213116,0.002705341752258743,0.06076035922320186,0.018378015333060112,0.03556547925382514,0.0511087236150164,0.02582353415986284,0.04026960870587431,0.17624809096887162,0.011265453182103825,0.012450366949617488,0.009198602877418032,0.33295391448725137,0.056640329378060385,0.36372811685942275,0.004157385232704919,0.015624770095051909,0.3609672743662108,0.026215197686366123,0.00011059615827868853,0.04036003220859288,0.03661941197863115,0.015622936721311476,0.02567681570855191,0.004408013805337433,0.05636622704679563,0.0032370463555674864,1.8403274439248913,0.6418242143196721,0.22729519880289614,0.06192034308689618,0.07404797530339617,0.02076517861431694,0.15258142849505718,0.0037843002362841533,0.17604230546919786,0.011161327838374318,0.13629224881030602,0.13992716872732242,0.11904695200759591,0.007954100942551912,0.0170495019345765,0.015444123653281419,0.009355731133844263,0.014202687813415299,0.049232345766759576,0.002820816235207596,0.1057268835632787,0.00047875561483715854,0.0017953962906530055,1.0067458920885628,0.007787075459042075,0.06409804942185794,0.058247550856504925,0.026050323879839674,0.15772930403438798,0.019548057239999996,0.05042369471584699,0.11526089076624942,0.10600345199065846,0.03616217089357923,0.07483218662459017,0.2881441293120218,0.00447068952266776,0.03251328388854918,0.010557536224289617,0.39131917848090436,0.010375742898907107,0.0749179943613388,0.06266594067035519,0.09931262406972678,0.24241743416838735,0.03463974631327377,0.005893715863284153,0.09895057358555741,0.685488940865571,0.08281510225136612,0.02978716806478143,0.010137716297852458,0.03130243164123224,0.007475885981849181,0.18317250910111968,0.20415979836561962,0.017122330049672133,0.2660163625565573,0.0015551063112830602,0.08322227393210684,0.02255201550397104,0.03847993529185792,0.04901791547743443,0.017911617278030055,0.15146062305163932,0.17919378786573772,0.009879305923442622,0.0024330382535928965,0.02198392429206284,0.3958081869392566,0.04637054687622951,0.20283578375001096,0.020946588168907102,0.2370616469936183,2.695796647456655,0.07044997688434425,0.11461241380710384,0.11246017333183062,0.18028847324153005,0.040251352743016396,0.06994912783879784,0.0412619863239071,0.14137619677595628,0.5002664575805039
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013705435507049587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006893628112962086,-0.0006299406675394072
6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013705435507049587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006893628112962086,-0.0006299406675394072
7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013705435507049587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006893628112962086,-0.0006299406675394072
8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013705435507049587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006893628112962086,-0.0006299406675394072
9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013705435507049587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006893628112962086,-0.0006299406675394072
